UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
UCB,Calc1,A,1,MATH 1A,MATH 265A,
UCB,Calc2,A,1,MATH 1B,MATH 265B,
UCB,MultivariableCalc,A,1,MATH 53,MATH 283,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 287,
UCD,DiscreteMath,A,1,ECS 020,CIS 241,
UCD,ProblemSolving,A,1,ECS 036A; ECS 036B; ECS 036C,CIS 232; CIS 233,
UCD,ObjectOriented,A,1,ECS 036A; ECS 036B; ECS 036C,CIS 232; CIS 233,
UCD,Algorithms,A,1,ECS 036A; ECS 036B; ECS 036C,CIS 232; CIS 233,
UCD,Organization,A,1,ECS 050,CIS 240,
UCD,Calc1,A,1,MAT 021A,MATH 265A,
UCD,Calc2,A,1,MAT 021B,MATH 265B,
UCD,Calc3,A,1,MAT 021C,MATH 283,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Calc1,A,1,MATH 2A,MATH 265A,
UCI,Calc2,A,1,MATH 2B,MATH 265B,
UCLA,Intro,A,1,COM SCI 31,Not Articulated,
UCLA,Calc1,A,1,MATH 31A,MATH 265A,
UCLA,Calc2,A,1,MATH 31B,MATH 265B,
UCLA,Calc3,A,1,MATH 32A,MATH 283,
UCLA,Calc4,A,1,MATH 32B,MATH 283,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 287,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 287,
UCM,DataStructures,A,1,CSE 030,CIS 233,
UCM,Calc1,A,1,MATH 021,MATH 265A,
UCM,Calc2,A,1,MATH 022,MATH 265B,
UCM,VectorCalc,A,1,MATH 023,MATH 283,
UCM,LinearAlgebra,A,1,MATH 024,MATH 287,
UCM,DataStructures,A,1,CSE 030,CIS 233,
UCR,Intro1,A,1,CS 10A,CIS 217,CIS 231
UCR,Intro2,A,1,CS 10B,CIS 232; CIS 233,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 265A; MATH 265B,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 265A; MATH 265B,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 265A; MATH 265B,
UCSD,Intro,A,1,CSE 8B,CIS 231; CIS 232; CIS 233,
UCSD,Intro,B,1,CSE 11,Not Articulated,
UCSD,DataStructures,A,1,CSE 12,CIS 231; CIS 232; CIS 233,
UCSD,DiscreteMath,A,1,CSE 20,CIS 241,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 287,
UCSD,Calc1,A,1,MATH 20A,MATH 265A,
UCSD,Calc2,A,1,MATH 20B,MATH 265B,
UCSD,Calc3,A,1,MATH 20C,MATH 283,
UCSB,Calc1,A,1,MATH 3A,MATH 265A,
UCSB,Calc2,A,1,MATH 3B,MATH 265B,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 287,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 287,
UCSB,Comp1,A,1,CMPSC 16,CIS 217,
UCSB,Comp2,A,1,CMPSC 24,Not Articulated,
UCSB,Comp3,A,1,CMPSC 40,CIS 241,
UCSC,DataStructures,A,1,CSE 12,CIS 240,
UCSC,DiscreteMath,A,1,CSE 16,CIS 241,
UCSC,Intro,A,1,CSE 30,CIS 232; CIS 233,
UCSC,Calc1,A,1,MATH 19A,MATH 265A,
UCSC,Calc2,A,1,MATH 19B,MATH 265B,
