UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
UCB,Calc1,A,1,MATH 1A,MATH 150AC,,
UCB,Calc2,A,1,MATH 1B,MATH 150BC,,
UCB,MultivariableCalc,A,1,MATH 53,MATH 250AC,,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 250BC,,
UCD,DiscreteMath,A,1,ECS 020,Not Articulated,,
UCD,Intro1,A,1,ECS 036A,CIS 223 C,CIS 226 C,
UCD,Intro2,A,1,ECS 036B,Not Articulated,,
UCD,DataStructures,A,1,ECS 036C,CSCI 133 C,,
UCD,Organization,A,1,ECS 050,Not Articulated,,
UCD,Calc1,A,1,MAT 021A,MATH 150AC,,
UCD,Calc2,A,1,MAT 021B,MATH 150BC,,
UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 250AC,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI 123 C; CSCI 133 C,CIS 226 C; CIS 234 C,CIS 247 C; CIS 275 C
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI 123 C; CSCI 133 C,CIS 226 C; CIS 234 C,CIS 247 C; CIS 275 C
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI 123 C; CSCI 133 C,CIS 226 C; CIS 234 C,CIS 247 C; CIS 275 C
UCI,Calc1,A,1,MATH 2A,MATH 150AC,,
UCI,Calc2,A,1,MATH 2B,MATH 150BC,,
UCLA,Intro,A,1,COM SCI 31,CSCI 123 C,,
UCLA,Calc1,A,1,MATH 31A,MATH 150AC,,
UCLA,Calc2,A,1,MATH 31B,MATH 150BC,,
UCLA,Calc3,A,1,MATH 32A,MATH 250AC,,
UCLA,Calc4,A,1,MATH 32B,MATH 250AC,,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 250BC,,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 250BC,,
UCM,DataStructures,A,1,CSE 030,CSCI 133 C,,
UCM,Calc1,A,1,MATH 021,MATH 150AC,,
UCM,Calc2,A,1,MATH 022,MATH 150BC,,
UCM,VectorCalc,A,1,MATH 023,MATH 250AC,,
UCM,LinearAlgebra,A,1,MATH 024,MATH 250BC,,
UCM,DataStructures,A,1,CSE 030,CSCI 133 C,,
UCR,Intro1,A,1,CS 10A,CIS 223 C,CSCI 123 C,
UCR,Intro2,A,1,CS 10B,CSCI 123 C; CSCI 133 C,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 150AC; MATH 150BC,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 150AC; MATH 150BC,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 150AC; MATH 150BC,,
UCSD,Intro,A,1,CSE 8B,Not Articulated,,
UCSD,Intro,B,1,CSE 11,CIS 226 C,CSCI 123 C,
UCSD,DataStructures,A,1,CSE 12,CSCI 133 C,,
UCSD,DiscreteMath,A,1,CSE 20,CSCI 252 C,,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 250BC,,
UCSD,Calc1,A,1,MATH 20A,MATH 150AC,,
UCSD,Calc2,A,1,MATH 20B,MATH 150BC,,
UCSD,Calc3,A,1,MATH 20C,MATH 250AC,,
UCSB,Calc1,A,1,MATH 3A,MATH 150AC,MATH 150PC,
UCSB,Calc2,A,1,MATH 3B,MATH 150BC,,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 250BC,,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 250BC,,
UCSB,Comp1,A,1,CMPSC 16,CIS 223 C,CSCI 123 C,
UCSB,Comp2,A,1,CMPSC 24,CSCI 133 C,,
UCSB,Comp3,A,1,CMPSC 40,CSCI 252 C,,
UCSC,DataStructures,A,1,CSE 12,Not Articulated,,
UCSC,DiscreteMath,A,1,CSE 16,CSCI 252 C,,
UCSC,Intro,A,1,CSE 30,CIS 275 C,CSCI 133 C,
UCSC,Calc1,A,1,MATH 19A,MATH 150AC,,
UCSC,Calc2,A,1,MATH 19B,MATH 150BC,,
