UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
UCB,Calc1,A,1,MATH 1A,MATH 071,MATH 066,
UCB,Calc2,A,1,MATH 1B,MATH 072,MATH 067,
UCB,MultivariableCalc,A,1,MATH 53,MATH 073,,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 078; MATH 079,,
UCD,DiscreteMath,A,1,ECS 020,COMSC 080,MATH 070,
UCD,Intro1,A,1,ECS 036A,ENGR 050,,
UCD,Intro2,A,1,ECS 036B,Not Articulated,,
UCD,DataStructures,A,1,ECS 036C,Not Articulated,,
UCD,Organization,A,1,ECS 050,COMSC 077,,
UCD,Calc1,A,1,MAT 021A,MATH 066,MATH 071,
UCD,Calc2,A,1,MAT 021B,MATH 067,MATH 072,
UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 073,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,COMSC 075; COMSC 076,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,COMSC 075; COMSC 076,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,COMSC 075; COMSC 076,,
UCI,Calc1,A,1,MATH 2A,MATH 066,MATH 071,
UCI,Calc2,A,1,MATH 2B,MATH 067,MATH 072,
UCLA,Intro,A,1,COM SCI 31,COMSC 041,,
UCLA,Calc1,A,1,MATH 31A,MATH 066,MATH 071,
UCLA,Calc2,A,1,MATH 31B,MATH 067,MATH 072,
UCLA,Calc3,A,1,MATH 32A,MATH 073,,
UCLA,Calc4,A,1,MATH 32B,MATH 073,,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 079,,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 078,,
UCM,DataStructures,A,1,CSE 030,COMSC 042,COMSC 076,
UCM,Calc1,A,1,MATH 021,MATH 071,MATH 066,
UCM,Calc2,A,1,MATH 022,MATH 072,MATH 067,
UCM,VectorCalc,A,1,MATH 023,MATH 073,,
UCM,LinearAlgebra,A,1,MATH 024,MATH 078; MATH 079,,
UCM,DataStructures,A,1,CSE 030,COMSC 042,COMSC 076,
UCR,Intro1,A,1,CS 10A,COMSC 075,CIT 020,ENGR 050
UCR,Intro2,A,1,CS 10B,COMSC 076,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 071; MATH 072,MATH 066; MATH 067,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 071; MATH 072,MATH 066; MATH 067,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 071; MATH 072,MATH 066; MATH 067,
UCSD,Intro,A,1,CSE 8B,COMSC 076,,
UCSD,Intro,B,1,CSE 11,CIT 044,,
UCSD,DataStructures,A,1,CSE 12,Not Articulated,,
UCSD,DiscreteMath,A,1,CSE 20,COMSC 080,MATH 070,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 079,,
UCSD,Calc1,A,1,MATH 20A,MATH 071,MATH 066,
UCSD,Calc2,A,1,MATH 20B,MATH 072,MATH 067,
UCSD,Calc3,A,1,MATH 20C,MATH 073,,
UCSB,Calc1,A,1,MATH 3A,MATH 066,MATH 071,
UCSB,Calc2,A,1,MATH 3B,MATH 067,MATH 072,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 079,,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 078,,
UCSB,Comp1,A,1,CMPSC 16,COMSC 079C,ENGR 050,
UCSB,Comp2,A,1,CMPSC 24,Not Articulated,,
UCSB,Comp3,A,1,CMPSC 40,COMSC 080,MATH 070,
UCSC,DataStructures,A,1,CSE 12,COMSC 077,,
UCSC,DiscreteMath,A,1,CSE 16,COMSC 080,MATH 070,
UCSC,Intro,A,1,CSE 30,COMSC 076,,
UCSC,Calc1,A,1,MATH 19A,MATH 071,MATH 066,
UCSC,Calc2,A,1,MATH 19B,MATH 072,MATH 067,
