UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
UCB,Calc1,A,1,MATH 1A,MATH 151 F,MATH 151HF,
UCB,Calc2,A,1,MATH 1B,MATH 152 F,MATH 152HF,
UCB,MultivariableCalc,A,1,MATH 53,MATH 251 F,,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 255 F; MATH 260 F,MATH 252 F,
UCD,DiscreteMath,A,1,ECS 020,MATH 171 F,MATH 172 F,
UCD,Intro1,A,1,ECS 036A,CSCI 123 F,CIS 223 F,CSCI 223 F
UCD,Intro2,A,1,ECS 036B,CSCI 133 F,,
UCD,DataStructures,A,1,ECS 036C,Not Articulated,,
UCD,Organization,A,1,ECS 050,CSCI 241 F,,
UCD,Calc1,A,1,MAT 021A,MATH 151 F,MATH 151HF,
UCD,Calc2,A,1,MAT 021B,MATH 152 F,,
UCD,Calc3,A,1,MAT 021C,MATH 251 F,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI 123 F; CSCI 133 F,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI 123 F; CSCI 133 F,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI 123 F; CSCI 133 F,,
UCI,Calc1,A,1,MATH 2A,MATH 151 F,MATH 151HF,
UCI,Calc2,A,1,MATH 2B,MATH 152 F,MATH 152HF,
UCLA,Intro,A,1,COM SCI 31,CSCI 123 F,,
UCLA,Calc1,A,1,MATH 31A,MATH 151 F,,
UCLA,Calc2,A,1,MATH 31B,MATH 152 F,,
UCLA,Calc3,A,1,MATH 32A,MATH 251 F,,
UCLA,Calc4,A,1,MATH 32B,MATH 251 F,,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 252 F,MATH 255 F,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 252 F,MATH 260 F,
UCM,DataStructures,A,1,CSE 030,CSCI 133 F,,
UCM,Calc1,A,1,MATH 021,MATH 151 F,,
UCM,Calc2,A,1,MATH 022,MATH 152 F,MATH 152HF,
UCM,VectorCalc,A,1,MATH 023,MATH 251 F,,
UCM,LinearAlgebra,A,1,MATH 024,MATH 255 F; MATH 260 F,MATH 252 F,
UCM,DataStructures,A,1,CSE 030,CSCI 133 F,,
UCR,Intro1,A,1,CS 10A,CIS 226 F,CSCI 123 F,CSCI 223 F
UCR,Intro2,A,1,CS 10B,CSCI 123 F; CSCI 133 F,CIS 223 F,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 151 F; MATH 152 F,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 151 F; MATH 152 F,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 151 F; MATH 152 F,,
UCSD,Intro,A,1,CSE 8B,Not Articulated,,
UCSD,Intro,B,1,CSE 11,CIS 226 F,,
UCSD,DataStructures,A,1,CSE 12,CSCI 133 F,,
UCSD,DiscreteMath,A,1,CSE 20,MATH 171 F,MATH 170 F,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 252 F; MATH 253 F,MATH 255 F,
UCSD,Calc1,A,1,MATH 20A,MATH 151 F,,
UCSD,Calc2,A,1,MATH 20B,MATH 152 F,,
UCSD,Calc3,A,1,MATH 20C,MATH 251 F,,
UCSB,Calc1,A,1,MATH 3A,MATH 151 F,MATH 151HF,
UCSB,Calc2,A,1,MATH 3B,MATH 152 F,MATH 152HF,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 252 F,MATH 255 F,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 252 F,MATH 260 F,
UCSB,Comp1,A,1,CMPSC 16,CSCI 123 F,CSCI 223 F,CIS 223 F
UCSB,Comp2,A,1,CMPSC 24,CSCI 133 F,,
UCSB,Comp3,A,1,CMPSC 40,MATH 170 F,MATH 171 F,
UCSC,DataStructures,A,1,CSE 12,CSCI 241 F,,
UCSC,DiscreteMath,A,1,CSE 16,MATH 170 F,MATH 171 F,
UCSC,Intro,A,1,CSE 30,CSCI 133 F,,
UCSC,Calc1,A,1,MATH 19A,MATH 151 F,,
UCSC,Calc2,A,1,MATH 19B,MATH 152 F,,
