UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
UCB,Calc1,A,1,MATH 1A,MATH 103E,MATH 103EH,MATH 103E+,
UCB,Calc2,A,1,MATH 1B,MATH 104E,MATH 104EH,,
UCB,MultivariableCalc,A,1,MATH 53,MATH 105,MATH 105H,,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 107; MATH 108,MATH 107H; MATH 108H,,
UCD,DiscreteMath,A,1,ECS 020,CS/IS 125,,,
UCD,Intro1,A,1,ECS 036A,CS/IS 135,,,
UCD,Intro2,A,1,ECS 036B,CS/IS 137,,,
UCD,DataStructures,A,1,ECS 036C,CS/IS 211,,,
UCD,Organization,A,1,ECS 050,CS/IS 165,,,
UCD,Calc1,A,1,MAT 021A,MATH 103E,MATH 103EH,,
UCD,Calc2,A,1,MAT 021B,MATH 104E,MATH 104EH,,
UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 105,MATH 105H,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS/IS 135; CS/IS 137,,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS/IS 135; CS/IS 137,,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS/IS 135; CS/IS 137,,,
UCI,Calc1,A,1,MATH 2A,MATH 103E; MATH 103EH; MATH 103E+,,,
UCI,Calc2,A,1,MATH 2B,MATH 104E,MATH 104EH,,
UCLA,Intro,A,1,COM SCI 31,CS/IS 135,CS/IS 137,,
UCLA,Calc1,A,1,MATH 31A,MATH 103E,MATH 103EH,MATH 103E+,
UCLA,Calc2,A,1,MATH 31B,MATH 104E,MATH 104EH,,
UCLA,Calc3,A,1,MATH 32A,MATH 105,MATH 105H,,
UCLA,Calc4,A,1,MATH 32B,MATH 105,MATH 105H,,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 107,MATH 107H,,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 108,MATH 108H,,
UCM,DataStructures,A,1,CSE 030,CS/IS 211,,,
UCM,Calc1,A,1,MATH 021,MATH 103E,MATH 103EH,,
UCM,Calc2,A,1,MATH 022,MATH 104E,MATH 104EH,,
UCM,VectorCalc,A,1,MATH 023,MATH 105,MATH 105H,,
UCM,LinearAlgebra,A,1,MATH 024,MATH 107; MATH 108,MATH 107H; MATH 108H,MATH 107; MATH 108H,MATH 107H; MATH 108
UCM,DataStructures,A,1,CSE 030,CS/IS 211,,,
UCR,Intro1,A,1,CS 10A,CS/IS 135,CS/IS 139,,
UCR,Intro2,A,1,CS 10B,CS/IS 137,,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 103E; MATH 104E,,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 103E; MATH 104E,,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 103E; MATH 104E,,,
UCSD,Intro,A,1,CSE 8B,Not Articulated,,,
UCSD,Intro,B,1,CSE 11,CS/IS 139,,,
UCSD,DataStructures,A,1,CSE 12,Not Articulated,,,
UCSD,DiscreteMath,A,1,CSE 20,CS/IS 125,,,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 107,,,
UCSD,Calc1,A,1,MATH 20A,MATH 103E,MATH 103EH,,
UCSD,Calc2,A,1,MATH 20B,MATH 104E,MATH 104EH,,
UCSD,Calc3,A,1,MATH 20C,MATH 105,MATH 105H,,
UCSB,Calc1,A,1,MATH 3A,MATH 103E,MATH 103EH,MATH 103E+,
UCSB,Calc2,A,1,MATH 3B,MATH 104E,MATH 104EH,,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 107,MATH 107H,,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 108,MATH 108H,,
UCSB,Comp1,A,1,CMPSC 16,CS/IS 135,,,
UCSB,Comp2,A,1,CMPSC 24,CS/IS 211,,,
UCSB,Comp3,A,1,CMPSC 40,CS/IS 125,,,
UCSC,DataStructures,A,1,CSE 12,CS/IS 165,,,
UCSC,DiscreteMath,A,1,CSE 16,Not Articulated,,,
UCSC,Intro,A,1,CSE 30,CS/IS 211,,,
UCSC,Calc1,A,1,MATH 19A,MATH 103E,MATH 103EH,MATH 103E+,
UCSC,Calc2,A,1,MATH 19B,MATH 104E,MATH 104EH,,
