UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
UCB,Calc1,A,1,MATH 1A,MATH G180,
UCB,Calc2,A,1,MATH 1B,MATH G185,
UCB,MultivariableCalc,A,1,MATH 53,MATH G280,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH G285,
UCD,DiscreteMath,A,1,ECS 020,CS G262,
UCD,Intro1,A,1,ECS 036A,CS G153,CS G175
UCD,Intro2,A,1,ECS 036B,CS G189,
UCD,DataStructures,A,1,ECS 036C,Not Articulated,
UCD,Organization,A,1,ECS 050,Not Articulated,
UCD,Calc1,A,1,MAT 021A,MATH G180,
UCD,Calc2,A,1,MAT 021B; MAT 021C; MAT 021D,MATH G185; MATH G280,
UCD,Calc3,A,1,MAT 021B; MAT 021C; MAT 021D,MATH G185; MATH G280,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS G175; CS G179; CS G189; CS G131,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS G175; CS G179; CS G189; CS G131,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS G175; CS G179; CS G189; CS G131,
UCI,Calc1,A,1,MATH 2A,MATH G180,
UCI,Calc2,A,1,MATH 2B,MATH G185,
UCLA,Intro,A,1,COM SCI 31,CS G175,
UCLA,Calc1,A,1,MATH 31A,MATH G180,
UCLA,Calc2,A,1,MATH 31B,MATH G185,
UCLA,Calc3,A,1,MATH 32A,MATH G280,
UCLA,Calc4,A,1,MATH 32B,MATH G280,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH G235,MATH G285
UCLA,DifferentialEquations,A,1,MATH 33B,MATH G285,
UCM,DataStructures,A,1,CSE 030,CS G189,
UCM,Calc1,A,1,MATH 021,MATH G180,
UCM,Calc2,A,1,MATH 022,MATH G185,
UCM,VectorCalc,A,1,MATH 023,MATH G280,
UCM,LinearAlgebra,A,1,MATH 024,MATH G285,
UCM,DataStructures,A,1,CSE 030,CS G189,
UCR,Intro1,A,1,CS 10A,CS G153,CS G175
UCR,Intro2,A,1,CS 10B,CS G189,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH G180; MATH G185,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH G180; MATH G185,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH G180; MATH G185,
UCSD,Intro,A,1,CSE 8B,CS G154,
UCSD,Intro,B,1,CSE 11,CS G153,
UCSD,DataStructures,A,1,CSE 12,CS G189,
UCSD,DiscreteMath,A,1,CSE 20,CS G262,
UCSD,LinearAlgebra,A,1,MATH 18,MATH G235,MATH G285
UCSD,Calc1,A,1,MATH 20A,MATH G180,
UCSD,Calc2,A,1,MATH 20B,MATH G185,
UCSD,Calc3,A,1,MATH 20C,MATH G280,
UCSB,Calc1,A,1,MATH 3A,MATH G180,
UCSB,Calc2,A,1,MATH 3B,MATH G185,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH G235,MATH G285
UCSB,DifferentialEquations,A,1,MATH 4B,MATH G285,
UCSB,Comp1,A,1,CMPSC 16,CS G175,
UCSB,Comp2,A,1,CMPSC 24,CS G189,
UCSB,Comp3,A,1,CMPSC 40,CS G262,
UCSC,DataStructures,A,1,CSE 12,Not Articulated,
UCSC,DiscreteMath,A,1,CSE 16,CS G262,
UCSC,Intro,A,1,CSE 30,CS G189,
UCSC,Calc1,A,1,MATH 19A,MATH G180,
UCSC,Calc2,A,1,MATH 19B,MATH G185,
