UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
UCB,Calc1,A,1,MATH 1A,MATH 180,
UCB,Calc2,A,1,MATH 1B,MATH 280,
UCB,MultivariableCalc,A,1,MATH 53,MATH 281,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 284; MATH 285,
UCD,DiscreteMath,A,1,ECS 020,CSIS 240,MATH 245
UCD,ProblemSolving,A,1,ECS 036A,CSIS 296,
UCD,ObjectOriented,A,1,ECS 036B,CSIS 294,CSIS 297
UCD,Algorithms,A,1,ECS 036C,Not Articulated,
UCD,Organization,A,1,ECS 050,CSIS 165,
UCD,Calc1,A,1,MAT 021A,MATH 180,
UCD,Calc2,A,1,MAT 021B,MATH 280,
UCD,Calc3,A,1,MAT 021C,MATH 281,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSIS 293; CSIS 294,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSIS 293; CSIS 294,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSIS 293; CSIS 294,
UCI,Calc1,A,1,MATH 2A,MATH 178; MATH 180,
UCI,Calc2,A,1,MATH 2B,MATH 280,
UCLA,Intro,A,1,COM SCI 31,CSIS 296,CSIS 297
UCLA,Calc1,A,1,MATH 31A,MATH 180,
UCLA,Calc2,A,1,MATH 31B,MATH 280,
UCLA,Calc3,A,1,MATH 32A,MATH 281,
UCLA,Calc4,A,1,MATH 32B,MATH 281,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 284,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 285,
UCM,DataStructures,A,1,CSE 030,Not Articulated,
UCM,Calc1,A,1,MATH 021,MATH 180,
UCM,Calc2,A,1,MATH 022,MATH 280,
UCM,VectorCalc,A,1,MATH 023,MATH 281,
UCM,LinearAlgebra,A,1,MATH 024,MATH 284; MATH 285,
UCM,DataStructures,A,1,CSE 030,Not Articulated,
UCR,Intro1,A,1,CS 10A,CSIS 293,CSIS 296
UCR,Intro2,A,1,CS 10B,CSIS 297,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 180; MATH 280,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 180; MATH 280,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 180; MATH 280,
UCSD,Intro,A,1,CSE 8B,Not Articulated,
UCSD,Intro,B,1,CSE 11,CSIS 294,
UCSD,DataStructures,A,1,CSE 12,CSIS 294; CSIS 297,
UCSD,DiscreteMath,A,1,CSE 20,MATH 245,CSIS 240
UCSD,LinearAlgebra,A,1,MATH 18,MATH 284,
UCSD,Cal1,A,1,MATH 20A,MATH 180,
UCSD,Cal2,A,1,MATH 20B,MATH 280,
UCSD,Calc3,A,1,MATH 20C,MATH 281,
UCSB,Calc1,A,1,MATH 3A,MATH 180,
UCSB,Calc2,A,1,MATH 3B,MATH 280,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 284,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 285,
UCSB,Comp1,A,1,CMPSC 16,CSIS 296,
UCSB,Comp2,A,1,CMPSC 24,CSIS 294; CSIS 297,
UCSB,Comp3,A,1,CMPSC 40,CSIS 240,MATH 245
UCSC,DataStructures,A,1,CSE 12,CSIS 165,
UCSC,DiscreteMath,A,1,CSE 16,MATH 245,CSIS 240
UCSC,Python,A,1,CSE 30,CSIS 294,
UCSC,Calc1,A,1,MATH 19A,MATH 180,
UCSC,Calc2,A,1,MATH 19B,MATH 280,
