UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
UCB,Calc1,A,1,MATH 1A,MAT 3A,
UCB,Calc2,A,1,MATH 1B,MAT 3B,
UCB,MultivariableCalc,A,1,MATH 53,MAT 3C,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MAT 4; MAT 5,
UCD,DiscreteMath,A,1,ECS 020,CSS 7,MAT 7
UCD,Intro1,A,1,ECS 036A,Not Articulated,
UCD,Intro2,A,1,ECS 036B,CSS 2A,CSS 2B
UCD,DataStructures,A,1,ECS 036C,Not Articulated,
UCD,Organization,A,1,ECS 050,Not Articulated,
UCD,Calc1,A,1,MAT 021A,MAT 3A,
UCD,Calc2,A,1,MAT 021B,MAT 3B,
UCD,Calc3,A,1,MAT 021C,MAT 3C,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Calc1,A,1,MATH 2A,MAT 3A,
UCI,Calc2,A,1,MATH 2B,MAT 3B,
UCLA,Intro,A,1,COM SCI 31,Not Articulated,
UCLA,Calc1,A,1,MATH 31A,MAT 3A,
UCLA,Calc2,A,1,MATH 31B,MAT 3B,
UCLA,Calc3,A,1,MATH 32A,MAT 3C,
UCLA,Calc4,A,1,MATH 32B,MAT 3C,
UCLA,LinearAlgebra,A,1,MATH 33A,MAT 4,
UCLA,DifferentialEquations,A,1,MATH 33B,MAT 5,
UCM,DataStructures,A,1,CSE 030,CSS 2B,
UCM,Calc1,A,1,MATH 021,MAT 3A,
UCM,Calc2,A,1,MATH 022,MAT 3B,
UCM,VectorCalc,A,1,MATH 023,MAT 3C,
UCM,LinearAlgebra,A,1,MATH 024,MAT 4; MAT 5,
UCM,DataStructures,A,1,CSE 030,CSS 2B,
UCR,Intro1,A,1,CS 10A,CSS 2A,CSS 4
UCR,Intro2,A,1,CS 10B,Not Articulated,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MAT 3A; MAT 3B,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MAT 3A; MAT 3B,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MAT 3A; MAT 3B,
UCSD,Intro,A,1,CSE 8B,Not Articulated,
UCSD,Intro,B,1,CSE 11,Not Articulated,
UCSD,DataStructures,A,1,CSE 12,Not Articulated,
UCSD,DiscreteMath,A,1,CSE 20,MAT 7,
UCSD,LinearAlgebra,A,1,MATH 18,MAT 4,
UCSD,Calc1,A,1,MATH 20A,MAT 3A,
UCSD,Calc2,A,1,MATH 20B,MAT 3B,
UCSD,Calc3,A,1,MATH 20C,MAT 3C,
UCSB,Calc1,A,1,MATH 3A,MAT 3A,
UCSB,Calc2,A,1,MATH 3B,MAT 3B,
UCSB,LinearAlgebra,A,1,MATH 4A,MAT 4,
UCSB,DifferentialEquations,A,1,MATH 4B,MAT 5,
UCSB,Intro,A,1,CMPSC 16,CSS 2A,
UCSB,DataStructures,A,1,CMPSC 24,CSS 2B,
UCSB,DiscreteMath,A,1,CMPSC 40,CSS 7,MAT 7
UCSC,DataStructures,A,1,CSE 12,CSS 3,
UCSC,DiscreteMath,A,1,CSE 16,CSS 7,
UCSC,Intro,A,1,CSE 30,CSS 2B; CSS 4,
UCSC,Calc1,A,1,MATH 19A,MAT 3A,
UCSC,Calc2,A,1,MATH 19B,MAT 3B,
