UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
UCB,Calc1,A,1,MATH 1A,MATH 192,
UCB,Calc2,A,1,MATH 1B,MATH 194,
UCB,MultivariableCalc,A,1,MATH 53,MATH 210,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 220; MATH 230,
UCD,DiscreteMath,A,1,ECS 020,MATH 240,
UCD,Intro1,A,1,ECS 036A,CIS 210,
UCD,Intro2,A,1,ECS 036B,Not Articulated,
UCD,DataStructures,A,1,ECS 036C,Not Articulated,
UCD,Organization,A,1,ECS 050,Not Articulated,
UCD,Calc1,A,1,MAT 021A,MATH 192,
UCD,Calc2,A,1,MAT 021B,MATH 194,
UCD,Calc3,A,1,MAT 021C,MATH 210,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Calc1,A,1,MATH 2A,MATH 192,
UCI,Calc2,A,1,MATH 2B,MATH 194,
UCLA,Intro,A,1,COM SCI 31,Not Articulated,
UCLA,Calc1,A,1,MATH 31A,MATH 192,
UCLA,Calc2,A,1,MATH 31B,MATH 194,
UCLA,Calc3,A,1,MATH 32A,MATH 210,
UCLA,Calc4,A,1,MATH 32B,MATH 210,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 230,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 220,
UCM,DataStructures,A,1,CSE 030,CS 231,
UCM,Calc1,A,1,MATH 021,MATH 192,
UCM,Calc2,A,1,MATH 022,MATH 194,
UCM,VectorCalc,A,1,MATH 023,MATH 210,
UCM,LinearAlgebra,A,1,MATH 024,MATH 220; MATH 230,
UCM,DataStructures,A,1,CSE 030,CS 231,
UCR,Intro1,A,1,CS 10A,Not Articulated,
UCR,Intro2,A,1,CS 10B,CS 221,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 192; MATH 194,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 192; MATH 194,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 192; MATH 194,
UCSD,Intro,A,1,CSE 8B,Not Articulated,
UCSD,Intro,B,1,CSE 11,CS 221,
UCSD,DataStructures,A,1,CSE 12,CS 231,
UCSD,DiscreteMath,A,1,CSE 20,CS 240,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 230,
UCSD,Calc1,A,1,MATH 20A,MATH 192,
UCSD,Calc2,A,1,MATH 20B,MATH 194,
UCSD,Calc3,A,1,MATH 20C,MATH 210,
UCSB,Calc1,A,1,MATH 3A,MATH 192,
UCSB,Calc2,A,1,MATH 3B,MATH 194,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 230,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 220,
UCSB,Comp1,A,1,CMPSC 16,Not Articulated,
UCSB,Comp2,A,1,CMPSC 24,Not Articulated,
UCSB,Comp3,A,1,CMPSC 40,CS 240,MATH 240
UCSC,DataStructures,A,1,CSE 12,Not Articulated,
UCSC,DiscreteMath,A,1,CSE 16,MATH 240,
UCSC,Intro,A,1,CSE 30,Not Articulated,
UCSC,Calc1,A,1,MATH 19A,MATH 192,
UCSC,Calc2,A,1,MATH 19B,MATH 194,
