UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
UCB,Calc1,A,1,MATH 1A,MATH 3A,MATH 3AH,
UCB,Calc2,A,1,MATH 1B,MATH 3B,MATH 3BH,
UCB,MultivariableCalc,A,1,MATH 53,MATH 4A,,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 24; MATH 26,MATH 24H; MATH 26,
UCD,DiscreteMath,A,1,ECS 020,CS 6A,MATH 6A,
UCD,Intro1,A,1,ECS 036A,CS 36,CS 38,
UCD,Intro2,A,1,ECS 036B,CS 37,,
UCD,DataStructures,A,1,ECS 036C,CS 41,,
UCD,Organization,A,1,ECS 050,CS 40A,CS 40B,
UCD,Calc1,A,1,MAT 021A,MATH 3A,MATH 3AH,
UCD,Calc2,A,1,MAT 021B,MATH 3B,MATH 3BH,
UCD,Calc3,A,1,MAT 021C,MATH 4A,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32,CS 37; CS 41; CS 10,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32,CS 37; CS 41; CS 10,,
UCI,Calc1,A,1,MATH 2A,MATH 3A,MATH 3AH,
UCI,Calc2,A,1,MATH 2B,MATH 3B,MATH 3BH,
UCLA,Intro,A,1,COM SCI 31,CS 37,,
UCLA,Calc1,A,1,MATH 31A,MATH 3A,MATH 3AH,
UCLA,Calc2,A,1,MATH 31B,MATH 3B,MATH 3BH,
UCLA,Calc3,A,1,MATH 32A,MATH 4A,,
UCLA,Calc4,A,1,MATH 32B,MATH 4A,,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 26,,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 24,MATH 24H,
UCM,DataStructures,A,1,CSE 030,CS 41,,
UCM,Calc1,A,1,MATH 021,MATH 3A,MATH 3AH,
UCM,Calc2,A,1,MATH 022,MATH 3B,MATH 3BH,
UCM,VectorCalc,A,1,MATH 023,MATH 4A,,
UCM,LinearAlgebra,A,1,MATH 024,MATH 24; MATH 26,MATH 24H; MATH 26,
UCM,DataStructures,A,1,CSE 030,CS 41,,
UCR,Intro1,A,1,CS 10A,CS 10,CS 36,CS 37
UCR,Intro2,A,1,CS 10B,CS 38,CS 41,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 3A; MATH 3B,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 3A; MATH 3B,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 3A; MATH 3B,,
UCSD,Intro,A,1,CSE 8B,Not Articulated,,
UCSD,Intro,B,1,CSE 11,CS 38,,
UCSD,DataStructures,A,1,CSE 12,CS 41,,
UCSD,DiscreteMath,A,1,CSE 20,MATH 6A,,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 26,,
UCSD,Calc1,A,1,MATH 20A,MATH 3A,MATH 3AH,
UCSD,Calc2,A,1,MATH 20B,MATH 3B,MATH 3BH,
UCSD,Calc3,A,1,MATH 20C,MATH 4A,,
UCSB,Calc1,A,1,MATH 3A,MATH 3A,MATH 3AH,
UCSB,Calc2,A,1,MATH 3B,MATH 3B,MATH 3BH,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 26,,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 24,MATH 24H,
UCSB,Comp1,A,1,CMPSC 16,CS 36,CS 37,
UCSB,Comp2,A,1,CMPSC 24,CS 41,,
UCSB,Comp3,A,1,CMPSC 40,CS 6A,MATH 6A,
UCSC,DataStructures,A,1,CSE 12,CS 40A; CS 40B,,
UCSC,DiscreteMath,A,1,CSE 16,CS 6A; CS 6B,MATH 6A; MATH 6B,
UCSC,Intro,A,1,CSE 30,CS 41,,
UCSC,Calc1,A,1,MATH 19A,MATH 3A,MATH 3AH,
UCSC,Calc2,A,1,MATH 19B,MATH 3B,MATH 3BH,
