UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
UCB,Calc1,A,1,MATH 1A,MATH 1,
UCB,Calc2,A,1,MATH 1B,MATH 2,
UCB,MultivariableCalc,A,1,MATH 53,MATH 3,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 5; MATH 7,
UCD,DiscreteMath,A,1,ECS 020,CS 17,MATH 10
UCD,Intro1,A,1,ECS 036A,CS 1,
UCD,Intro2,A,1,ECS 036B,CS 2,CS 31
UCD,DataStructures,A,1,ECS 036C,CS 20,
UCD,Organization,A,1,ECS 050,CS 21,
UCD,Calc1,A,1,MAT 021A,MATH 1,
UCD,Calc2,A,1,MAT 021B,MATH 2,
UCD,Calc3,A,1,MAT 021C,MATH 3,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 1; CS 2; CS 20,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 1; CS 2; CS 20,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 1; CS 2; CS 20,
UCI,Calc1,A,1,MATH 2A,MATH 1,
UCI,Calc2,A,1,MATH 2B,MATH 2,
UCLA,Intro,A,1,COM SCI 31,CS 1,CS 2
UCLA,Calc1,A,1,MATH 31A,MATH 1,
UCLA,Calc2,A,1,MATH 31B,MATH 2,
UCLA,Calc3,A,1,MATH 32A,MATH 3,
UCLA,Calc4,A,1,MATH 32B,MATH 3,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 7,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 5,
UCM,DataStructures,A,1,CSE 030,CS 20,
UCM,Calc1,A,1,MATH 021,MATH 1,
UCM,Calc2,A,1,MATH 022,MATH 2,
UCM,VectorCalc,A,1,MATH 023,MATH 3,
UCM,LinearAlgebra,A,1,MATH 024,MATH 5; MATH 7,
UCM,DataStructures,A,1,CSE 030,CS 20,
UCR,Intro1,A,1,CS 10A,CS 1,CS 31
UCR,Intro2,A,1,CS 10B,CS 2,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 1; MATH 2,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 1; MATH 2,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 1; MATH 2,
UCSD,Intro,A,1,CSE 8B,Not Articulated,
UCSD,Intro,B,1,CSE 11,CS 31,
UCSD,DataStructures,A,1,CSE 12,CS 20,
UCSD,DiscreteMath,A,1,CSE 20,CS 17,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 7,
UCSD,Calc1,A,1,MATH 20A,MATH 1,
UCSD,Calc2,A,1,MATH 20B,MATH 2,
UCSD,Calc3,A,1,MATH 20C,MATH 3,
UCSB,Calc1,A,1,MATH 3A,MATH 1,
UCSB,Calc2,A,1,MATH 3B,MATH 2,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 7,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 5,
UCSB,Intro,A,1,CMPSC 16,CS 1; CS 2,
UCSB,DataStructures,A,1,CMPSC 24,CS 20,
UCSB,DiscreteMath,A,1,CMPSC 40,CS 17,MATH 10
UCSC,DataStructures,A,1,CSE 12,CS 21,
UCSC,DiscreteMath,A,1,CSE 16,CS 17,MATH 10
UCSC,Intro,A,1,CSE 30,CS 20,
UCSC,Calc1,A,1,MATH 19A,MATH 1,
UCSC,Calc2,A,1,MATH 19B,MATH 2,
