UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
UCB,Calc1,A,1,MATH 1A,MATH 60,MATH 60H
UCB,Calc2,A,1,MATH 1B,MATH 70,MATH 70H
UCB,MultivariableCalc,A,1,MATH 53,MATH 80,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 84,
UCD,DiscreteMath,A,1,ECS 020,MATH 55,
UCD,ProblemSolving,A,1,ECS 036A,CS 11,CS 21
UCD,ObjectOriented,A,1,ECS 036B,CS 12,
UCD,Algorithms,A,1,ECS 036C,Not Articulated,
UCD,Organization,A,1,ECS 050,CS 51,
UCD,Calc1,A,1,MAT 021A,MATH 60,MATH 60H
UCD,Calc2,A,1,MAT 021B,MATH 70,MATH 70H
UCD,Calc3,A,1,MAT 021C,MATH 80,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 11; CS 12,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 11; CS 12,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 11; CS 12,
UCI,Calc1,A,1,MATH 2A,MATH 60,MATH 60H
UCI,Calc2,A,1,MATH 2B,MATH 70,MATH 70H
UCLA,Intro,A,1,COM SCI 31,CS 11; CS 12,
UCLA,Calc1,A,1,MATH 31A,MATH 60,MATH 60H
UCLA,Calc2,A,1,MATH 31B,MATH 70,
UCLA,Calc3,A,1,MATH 32A,MATH 80,
UCLA,Calc4,A,1,MATH 32B,MATH 80,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 84,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 84,
UCM,DataStructures,A,1,CSE 030,CS 22,
UCM,Calc1,A,1,MATH 021,MATH 60,
UCM,Calc2,A,1,MATH 022,MATH 70,
UCM,VectorCalc,A,1,MATH 023,MATH 80,
UCM,LinearAlgebra,A,1,MATH 024,MATH 84,
UCM,DataStructures,A,1,CSE 030,CS 22,
UCR,Intro1,A,1,CS 10A,CS 11,ENGR 54
UCR,Intro2,A,1,CS 10B,CS 12,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 60; MATH 70,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 60; MATH 70,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 60; MATH 70,
UCSD,Intro,A,1,CSE 8B,Not Articulated,
UCSD,Intro,B,1,CSE 11,Not Articulated,
UCSD,DataStructures,A,1,CSE 12,CS 22,
UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 84,
UCSD,Calc1,A,1,MATH 20A,MATH 60,
UCSD,Calc2,A,1,MATH 20B,MATH 70,
UCSD,Calc3,A,1,MATH 20C,MATH 80,
UCSB,Calc1,A,1,MATH 3A,MATH 60,MATH 60H
UCSB,Calc2,A,1,MATH 3B,MATH 70,MATH 70H
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 84,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 84,
UCSB,Comp1,A,1,CMPSC 16,CS 11,ENGR 54
UCSB,Comp2,A,1,CMPSC 24,CS 12; CS 22,
UCSB,Comp3,A,1,CMPSC 40,MATH 55,
UCSC,DataStructures,A,1,CSE 12,Not Articulated,
UCSC,DiscreteMath,A,1,CSE 16,MATH 55,
UCSC,Intro,A,1,CSE 30,CS 22,
UCSC,Calc1,A,1,MATH 19A,MATH 60,
UCSC,Calc2,A,1,MATH 19B,MATH 70,
