UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
UCB,Calc1,A,1,MATH 1A,MATH 261,MATH 261S
UCB,Calc2,A,1,MATH 1B,MATH 262,
UCB,MultivariableCalc,A,1,MATH 53,MATH 263,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 270; MATH 275,
UCD,DiscreteMath,A,1,ECS 020,MATH 272,
UCD,Intro1,A,1,ECS 036A,CS 116,
UCD,Intro2,A,1,ECS 036B,CS 216,
UCD,DataStructures,A,1,ECS 036C,CS 136,
UCD,Organization,A,1,ECS 050,CS 130,
UCD,Calc1,A,1,MAT 021A,MATH 261,
UCD,Calc2,A,1,MAT 021B,MATH 262,
UCD,Calc3,A,1,MAT 021C,MATH 263,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 113; CS 213,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 113; CS 213,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 113; CS 213,
UCI,Calc1,A,1,MATH 2A,MATH 261; MATH 261S,
UCI,Calc2,A,1,MATH 2B,MATH 262,
UCLA,Intro,A,1,COM SCI 31,CS 216,
UCLA,Calc1,A,1,MATH 31A,MATH 261; MATH 261S,
UCLA,Calc2,A,1,MATH 31B,MATH 262,
UCLA,Calc3,A,1,MATH 32A,MATH 263,
UCLA,Calc4,A,1,MATH 32B,MATH 263,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 270,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 275,
UCM,DataStructures,A,1,CSE 030,CS 136,
UCM,Calc1,A,1,MATH 021,MATH 261,MATH 261S
UCM,Calc2,A,1,MATH 022,MATH 262,
UCM,VectorCalc,A,1,MATH 023,MATH 263,
UCM,LinearAlgebra,A,1,MATH 024,MATH 270; MATH 275,
UCM,DataStructures,A,1,CSE 030,CS 136,
UCR,Intro1,A,1,CS 10A,CS 116,CS 113
UCR,Intro2,A,1,CS 10B,CS 216,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 261; MATH 262,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 261; MATH 262,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 261; MATH 262,
UCSD,Intro,A,1,CSE 8B,Not Articulated,
UCSD,Intro,B,1,CSE 11,CS 113; CS 136,CS 216
UCSD,DataStructures,A,1,CSE 12,CS 136,
UCSD,DiscreteMath,A,1,CSE 20,MATH 272,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 270,
UCSD,Calc1,A,1,MATH 20A,MATH 261,MATH 261S
UCSD,Calc2,A,1,MATH 20B,MATH 262,
UCSD,Calc3,A,1,MATH 20C,MATH 263,
UCSB,Calc1,A,1,MATH 3A,MATH 261,MATH 261S
UCSB,Calc2,A,1,MATH 3B,MATH 262,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 270,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 275,
UCSB,Intro,A,1,CMPSC 16,CS 102,CS 116
UCSB,DataStructures,A,1,CMPSC 24,CS 136,
UCSB,DiscreteMath,A,1,CMPSC 40,CS 131,MATH 272
UCSC,DataStructures,A,1,CSE 12,CS 130,
UCSC,DiscreteMath,A,1,CSE 16,MATH 272,
UCSC,Intro,A,1,CSE 30,CS 136,
UCSC,Calc1,A,1,MATH 19A,MATH 261,MATH 261S
UCSC,Calc2,A,1,MATH 19B,MATH 262,
