UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1
UCB,Calc1,A,1,MATH 1A,MATH 265
UCB,Calc2,A,1,MATH 1B,MATH 266
UCB,MultivariableCalc,A,1,MATH 53,MATH 267
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 270; MATH 275
UCD,DiscreteMath,A,1,ECS 020,Not Articulated
UCD,Intro1,A,1,ECS 036A,CS 114
UCD,Intro2,A,1,ECS 036B,Not Articulated
UCD,DataStructures,A,1,ECS 036C,Not Articulated
UCD,Organization,A,1,ECS 050,CS 118
UCD,Calc1,A,1,MAT 021A,MATH 265
UCD,Calc2,A,1,MAT 021B,MATH 266
UCD,Calc3,A,1,MAT 021C,MATH 267
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated
UCI,Calc1,A,1,MATH 2A,MATH 265
UCI,Calc2,A,1,MATH 2B,MATH 266
UCLA,Intro,A,1,COM SCI 31,Not Articulated
UCLA,Calc1,A,1,MATH 31A,MATH 265
UCLA,Calc2,A,1,MATH 31B,MATH 266
UCLA,Calc3,A,1,MATH 32A,MATH 267
UCLA,Calc4,A,1,MATH 32B,MATH 267
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 270
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 275
UCM,DataStructures,A,1,CSE 030,CS 136
UCM,Calc1,A,1,MATH 021,MATH 265
UCM,Calc2,A,1,MATH 022,MATH 266
UCM,VectorCalc,A,1,MATH 023,MATH 267
UCM,LinearAlgebra,A,1,MATH 024,MATH 270; MATH 275
UCM,DataStructures,A,1,CSE 030,CS 136
UCR,Intro1,A,1,CS 10A,CS 114
UCR,Intro2,A,1,CS 10B,Not Articulated
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 265; MATH 266
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 265; MATH 266
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 265; MATH 266
UCSD,Intro,A,1,CSE 8B,Not Articulated
UCSD,Intro,B,1,CSE 11,CS 113; CS 136
UCSD,DataStructures,A,1,CSE 12,CS 136
UCSD,DiscreteMath,A,1,CSE 20,Not Articulated
UCSD,LinearAlgebra,A,1,MATH 18,MATH 270
UCSD,Calc1,A,1,MATH 20A,MATH 265
UCSD,Calc2,A,1,MATH 20B,MATH 266
UCSD,Calc3,A,1,MATH 20C,MATH 267
UCSB,Calc1,A,1,MATH 3A,MATH 265
UCSB,Calc2,A,1,MATH 3B,MATH 266
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 270
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 275
UCSB,Intro,A,1,CMPSC 16,CS 114
UCSB,DataStructures,A,1,CMPSC 24,CS 136
UCSB,DiscreteMath,A,1,CMPSC 40,Not Articulated
UCSC,DataStructures,A,1,CSE 12,Not Articulated
UCSC,DiscreteMath,A,1,CSE 16,Not Articulated
UCSC,Intro,A,1,CSE 30,CS 136
UCSC,Calc1,A,1,MATH 19A,MATH 265
UCSC,Calc2,A,1,MATH 19B,MATH 266
