UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
UCB,Calc1,A,1,MATH 1A,MATH 210,,
UCB,Calc2,A,1,MATH 1B,MATH 220,,
UCB,MultivariableCalc,A,1,MATH 53,MATH 230,,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 250; MATH 240,,
UCD,DiscreteMath,A,1,ECS 020,MATH 160,,
UCD,Intro1,A,1,ECS 036A,COMSC 044,COMSC 122,ENGIN 020
UCD,Intro2,A,1,ECS 036B,Not Articulated,,
UCD,DataStructures,A,1,ECS 036C,COMSC 132,,
UCD,Organization,A,1,ECS 050,COMSC 142,,
UCD,Calc1,A,1,MAT 021A,MATH 210,,
UCD,Calc2,A,1,MAT 021B,MATH 220,,
UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 230,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,
UCI,Calc1,A,1,MATH 2A,MATH 210,,
UCI,Calc2,A,1,MATH 2B,MATH 220,,
UCLA,Intro,A,1,COM SCI 31,Not Articulated,,
UCLA,Calc1,A,1,MATH 31A,MATH 210,,
UCLA,Calc2,A,1,MATH 31B,MATH 220,,
UCLA,Calc3,A,1,MATH 32A,MATH 230,,
UCLA,Calc4,A,1,MATH 32B,MATH 230,,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 250,,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 240,,
UCM,DataStructures,A,1,CSE 030,COMSC 132,,
UCM,Calc1,A,1,MATH 021,MATH 210,,
UCM,Calc2,A,1,MATH 022,MATH 220,,
UCM,VectorCalc,A,1,MATH 023,MATH 230,,
UCM,LinearAlgebra,A,1,MATH 024,MATH 250; MATH 240,,
UCM,DataStructures,A,1,CSE 030,COMSC 132,,
UCR,Intro1,A,1,CS 10A,COMSC 122,COMSC 044,ENGIN 020
UCR,Intro2,A,1,CS 10B,COMSC 132,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 210; MATH 220,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 210; MATH 220,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 210; MATH 220,,
UCSD,Intro,A,1,CSE 8B,Not Articulated,,
UCSD,Intro,B,1,CSE 11,Not Articulated,,
UCSD,DataStructures,A,1,CSE 12,Not Articulated,,
UCSD,DiscreteMath,A,1,CSE 20,MATH 160,,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 250,,
UCSD,Calc1,A,1,MATH 20A,MATH 210,,
UCSD,Calc2,A,1,MATH 20B,MATH 220,,
UCSD,Calc3,A,1,MATH 20C,MATH 230,,
UCSB,Calc1,A,1,MATH 3A,MATH 210,,
UCSB,Calc2,A,1,MATH 3B,MATH 220,,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 250,,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 240,,
UCSB,Comp1,A,1,CMPSC 16,COMSC 044,ENGIN 020,
UCSB,Comp2,A,1,CMPSC 24,COMSC 132,,
UCSB,Comp3,A,1,CMPSC 40,MATH 160,,
UCSC,DataStructures,A,1,CSE 12,Not Articulated,,
UCSC,DiscreteMath,A,1,CSE 16,MATH 160,,
UCSC,Intro,A,1,CSE 30,COMSC 132,,
UCSC,Calc1,A,1,MATH 19A,MATH 210,,
UCSC,Calc2,A,1,MATH 19B,MATH 220,,
