UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
UCB,Calc1,A,1,MATH 1A,MATH  5A,,
UCB,Calc2,A,1,MATH 1B,MATH  5B; MATH  17,,
UCB,MultivariableCalc,A,1,MATH 53,MATH  6,,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH  17,,
UCD,DiscreteMath,A,1,ECS 020,CSCI  26,,
UCD,Intro1,A,1,ECS 036A,CSCI  40,ENGR  40,
UCD,Intro2,A,1,ECS 036B,CSCI  41,,
UCD,DataStructures,A,1,ECS 036C,CSCI  41,,
UCD,Organization,A,1,ECS 050,CSCI  45,,
UCD,Calc1,A,1,MAT 021A,MATH  5A,,
UCD,Calc2,A,1,MAT 021B,MATH  5B,,
UCD,Calc3,A,1,MAT 021C,MATH  5B; MATH  6,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI  40; CSCI  41,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI  40; CSCI  41,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI  40; CSCI  41,,
UCI,Calc1,A,1,MATH 2A,MATH  5A,,
UCI,Calc2,A,1,MATH 2B,MATH  5B,,
UCLA,Intro,A,1,COM SCI 31,ENGR  40,,
UCLA,Calc1,A,1,MATH 31A,MATH  5A,,
UCLA,Calc2,A,1,MATH 31B,MATH  5B,,
UCLA,Calc3,A,1,MATH 32A,MATH  6,,
UCLA,Calc4,A,1,MATH 32B,MATH  6,,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH  17,,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH  17,,
UCM,DataStructures,A,1,CSE 030,CSCI  41,,
UCM,Calc1,A,1,MATH 021,MATH  5A,,
UCM,Calc2,A,1,MATH 022,MATH  5B,,
UCM,VectorCalc,A,1,MATH 023,MATH  6,,
UCM,LinearAlgebra,A,1,MATH 024,MATH  17,,
UCM,DataStructures,A,1,CSE 030,CSCI  41,,
UCR,Intro1,A,1,CS 10A,CSCI  5,CSCI  40,ENGR  40
UCR,Intro2,A,1,CS 10B,CSCI  41,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH  5A; MATH  5B,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH  5A; MATH  5B,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH  5A; MATH  5B,,
UCSD,Intro,A,1,CSE 8B,Not Articulated,,
UCSD,Intro,B,1,CSE 11,CSCI  5,,
UCSD,DataStructures,A,1,CSE 12,Not Articulated,,
UCSD,DiscreteMath,A,1,CSE 20,CSCI  26,,
UCSD,LinearAlgebra,A,1,MATH 18,MATH  17,,
UCSD,Calc1,A,1,MATH 20A,MATH  5A,,
UCSD,Calc2,A,1,MATH 20B,MATH  5B,,
UCSD,Calc3,A,1,MATH 20C,MATH  6,,
UCSB,Calc1,A,1,MATH 3A,MATH  75A; MATH  75B,MATH  5A,
UCSB,Calc2,A,1,MATH 3B,MATH  5B,,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH  17,,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH  17,,
UCSB,Comp1,A,1,CMPSC 16,CSCI  40,ENGR  40,
UCSB,Comp2,A,1,CMPSC 24,CSCI  41,,
UCSB,Comp3,A,1,CMPSC 40,CSCI  26,,
UCSC,DataStructures,A,1,CSE 12,CSCI  45,,
UCSC,DiscreteMath,A,1,CSE 16,CSCI  26,,
UCSC,Intro,A,1,CSE 30,CSCI  41,,
UCSC,Calc1,A,1,MATH 19A,MATH  5A,,
UCSC,Calc2,A,1,MATH 19B,MATH  5B,,
