UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
UCB,Calc1,A,1,MATH 1A,MATH -04A,,
UCB,Calc2,A,1,MATH 1B,MATH -04B,,
UCB,MultivariableCalc,A,1,MATH 53,MATH -04C,,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH -06; MATH -08,,
UCD,DiscreteMath,A,1,ECS 020,CPSC -07,MATH -07,
UCD,ProblemSolving,A,1,ECS 036A,CPSC -06,CPSC -14,ENGR -14
UCD,ObjectOriented,A,1,ECS 036B,CPSC -39,,
UCD,Algorithms,A,1,ECS 036C,Not Articulated,,
UCD,Organization,A,1,ECS 050,CPSC -42,,
UCD,Calc1,A,1,MAT 021A,MATH -04A,,
UCD,Calc2,A,1,MAT 021B,MATH -04B,,
UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH -04C,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,ENGR -14; CPSC -25,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,ENGR -14; CPSC -25,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,ENGR -14; CPSC -25,,
UCI,Intro,A,2,I&C SCI 31; I&C SCI 32,CTIS -04; CTIS -14,,
UCI,Intro,A,2,I&C SCI 31; I&C SCI 32,CTIS -04; CTIS -14,,
UCI,Calc1,A,1,MATH 2A,MATH -04A,,
UCI,Calc2,A,1,MATH 2B,MATH -04B,,
UCLA,Intro,A,1,COM SCI 31,Not Articulated,,
UCLA,Calc1,A,1,MATH 31A,MATH -04A,,
UCLA,Calc2,A,1,MATH 31B,MATH -04B,,
UCLA,Calc3,A,1,MATH 32A,MATH -04C,,
UCLA,Calc4,A,1,MATH 32B,MATH -04C,,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH -08,,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH -06,,
UCM,DataStructures,A,1,CSE 030,CPSC -39,,
UCM,Calc1,A,1,MATH 021,MATH -04A,MATH -04AS,
UCM,Calc2,A,1,MATH 022,MATH -04B,,
UCM,VectorCalc,A,1,MATH 023,MATH -04C,,
UCM,LinearAlgebra,A,1,MATH 024,MATH -06; MATH -08,MATH -09,
UCM,DataStructures,A,1,CSE 030,CPSC -39,,
UCR,Intro1,A,1,CS 10A,CPSC -14,,
UCR,Intro2,A,1,CS 10B,CPSC -39,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH -04A; MATH -04B,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH -04A; MATH -04B,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH -04A; MATH -04B,,
UCSD,Intro,A,1,CSE 8B,Not Articulated,,
UCSD,Intro,B,1,CSE 11,Not Articulated,,
UCSD,DataStructures,A,1,CSE 12,Not Articulated,,
UCSD,DiscreteMath,A,1,CSE 20,MATH -07,,
UCSD,LinearAlgebra,A,1,MATH 18,MATH -08,,
UCSD,Cal1,A,1,MATH 20A,MATH -04A,,
UCSD,Cal2,A,1,MATH 20B,MATH -04B,,
UCSD,Calc3,A,1,MATH 20C,MATH -04C,,
UCSB,Calc1,A,1,MATH 3A,MATH -04A,MATH -04AS,
UCSB,Calc2,A,1,MATH 3B,MATH -04B,,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH -08,MATH -09,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH -06,MATH -09,
UCSB,Comp1,A,1,CMPSC 16,CPSC -14,ENGR -14,
UCSB,Comp2,A,1,CMPSC 24,Not Articulated,,
UCSB,Comp3,A,1,CMPSC 40,CPSC -07,MATH -07,
UCSC,DataStructures,A,1,CSE 12,CPSC -42,,
UCSC,DiscreteMath,A,1,CSE 16,CPSC -07,MATH -07,
UCSC,Python,A,1,CSE 30,CPSC -39,,
UCSC,Calc1,A,1,MATH 19A,MATH -04A,,
UCSC,Calc2,A,1,MATH 19B,MATH -04B,,
