UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
UCB,Calc1,A,1,MATH 1A,MATH 3A,
UCB,Calc2,A,1,MATH 1B,MATH 3B,
UCB,MultivariableCalc,A,1,MATH 53,MATH 3C,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 3E; MATH 3F,
UCD,DiscreteMath,A,1,ECS 020,CIS 11,
UCD,Intro1,A,1,ECS 036A,Not Articulated,
UCD,Intro2,A,1,ECS 036B,CIS 33,
UCD,DataStructures,A,1,ECS 036C,Not Articulated,
UCD,Organization,A,1,ECS 050,Not Articulated,
UCD,Calc1,A,1,MAT 021A,MATH 3B; MATH 3A,
UCD,Calc2,A,1,MAT 021B,MATH 3B,
UCD,Calc3,A,1,MAT 021C,MATH 3B; MATH 3C,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Calc1,A,1,MATH 2A,MATH 3A,
UCI,Calc2,A,1,MATH 2B,MATH 3B,
UCLA,Intro,A,1,COM SCI 31,Not Articulated,
UCLA,Calc1,A,1,MATH 31A,MATH 3A,
UCLA,Calc2,A,1,MATH 31B,MATH 3B,
UCLA,Calc3,A,1,MATH 32A,MATH 3C,
UCLA,Calc4,A,1,MATH 32B,MATH 3C,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 3E,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 3F,
UCM,DataStructures,A,1,CSE 030,Not Articulated,
UCM,Calc1,A,1,MATH 021,MATH 3A,
UCM,Calc2,A,1,MATH 022,MATH 3B,
UCM,VectorCalc,A,1,MATH 023,MATH 3C,
UCM,LinearAlgebra,A,1,MATH 024,MATH 3E; MATH 3F,
UCM,DataStructures,A,1,CSE 030,Not Articulated,
UCR,Intro1,A,1,CS 10A,CIS 6,
UCR,Intro2,A,1,CS 10B,CIS 7; CIS 33,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 3A; MATH 3B,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 3A; MATH 3B,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 3A; MATH 3B,
UCSD,Intro,A,1,CSE 8B,CIS 33,
UCSD,Intro,B,1,CSE 11,Not Articulated,
UCSD,DataStructures,A,1,CSE 12,Not Articulated,
UCSD,DiscreteMath,A,1,CSE 20,CIS 11,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 3E,
UCSD,Calc1,A,1,MATH 20A,MATH 3A,
UCSD,Calc2,A,1,MATH 20B,MATH 3B,
UCSD,Calc3,A,1,MATH 20C,MATH 3C,
UCSB,Calc1,A,1,MATH 3A,MATH 3A,
UCSB,Calc2,A,1,MATH 3B,MATH 3B,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 3E,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 3F,
UCSB,Intro,A,1,CMPSC 16,Not Articulated,
UCSB,DataStructures,A,1,CMPSC 24,Not Articulated,
UCSB,DiscreteMath,A,1,CMPSC 40,CIS 11,MATH 11
UCSC,DataStructures,A,1,CSE 12,Not Articulated,
UCSC,DiscreteMath,A,1,CSE 16,Not Articulated,
UCSC,Intro,A,1,CSE 30,Not Articulated,
UCSC,Calc1,A,1,MATH 19A,MATH 3A,
UCSC,Calc2,A,1,MATH 19B,MATH 3B,
