UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
UCB,Calc1,A,1,MATH 1A,MATH 150,MATH 150H,
UCB,Calc2,A,1,MATH 1B,MATH 155,,
UCB,MultivariableCalc,A,1,MATH 53,MATH 260,MATH 260H,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 265; MATH 270,MATH 265; MATH 270H,
UCD,DiscreteMath,A,1,ECS 020,CS 226,MATH 226,
UCD,ProblemSolving,A,1,ECS 036A,CS 111,CS 150,CS 138
UCD,ObjectOriented,A,1,ECS 036B,CS 112,CS 151,
UCD,Algorithms,A,1,ECS 036C,CS 113,,
UCD,Organization,A,1,ECS 050,CS 220,,
UCD,Calc1,A,1,MAT 021A,MATH 150,MATH 150H,
UCD,Calc2,A,1,MAT 021B,MATH 155,,
UCD,Calc3,A,1,MAT 021C,MATH 260,MATH 260H,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 111; CS 112,CS 150; CS 151,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 111; CS 112,CS 150; CS 151,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 111; CS 112,CS 150; CS 151,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32,CS 138; CS 139,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32,CS 138; CS 139,,
UCI,Calc1,A,1,MATH 2A,MATH 150,MATH 150H,
UCI,Calc2,A,1,MATH 2B,MATH 155,MATH 155H,
UCLA,Intro,A,1,COM SCI 31,CS 150,,
UCLA,Calc1,A,1,MATH 31A,MATH 150,MATH 150H,
UCLA,Calc2,A,1,MATH 31B,MATH 155,MATH 155H,
UCLA,Calc3,A,1,MATH 32A,MATH 260,MATH 260H,
UCLA,Calc4,A,1,MATH 32B,MATH 260,MATH 260H,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 270,MATH 270H,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 265,MATH 265H,
UCM,DataStructures,A,1,CSE 030,CS 113,,
UCM,Calc1,A,1,MATH 021,MATH 150,MATH 150H,
UCM,Calc2,A,1,MATH 022,MATH 155,MATH 155H,
UCM,VectorCalc,A,1,MATH 023,MATH 260,MATH 260H,
UCM,LinearAlgebra,A,1,MATH 024,MATH 265; MATH 270,,
UCM,DataStructures,A,1,CSE 030,CS 113,,
UCR,Intro1,A,1,CS 10A,CS 111,CS 138,CS 150
UCR,Intro2,A,1,CS 10B,CS 112,CS 151,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 150; MATH 155,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 150; MATH 155,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 150; MATH 155,,
UCSD,Intro,A,1,CSE 8B,CS 112,,
UCSD,Intro,B,1,CSE 11,Not Articulated,,
UCSD,DataStructures,A,1,CSE 12,CS 113,,
UCSD,DiscreteMath,A,1,CSE 20,MATH 226,CS 226,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 270,MATH 270H,
UCSD,Cal1,A,1,MATH 20A,MATH 150,MATH 150H,
UCSD,Cal2,A,1,MATH 20B,MATH 155,MATH 155H,
UCSD,Calc3,A,1,MATH 20C,MATH 260,MATH 260H,
UCSB,Calc1,A,1,MATH 3A,MATH 150,MATH 150H,MATH 150S
UCSB,Calc2,A,1,MATH 3B,MATH 155,MATH 155H,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 270,MATH 270H,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 265,MATH 265H,
UCSB,Comp1,A,1,CMPSC 16,CS 150,,
UCSB,Comp2,A,1,CMPSC 24,CS 113; CS 151,,
UCSB,Comp3,A,1,CMPSC 40,CS 226,MATH 226,MATH 226H
UCSC,DataStructures,A,1,CSE 12,CS 220,,
UCSC,DiscreteMath,A,1,CSE 16,CS 226,MATH 226,
UCSC,Python,A,1,CSE 30,CS 113,,
UCSC,Calc1,A,1,MATH 19A,MATH 150,MATH 150H,
UCSC,Calc2,A,1,MATH 19B,MATH 155,MATH 155H,
