UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
UCB,Calc1,A,1,MATH 1A,MAT 003A,,,
UCB,Calc2,A,1,MATH 1B,MAT 003B,,,
UCB,MultivariableCalc,A,1,MATH 53,MAT 004A,,,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MAT 004B; MAT 004C,,,
UCD,DiscreteMath,A,1,ECS 020,MAT 019,,,
UCD,Intro1,A,1,ECS 036A,CIS 037A,CIS 040,CIS 043,EGR 030
UCD,Intro2,A,1,ECS 036B,CIS 043,,,
UCD,DataStructures,A,1,ECS 036C,CIS 044,,,
UCD,Organization,A,1,ECS 050,CIS 039,,,
UCD,Calc1,A,1,MAT 021A; MAT 021B,MAT 003A; MAT 003B,MAT 003AH; MAT 003B,,
UCD,Calc2,A,1,MAT 021A; MAT 021B,MAT 003A; MAT 003B,MAT 003AH; MAT 003B,,
UCD,Calc3,A,1,MAT 021C,Not Articulated,,,
UCD,Calc1,A,1,MAT 021A; MAT 021B; MAT 021C; MAT 021D,MAT 003A; MAT 003B; MAT 004A,MAT 003AH; MAT 003B; MAT 004A,,
UCD,Calc2,A,1,MAT 021A; MAT 021B; MAT 021C; MAT 021D,MAT 003A; MAT 003B; MAT 004A,MAT 003AH; MAT 003B; MAT 004A,,
UCD,Calc3,A,1,MAT 021A; MAT 021B; MAT 021C; MAT 021D,MAT 003A; MAT 003B; MAT 004A,MAT 003AH; MAT 003B; MAT 004A,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 043; CIS 044,,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 043; CIS 044,,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 043; CIS 044,,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32,CIS 007; CIS 008,,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32,CIS 007; CIS 008,,,
UCI,Calc1,A,1,MATH 2A,MAT 003A,MAT 003AH,,
UCI,Calc2,A,1,MATH 2B,MAT 003B,,,
UCLA,Intro,A,1,COM SCI 31,EGR 030,CIS 040,,
UCLA,Calc1,A,1,MATH 31A,MAT 003A; MAT 003AH,,,
UCLA,Calc2,A,1,MATH 31B,MAT 003B,,,
UCLA,Calc3,A,1,MATH 32A,MAT 004A,,,
UCLA,Calc4,A,1,MATH 32B,MAT 004A,,,
UCLA,LinearAlgebra,A,1,MATH 33A,MAT 004C,,,
UCLA,DifferentialEquations,A,1,MATH 33B,MAT 004B,,,
UCM,DataStructures,A,1,CSE 030,CIS 044,,,
UCM,Calc1,A,1,MATH 021,MAT 003A,,,
UCM,Calc2,A,1,MATH 022,MAT 003B,,,
UCM,VectorCalc,A,1,MATH 023,MAT 004A,,,
UCM,LinearAlgebra,A,1,MATH 024,MAT 004B; MAT 004C,,,
UCM,DataStructures,A,1,CSE 030,CIS 044,,,
UCR,Intro1,A,1,CS 10A,CIS 037A,CIS 040,CIS 043,
UCR,Intro2,A,1,CS 10B,EGR 030,,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MAT 003A; MAT 003B,,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MAT 003A; MAT 003B,,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MAT 003A; MAT 003B,,,
UCSD,Intro,A,1,CSE 8B,CIS 044,,,
UCSD,Intro,B,1,CSE 11,Not Articulated,,,
UCSD,DataStructures,A,1,CSE 12,Not Articulated,,,
UCSD,DiscreteMath,A,1,CSE 20,MAT 019,,,
UCSD,LinearAlgebra,A,1,MATH 18,MAT 004C,,,
UCSD,Calc1,A,1,MATH 20A,MAT 003A,MAT 003AH,,
UCSD,Calc2,A,1,MATH 20B,MAT 003B,,,
UCSD,Calc3,A,1,MATH 20C,MAT 004A,,,
UCSB,Calc1,A,1,MATH 3A,MAT 003A,MAT 003AH,,
UCSB,Calc2,A,1,MATH 3B,MAT 003B,,,
UCSB,LinearAlgebra,A,1,MATH 4A,MAT 004C,,,
UCSB,DifferentialEquations,A,1,MATH 4B,MAT 004B,,,
UCSB,Intro,A,1,CMPSC 16,CIS 037A,CIS 040,EGR 030,
UCSB,DataStructures,A,1,CMPSC 24,Not Articulated,,,
UCSB,DiscreteMath,A,1,CMPSC 40,MAT 019,,,
UCSC,DataStructures,A,1,CSE 12,CIS 039,,,
UCSC,DiscreteMath,A,1,CSE 16,MAT 019,,,
UCSC,Intro,A,1,CSE 30,CIS 008,CIS 044,,
UCSC,Calc1,A,1,MATH 19A,MAT 003A,,,
UCSC,Calc2,A,1,MATH 19B,MAT 003B,,,
