UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
UCB,Calc1,A,1,MATH 1A,MATH 171,
UCB,Calc2,A,1,MATH 1B,MATH 172,
UCB,MultivariableCalc,A,1,MATH 53,MATH 173,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 191; MATH 193,
UCD,DiscreteMath,A,1,ECS 020,CSCI 204,
UCD,ProblemSolving,A,1,ECS 036A,CSCI 271,
UCD,ObjectOriented,A,1,ECS 036B,CSCI 272,
UCD,Algorithms,A,1,ECS 036C,Not Articulated,
UCD,Organization,A,1,ECS 050,CSCI 273,
UCD,Calc1,A,1,MAT 021A,MATH 171,
UCD,Calc2,A,1,MAT 021B,MATH 172,
UCD,Calc3,A,1,MAT 021C,MATH 173,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI 271; CSCI 272,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI 271; CSCI 272,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI 271; CSCI 272,
UCI,Calc1,A,1,MATH 2A,MATH 171,
UCI,Calc2,A,1,MATH 2B,MATH 172,
UCLA,Intro,A,1,COM SCI 31,Not Articulated,
UCLA,Calc1,A,1,MATH 31A,MATH 171,
UCLA,Calc2,A,1,MATH 31B,MATH 172,
UCLA,Calc3,A,1,MATH 32A,MATH 173,
UCLA,Calc4,A,1,MATH 32B,MATH 173,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 191,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 193,
UCM,DataStructures,A,1,CSE 030,CSCI 272,
UCM,Calc1,A,1,MATH 021,MATH 171,
UCM,Calc2,A,1,MATH 022,MATH 172,
UCM,VectorCalc,A,1,MATH 023,MATH 173,
UCM,LinearAlgebra,A,1,MATH 024,MATH 191; MATH 193,
UCM,DataStructures,A,1,CSE 030,CSCI 272,
UCR,Intro1,A,1,CS 10A,CSCI 271,
UCR,Intro2,A,1,CS 10B,CSCI 272,CSCI 274
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 171; MATH 172,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 171; MATH 172,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 171; MATH 172,
UCSD,Intro,A,1,CSE 8B,Not Articulated,
UCSD,Intro,B,1,CSE 11,Not Articulated,
UCSD,DataStructures,A,1,CSE 12,CSCI 272,
UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 191,
UCSD,Cal1,A,1,MATH 20A,MATH 171,
UCSD,Cal2,A,1,MATH 20B,MATH 172,
UCSD,Calc3,A,1,MATH 20C,MATH 173,
UCSB,Calc1,A,1,MATH 3A,MATH 171,
UCSB,Calc2,A,1,MATH 3B,MATH 172,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 191,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 193,
UCSB,Comp1,A,1,CMPSC 16,Not Articulated,
UCSB,Comp2,A,1,CMPSC 24,Not Articulated,
UCSB,Comp3,A,1,CMPSC 40,CSCI 204,
UCSC,DataStructures,A,1,CSE 12,CSCI 273,
UCSC,DiscreteMath,A,1,CSE 16,CSCI 204,
UCSC,Python,A,1,CSE 30,CSCI 272,
UCSC,Calc1,A,1,MATH 19A,MATH 171; MATH 172,
UCSC,Calc2,A,1,MATH 19B,MATH 171; MATH 172,
