UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
UCB,Calc1,A,1,MATH 1A,MATH 20A,
UCB,Calc2,A,1,MATH 1B,MATH 20B,
UCB,MultivariableCalc,A,1,MATH 53,MATH 20C,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 31; MATH 32,
UCD,DiscreteMath,A,1,ECS 020,MATH 40,CSIS 12
UCD,ProblemSolving,A,1,ECS 036A,CSIS 10B,
UCD,ObjectOriented,A,1,ECS 036B,CSIS 10C,
UCD,Algorithms,A,1,ECS 036C,Not Articulated,
UCD,Organization,A,1,ECS 050,CSIS 11,
UCD,Calc1,A,1,MAT 021A,MATH 20A,
UCD,Calc2,A,1,MAT 021B,MATH 20B,
UCD,Calc3,A,1,MAT 021C,MATH 20C,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSIS 10A; CSIS 10B; CSIS 10C,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSIS 10A; CSIS 10B; CSIS 10C,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSIS 10A; CSIS 10B; CSIS 10C,
UCI,Calc1,A,1,MATH 2A,MATH 20A,
UCI,Calc2,A,1,MATH 2B,MATH 20B,
UCLA,Intro,A,1,COM SCI 31,CSIS 10C,
UCLA,Calc1,A,1,MATH 31A,MATH 20A,
UCLA,Calc2,A,1,MATH 31B,MATH 20B,
UCLA,Calc3,A,1,MATH 32A,MATH 20C,
UCLA,Calc4,A,1,MATH 32B,MATH 20C,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 31,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 32,
UCM,DataStructures,A,1,CSE 030,CSIS 10B,
UCM,Calc1,A,1,MATH 021,MATH 20A,
UCM,Calc2,A,1,MATH 022,MATH 20B,
UCM,VectorCalc,A,1,MATH 023,MATH 20C,
UCM,LinearAlgebra,A,1,MATH 024,MATH 31; MATH 32,
UCM,DataStructures,A,1,CSE 030,CSIS 10B,
UCR,Intro1,A,1,CS 10A,CSIS 10A,CSIS 10C
UCR,Intro2,A,1,CS 10B,CSIS 10B,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 20A; MATH 20B,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 20A; MATH 20B,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 20A; MATH 20B,
UCSD,Intro,A,1,CSE 8B,Not Articulated,
UCSD,Intro,B,1,CSE 11,Not Articulated,
UCSD,DataStructures,A,1,CSE 12,Not Articulated,
UCSD,DiscreteMath,A,1,CSE 20,MATH 40,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 31,
UCSD,Calc1,A,1,MATH 20A,MATH 20A,
UCSD,Calc2,A,1,MATH 20B,MATH 20B,
UCSD,Calc3,A,1,MATH 20C,MATH 20C,
UCSB,Calc1,A,1,MATH 3A,MATH 20A,
UCSB,Calc2,A,1,MATH 3B,MATH 20B,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 31,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 32,
UCSB,Comp1,A,1,CMPSC 16,CSIS 10C,
UCSB,Comp2,A,1,CMPSC 24,Not Articulated,
UCSB,Comp3,A,1,CMPSC 40,CSIS 12,MATH 40
UCSC,DataStructures,A,1,CSE 12,CSIS 11,
UCSC,DiscreteMath,A,1,CSE 16,CSIS 12,MATH 40
UCSC,Intro,A,1,CSE 30,CSIS 10B,
UCSC,Calc1,A,1,MATH 19A,MATH 20A,
UCSC,Calc2,A,1,MATH 19B,MATH 20B,
