UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
UCB,Calc1,A,1,MATH 1A,MATH M25A,,
UCB,Calc2,A,1,MATH 1B,MATH M25B,,
UCB,MultivariableCalc,A,1,MATH 53,MATH M25C,,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH M31; MATH M35,,
UCD,DiscreteMath,A,1,ECS 020,CS M155,MATH M21,
UCD,ProblemSolving,A,1,ECS 036A,Not Articulated,,
UCD,ObjectOriented,A,1,ECS 036B,CS M135,,
UCD,Algorithms,A,1,ECS 036C,Not Articulated,,
UCD,Organization,A,1,ECS 050,CS M145,,
UCD,Calc1,A,1,MAT 021A,MATH M25A,MATH M25AH,
UCD,Calc2,A,1,MAT 021B,MATH M25B,,
UCD,Calc3,A,1,MAT 021C,MATH M25C,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS M125; CS M135,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS M125; CS M135,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS M125; CS M135,,
UCI,Calc1,A,1,MATH 2A,MATH M25A,MATH M25AH,
UCI,Calc2,A,1,MATH 2B,MATH M25B,MATH M25BH,
UCLA,Intro,A,1,COM SCI 31,CS M125,,
UCLA,Calc1,A,1,MATH 31A,MATH M25A,MATH M25AH,
UCLA,Calc2,A,1,MATH 31B,MATH M25B,MATH M25BH,
UCLA,Calc3,A,1,MATH 32A,MATH M25C,,
UCLA,Calc4,A,1,MATH 32B,MATH M25C,,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH M31,,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH M35,,
UCM,DataStructures,A,1,CSE 030,CS M135,,
UCM,Calc1,A,1,MATH 021,MATH M25A,MATH M25AH,
UCM,Calc2,A,1,MATH 022,MATH M25B,MATH M25BH,
UCM,VectorCalc,A,1,MATH 023,MATH M25C,,
UCM,LinearAlgebra,A,1,MATH 024,MATH M31; MATH M35,,
UCM,DataStructures,A,1,CSE 030,CS M135,,
UCR,Intro1,A,1,CS 10A,CS M125,CS M10J,CS M135
UCR,Intro2,A,1,CS 10B,Not Articulated,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH M25A; MATH M25B,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH M25A; MATH M25B,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH M25A; MATH M25B,,
UCSD,Intro,A,1,CSE 8B,Not Articulated,,
UCSD,Intro,B,1,CSE 11,CS M10J,,
UCSD,DataStructures,A,1,CSE 12,CS M135,,
UCSD,DiscreteMath,A,1,CSE 20,MATH M21,CS M155,
UCSD,LinearAlgebra,A,1,MATH 18,MATH M31,,
UCSD,Cal1,A,1,MATH 20A,MATH M16A,MATH M25A,
UCSD,Cal2,A,1,MATH 20B,MATH M16B,MATH M25B,
UCSD,Calc3,A,1,MATH 20C,MATH M25C,,
UCSB,Calc1,A,1,MATH 3A,MATH M25A,MATH M25AH,
UCSB,Calc2,A,1,MATH 3B,MATH M25B,MATH M25BH,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH M31,,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH M35,,
UCSB,Comp1,A,1,CMPSC 16,CS M125,,
UCSB,Comp2,A,1,CMPSC 24,CS M135,,
UCSB,Comp3,A,1,CMPSC 40,CS M155,MATH M21,
UCSC,DataStructures,A,1,CSE 12,CS M145,,
UCSC,DiscreteMath,A,1,CSE 16,CS M155,,
UCSC,Python,A,1,CSE 30,Not Articulated,,
UCSC,Calc1,A,1,MATH 19A,MATH M25A,MATH M25AH,
UCSC,Calc2,A,1,MATH 19B,MATH M25B,MATH M25BH,
