UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
UCB,Calc1,A,1,MATH 1A,MATH- 211,MATH- 211H,
UCB,Calc2,A,1,MATH 1B,MATH- 212,MATH- 212H,
UCB,MultivariableCalc,A,1,MATH 53,MATH- 213,MATH- 213H,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH- 215; MATH- 218,MATH- 215H; MATH- 218,
UCD,DiscreteMath,A,1,ECS 020,CSIS- 213,,
UCD,Intro1,A,1,ECS 036A,CSIS- 113A,CSIS- 113B,
UCD,Intro2,A,1,ECS 036B,CSIS- 123A,CSIS- 123B,
UCD,DataStructures,A,1,ECS 036C,CSIS- 211,,
UCD,Organization,A,1,ECS 050,CSIS- 118B,,
UCD,Calc1,A,1,MAT 021A,MATH- 211,,
UCD,Calc2,A,1,MAT 021B,MATH- 212,MATH- 212H,
UCD,Calc3,A,1,MAT 021C,MATH- 213,MATH- 213H,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSIS- 113A; CSIS- 123A,CSIS- 113B; CSIS- 123B,CSIS- 116E; CSIS- 126E
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSIS- 113A; CSIS- 123A,CSIS- 113B; CSIS- 123B,CSIS- 116E; CSIS- 126E
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSIS- 113A; CSIS- 123A,CSIS- 113B; CSIS- 123B,CSIS- 116E; CSIS- 126E
UCI,Calc1,A,1,MATH 2A,MATH- 211,MATH- 211H,
UCI,Calc2,A,1,MATH 2B,MATH- 212,MATH- 212H,
UCLA,Intro,A,1,COM SCI 31,CSIS- 113A,,
UCLA,Calc1,A,1,MATH 31A,MATH- 211,,
UCLA,Calc2,A,1,MATH 31B,MATH- 212,MATH- 212H,
UCLA,Calc3,A,1,MATH 32A,MATH- 213,MATH- 213H,
UCLA,Calc4,A,1,MATH 32B,MATH- 213,MATH- 213H,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH- 218,,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH- 215,,
UCM,DataStructures,A,1,CSE 030,CSIS- 211,,
UCM,Calc1,A,1,MATH 021,MATH- 211,,
UCM,Calc2,A,1,MATH 022,MATH- 212,MATH- 212H,
UCM,VectorCalc,A,1,MATH 023,MATH- 213,MATH- 213H,
UCM,LinearAlgebra,A,1,MATH 024,MATH- 215H; MATH- 218,MATH- 215,
UCM,DataStructures,A,1,CSE 030,CSIS- 211,,
UCR,Intro1,A,1,CS 10A,CSIS- 113A,,
UCR,Intro2,A,1,CS 10B,CSIS- 123A,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH- 211; MATH- 212,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH- 211; MATH- 212,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH- 211; MATH- 212,,
UCSD,Intro,A,1,CSE 8B,CSIS- 123B,,
UCSD,Intro,B,1,CSE 11,Not Articulated,,
UCSD,DataStructures,A,1,CSE 12,CSIS- 211,,
UCSD,DiscreteMath,A,1,CSE 20,CSIS- 213,,
UCSD,LinearAlgebra,A,1,MATH 18,MATH- 218,,
UCSD,Calc1,A,1,MATH 20A,MATH- 211,,
UCSD,Calc2,A,1,MATH 20B,MATH- 212,,
UCSD,Calc3,A,1,MATH 20C,MATH- 213,,
UCSB,Calc1,A,1,MATH 3A,MATH- 211,MATH- 211H,
UCSB,Calc2,A,1,MATH 3B,MATH- 212,MATH- 212H,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH- 218,,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH- 215,MATH- 215H,
UCSB,Intro,A,1,CMPSC 16,CSIS- 113A,,
UCSB,DataStructures,A,1,CMPSC 24,CSIS- 211,,
UCSB,DiscreteMath,A,1,CMPSC 40,CSIS- 213,,
UCSC,DataStructures,A,1,CSE 12,CSIS- 118B,,
UCSC,DiscreteMath,A,1,CSE 16,CSIS- 213,,
UCSC,Intro,A,1,CSE 30,CSIS- 211,,
UCSC,Calc1,A,1,MATH 19A,MATH- 211,,
UCSC,Calc2,A,1,MATH 19B,MATH- 212,MATH- 212H,
