UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1
UCB,Calc1,A,1,MATH 1A,MATH 120
UCB,Calc2,A,1,MATH 1B,MATH 121
UCB,MultivariableCalc,A,1,MATH 53,MATH 221
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 220; MATH 222
UCD,DiscreteMath,A,1,ECS 020,Not Articulated
UCD,ProblemSolving,A,1,ECS 036A,COMS 215
UCD,ObjectOriented,A,1,ECS 036B,COMS 216
UCD,Algorithms,A,1,ECS 036C,Not Articulated
UCD,Organization,A,1,ECS 050,Not Articulated
UCD,Calc1,A,1,MAT 021A,MATH 120
UCD,Calc2,A,1,MAT 021B,MATH 121
UCD,Calc3,A,1,MAT 021C,MATH 221
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated
UCI,Calc1,A,1,MATH 2A,MATH 120
UCI,Calc2,A,1,MATH 2B,MATH 121
UCLA,Intro,A,1,COM SCI 31,Not Articulated
UCLA,Calc1,A,1,MATH 31A,MATH 120
UCLA,Calc2,A,1,MATH 31B,MATH 121
UCLA,Calc3,A,1,MATH 32A,MATH 221
UCLA,Calc4,A,1,MATH 32B,MATH 221
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 220
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 222
UCM,DataStructures,A,1,CSE 030,COMS 216
UCM,Calc1,A,1,MATH 021,MATH 120
UCM,Calc2,A,1,MATH 022,MATH 121
UCM,VectorCalc,A,1,MATH 023,MATH 221
UCM,LinearAlgebra,A,1,MATH 024,MATH 220; MATH 222
UCM,DataStructures,A,1,CSE 030,COMS 216
UCR,Intro1,A,1,CS 10A,COMS 215
UCR,Intro2,A,1,CS 10B,Not Articulated
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 120; MATH 121
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 120; MATH 121
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 120; MATH 121
UCSD,Intro,A,1,CSE 8B,Not Articulated
UCSD,Intro,B,1,CSE 11,Not Articulated
UCSD,DataStructures,A,1,CSE 12,Not Articulated
UCSD,DiscreteMath,A,1,CSE 20,Not Articulated
UCSD,LinearAlgebra,A,1,MATH 18,MATH 220
UCSD,Cal1,A,1,MATH 20A,MATH 120
UCSD,Cal2,A,1,MATH 20B,MATH 121
UCSD,Calc3,A,1,MATH 20C,MATH 221
UCSB,Calc1,A,1,MATH 3A,MATH 120
UCSB,Calc2,A,1,MATH 3B,MATH 121
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 220
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 222
UCSB,Comp1,A,1,CMPSC 16,COMS 215
UCSB,Comp2,A,1,CMPSC 24,Not Articulated
UCSB,Comp3,A,1,CMPSC 40,COMS 218
UCSC,DataStructures,A,1,CSE 12,Not Articulated
UCSC,DiscreteMath,A,1,CSE 16,Not Articulated
UCSC,Python,A,1,CSE 30,COMS 216
UCSC,Calc1,A,1,MATH 19A,MATH 120
UCSC,Calc2,A,1,MATH 19B,MATH 121
