UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
UCB,Calc1,A,1,MATH 1A,MATH 101A,
UCB,Calc2,A,1,MATH 1B,MATH 101B,
UCB,MultivariableCalc,A,1,MATH 53,MATH 101C,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 103; MATH 104,
UCD,DiscreteMath,A,1,ECS 020,CS 113,
UCD,ProblemSolving,A,1,ECS 036A,CS 102,
UCD,ObjectOriented,A,1,ECS 036B,CS 116,CS 170
UCD,Algorithms,A,1,ECS 036C,CS 124,
UCD,Organization,A,1,ECS 050,CS 118,
UCD,Calc1,A,1,MAT 021A,MATH 101A,
UCD,Calc2,A,1,MAT 021B,MATH 101B,
UCD,Calc3,A,1,MAT 021C,MATH 101C,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Calc1,A,1,MATH 2A,MATH 101A,
UCI,Calc2,A,1,MATH 2B,MATH 101B,
UCLA,Intro,A,1,COM SCI 31,CS 102,CS 116
UCLA,Calc1,A,1,MATH 31A,MATH 101A,
UCLA,Calc2,A,1,MATH 31B,MATH 101B,
UCLA,Calc3,A,1,MATH 32A,MATH 101C,
UCLA,Calc4,A,1,MATH 32B,MATH 101C,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 103,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 104,
UCM,DataStructures,A,1,CSE 030,CS 124,
UCM,Calc1,A,1,MATH 021,MATH 101A,
UCM,Calc2,A,1,MATH 022,MATH 101B,
UCM,VectorCalc,A,1,MATH 023,MATH 101C,
UCM,LinearAlgebra,A,1,MATH 024,MATH 103; MATH 104,
UCM,DataStructures,A,1,CSE 030,CS 124,
UCR,Intro1,A,1,CS 10A,CS 102,
UCR,Intro2,A,1,CS 10B,CS 116,CS 170
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 101A; MATH 101B,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 101A; MATH 101B,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 101A; MATH 101B,
UCSD,Intro,A,1,CSE 8B,Not Articulated,
UCSD,Intro,B,1,CSE 11,CS 170,
UCSD,DataStructures,A,1,CSE 12,CS 124,
UCSD,DiscreteMath,A,1,CSE 20,CS 113,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 103,
UCSD,Cal1,A,1,MATH 20A,MATH 101A,
UCSD,Cal2,A,1,MATH 20B,MATH 101B,
UCSD,Calc3,A,1,MATH 20C,MATH 101C,
UCSB,Calc1,A,1,MATH 3A,MATH 101A,
UCSB,Calc2,A,1,MATH 3B,MATH 101B,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 103,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 104,
UCSB,Comp1,A,1,CMPSC 16,CS 102,
UCSB,Comp2,A,1,CMPSC 24,CS 124,
UCSB,Comp3,A,1,CMPSC 40,CS 113,
UCSC,DataStructures,A,1,CSE 12,CS 118,
UCSC,DiscreteMath,A,1,CSE 16,CS 113,
UCSC,Python,A,1,CSE 30,CS 124,
UCSC,Calc1,A,1,MATH 19A,MATH 101A,
UCSC,Calc2,A,1,MATH 19B,MATH 101B,
