UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
UCB,Calc1,A,1,MATH 1A,MATH A180,MATH A180H,MATH A182H,
UCB,Calc2,A,1,MATH 1B,MATH A182H,MATH A185,MATH A185H,
UCB,MultivariableCalc,A,1,MATH 53,MATH A280,MATH A280H,,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH A285,MATH A285H,,
UCD,DiscreteMath,A,1,ECS 020,MATH A230,,,
UCD,Intro1,A,1,ECS 036A,CS A131,CS A140,CS A150,CS A170
UCD,Intro2,A,1,ECS 036B,CS A250,,,
UCD,DataStructures,A,1,ECS 036C,CS A200,,,
UCD,Organization,A,1,ECS 050,CS A216,,,
UCD,Calc1,A,1,MAT 021A,MATH A180,MATH A180H,MATH A182H,
UCD,Calc2,A,1,MAT 021B,MATH A182H,MATH A185,MATH A185H,
UCD,Calc3,A,1,MAT 021C,MATH A280,MATH A280H,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS A150; CS A250,,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS A150; CS A250,,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS A150; CS A250,,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32,CS A131; CS A231,,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32,CS A131; CS A231,,,
UCI,Calc1,A,1,MATH 2A,MATH A180,MATH A180H,MATH A182H,
UCI,Calc2,A,1,MATH 2B,MATH A185,MATH A185H,MATH A182H,
UCLA,Intro,A,1,COM SCI 31,CS A150,,,
UCLA,Calc1,A,1,MATH 31A,MATH A180,MATH A180H,MATH A182H,
UCLA,Calc2,A,1,MATH 31B,MATH A182H,MATH A185,MATH A185H,
UCLA,Calc3,A,1,MATH 32A,MATH A280,MATH A280H,,
UCLA,Calc4,A,1,MATH 32B,MATH A280,MATH A280H,,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH A285,MATH A285H,,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH A285,MATH A285H,,
UCM,DataStructures,A,1,CSE 030,CS A200,,,
UCM,Calc1,A,1,MATH 021,MATH A180,MATH A180H,,
UCM,Calc2,A,1,MATH 022,MATH A182H,MATH A185,MATH A185H,
UCM,VectorCalc,A,1,MATH 023,MATH A280,MATH A280H,,
UCM,LinearAlgebra,A,1,MATH 024,MATH A285,MATH A285H,,
UCM,DataStructures,A,1,CSE 030,CS A200,,,
UCR,Intro1,A,1,CS 10A,CS A131,CS A140,CS A150,CS A170
UCR,Intro2,A,1,CS 10B,CS A250,,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH A180; MATH A185,MATH A182H,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH A180; MATH A185,MATH A182H,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH A180; MATH A185,MATH A182H,,
UCSD,Intro,A,1,CSE 8B,Not Articulated,,,
UCSD,Intro,B,1,CSE 11,CS A170,,,
UCSD,DataStructures,A,1,CSE 12,CS A200,,,
UCSD,DiscreteMath,A,1,CSE 20,MATH A230,CS A262,,
UCSD,LinearAlgebra,A,1,MATH 18,MATH A235,MATH A285,MATH A285H,
UCSD,Calc1,A,1,MATH 20A,MATH A180,MATH A180H,MATH A182H,
UCSD,Calc2,A,1,MATH 20B,MATH A185,MATH A185H,MATH A182H,
UCSD,Calc3,A,1,MATH 20C,MATH A280,MATH A280H,,
UCSB,Calc1,A,1,MATH 3A,MATH A180,MATH A180H,MATH A182H,
UCSB,Calc2,A,1,MATH 3B,MATH A182H,MATH A185,MATH A185H,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH A285,MATH A285H,,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH A285,MATH A285H,,
UCSB,Intro,A,1,CMPSC 16,CS A150,,,
UCSB,DataStructures,A,1,CMPSC 24,CS A200,,,
UCSB,DiscreteMath,A,1,CMPSC 40,CS A262,MATH A230,,
UCSC,DataStructures,A,1,CSE 12,CS A216,,,
UCSC,DiscreteMath,A,1,CSE 16,CS A257; CS A262,MATH A230,,
UCSC,Intro,A,1,CSE 30,CS A200,,,
UCSC,Calc1,A,1,MATH 19A,MATH A180,MATH A180H,MATH A182H,
UCSC,Calc2,A,1,MATH 19B,MATH A182H,MATH A185,MATH A185H,
