UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1
UCB,Calc1,A,1,MATH 1A,MATH R120
UCB,Calc2,A,1,MATH 1B,MATH R121
UCB,MultivariableCalc,A,1,MATH 53,MATH R122
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH R134; MATH R143
UCD,DiscreteMath,A,1,ECS 020,Not Articulated
UCD,Intro1,A,1,ECS 036A,Not Articulated
UCD,Intro2,A,1,ECS 036B,Not Articulated
UCD,DataStructures,A,1,ECS 036C,Not Articulated
UCD,Organization,A,1,ECS 050,Not Articulated
UCD,Calc1,A,1,MAT 021A,MATH R120
UCD,Calc2,A,1,MAT 021B,MATH R121
UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH R122
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated
UCI,Calc1,A,1,MATH 2A,MATH R120
UCI,Calc2,A,1,MATH 2B,MATH R121
UCLA,Intro,A,1,COM SCI 31,Not Articulated
UCLA,Calc1,A,1,MATH 31A,MATH R120
UCLA,Calc2,A,1,MATH 31B,MATH R121
UCLA,Calc3,A,1,MATH 32A,MATH R122
UCLA,Calc4,A,1,MATH 32B,MATH R122
UCLA,LinearAlgebra,A,1,MATH 33A,MATH R134
UCLA,DifferentialEquations,A,1,MATH 33B,MATH R143
UCM,DataStructures,A,1,CSE 030,Not Articulated
UCM,Calc1,A,1,MATH 021,MATH R120
UCM,Calc2,A,1,MATH 022,MATH R121
UCM,VectorCalc,A,1,MATH 023,MATH R122
UCM,LinearAlgebra,A,1,MATH 024,MATH R134; MATH R143
UCM,DataStructures,A,1,CSE 030,Not Articulated
UCR,Intro1,A,1,CS 10A,Not Articulated
UCR,Intro2,A,1,CS 10B,Not Articulated
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH R120; MATH R121
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH R120; MATH R121
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH R120; MATH R121
UCSD,Intro,A,1,CSE 8B,Not Articulated
UCSD,Intro,B,1,CSE 11,Not Articulated
UCSD,DataStructures,A,1,CSE 12,Not Articulated
UCSD,DiscreteMath,A,1,CSE 20,Not Articulated
UCSD,LinearAlgebra,A,1,MATH 18,MATH R134
UCSD,Calc1,A,1,MATH 20A,MATH R120
UCSD,Calc2,A,1,MATH 20B,MATH R121
UCSD,Calc3,A,1,MATH 20C,MATH R122
UCSB,Calc1,A,1,MATH 3A,MATH R120
UCSB,Calc2,A,1,MATH 3B,MATH R121
UCSB,LinearAlgebra,A,1,MATH 4A,MATH R134
UCSB,DifferentialEquations,A,1,MATH 4B,MATH R143
UCSB,Intro,A,1,CMPSC 16,Not Articulated
UCSB,DataStructures,A,1,CMPSC 24,Not Articulated
UCSB,DiscreteMath,A,1,CMPSC 40,Not Articulated
UCSC,DataStructures,A,1,CSE 12,Not Articulated
UCSC,DiscreteMath,A,1,CSE 16,Not Articulated
UCSC,Intro,A,1,CSE 30,Not Articulated
UCSC,Calc1,A,1,MATH 19A,MATH R120
UCSC,Calc2,A,1,MATH 19B,MATH R121
