UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
UCB,Calc1,A,1,MATH 1A,MATH 005A,MATH 005AH,,
UCB,Calc2,A,1,MATH 1B,MATH 005B; MATH 055,MATH 005BH; MATH 055H,,
UCB,MultivariableCalc,A,1,MATH 53,MATH 005C,MATH 005CH,,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 010; MATH 055,MATH 010H; MATH 055H,,
UCD,DiscreteMath,A,1,ECS 020,CS 045,MATH 022,,
UCD,ProblemSolving,A,1,ECS 036A,CS 002,CS 003B,CS 003C,
UCD,ObjectOriented,A,1,ECS 036B,CS 003A,,,
UCD,Algorithms,A,1,ECS 036C,Not Articulated,,,
UCD,Organization,A,1,ECS 050,CS 066,,,
UCD,Calc1,A,1,MAT 021A,MATH 005A,MATH 005AH,,
UCD,Calc2,A,1,MAT 021B; MAT 021C; MAT 021D,MATH 005B; MATH 005C,MATH 005B; MATH 005CH,MATH 005BH; MATH 005C,MATH 005BH; MATH 005CH
UCD,Calc3,A,1,MAT 021B; MAT 021C; MAT 021D,MATH 005B; MATH 005C,MATH 005B; MATH 005CH,MATH 005BH; MATH 005C,MATH 005BH; MATH 005CH
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 002; CS 003B,CS 002; CS 003C,CS 003B; CS 033,CS 003C; CS 034
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 002; CS 003B,CS 002; CS 003C,CS 003B; CS 033,CS 003C; CS 034
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 002; CS 003B,CS 002; CS 003C,CS 003B; CS 033,CS 003C; CS 034
UCI,Calc1,A,1,MATH 2A,BUS 014B; MATH 005A; MATH 005AH; MATH 006A,,,
UCI,Calc2,A,1,MATH 2B,MATH 005B,MATH 005BH,,
UCLA,Intro,A,1,COM SCI 31,CS 002,CS 003A,CIS 014,
UCLA,Calc1,A,1,MATH 31A,MATH 005A,MATH 005AH,,
UCLA,Calc2,A,1,MATH 31B,MATH 005B,MATH 005BH,,
UCLA,Calc3,A,1,MATH 32A,MATH 005C,,,
UCLA,Calc4,A,1,MATH 32B,MATH 005C,,,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 010,MATH 010H,,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 055,MATH 055H,,
UCM,DataStructures,A,1,CSE 030,CS 008,,,
UCM,Calc1,A,1,MATH 021,MATH 005A,MATH 005AH,,
UCM,Calc2,A,1,MATH 022,MATH 005B,MATH 005BH,,
UCM,VectorCalc,A,1,MATH 023,MATH 005C,MATH 005CH,,
UCM,LinearAlgebra,A,1,MATH 024,MATH 010; MATH 055,MATH 010; MATH 055H,MATH 010H; MATH 055,MATH 010H; MATH 055H
UCM,DataStructures,A,1,CSE 030,CS 008,,,
UCR,Intro1,A,1,CS 10A,CS 002,CS 003B,CS 003C,CIS 016
UCR,Intro2,A,1,CS 10B,CIS 014,CS 003A,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 005A; MATH 005B,,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 005A; MATH 005B,,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 005A; MATH 005B,,,
UCSD,Intro,A,1,CSE 8B,CS 003B,,,
UCSD,Intro,B,1,CSE 11,CIS 016,CS 003B,,
UCSD,DataStructures,A,1,CSE 12,CS 008,,,
UCSD,DiscreteMath,A,1,CSE 20,MATH 022,,,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 010,MATH 010H,,
UCSD,Calc1,A,1,MATH 20A,MATH 005A,MATH 005AH,,
UCSD,Calc2,A,1,MATH 20B,MATH 005B,MATH 005BH,,
UCSD,Calc3,A,1,MATH 20C,MATH 005C,MATH 005CH,,
UCSB,Calc1,A,1,MATH 3A,MATH 005A,MATH 005AH,,
UCSB,Calc2,A,1,MATH 3B,MATH 005B,MATH 005BH,,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 010,MATH 010H,,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 055,MATH 055H,,
UCSB,Comp1,A,1,CMPSC 16,CS 002,,,
UCSB,Comp2,A,1,CMPSC 24,CS 003A; CS 008,,,
UCSB,Comp3,A,1,CMPSC 40,CS 045,MATH 022,,
UCSC,DataStructures,A,1,CSE 12,CS 066,,,
UCSC,DiscreteMath,A,1,CSE 16,CS 045,MATH 022,,
UCSC,Intro,A,1,CSE 30,CS 008,CS 034,,
UCSC,Calc1,A,1,MATH 19A,MATH 005A,MATH 005AH,,
UCSC,Calc2,A,1,MATH 19B,MATH 005B,MATH 005BH,,
