UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
UCB,Calc1,A,1,MATH 1A,MATH 180,,
UCB,Calc2,A,1,MATH 1B,MATH 185,,
UCB,MultivariableCalc,A,1,MATH 53,MATH 280,,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 287,,
UCD,DiscreteMath,A,1,ECS 020,Not Articulated,,
UCD,ProblemSolving,A,1,ECS 036A,CMPR 112,,
UCD,ObjectOriented,A,1,ECS 036B,Not Articulated,,
UCD,Algorithms,A,1,ECS 036C,Not Articulated,,
UCD,Organization,A,1,ECS 050,CMPR 129,,
UCD,Calc1,A,1,MAT 021A; MAT 021B; MAT 021C,MATH 180; MATH 185,,
UCD,Calc2,A,1,MAT 021A; MAT 021B; MAT 021C,MATH 180; MATH 185,,
UCD,Calc3,A,1,MAT 021A; MAT 021B; MAT 021C,MATH 180; MATH 185,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CMPR 112; CMPR 113,CMPR 114; CMPR 215,CMPR 120; CMPR 121
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CMPR 112; CMPR 113,CMPR 114; CMPR 215,CMPR 120; CMPR 121
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CMPR 112; CMPR 113,CMPR 114; CMPR 215,CMPR 120; CMPR 121
UCI,Calc1,A,1,MATH 2A,MATH 180,,
UCI,Calc2,A,1,MATH 2B,MATH 185,,
UCLA,Intro,A,1,COM SCI 31,CMPR 121,,
UCLA,Calc1,A,1,MATH 31A,MATH 180,,
UCLA,Calc2,A,1,MATH 31B,MATH 185,,
UCLA,Calc3,A,1,MATH 32A,MATH 280,,
UCLA,Calc4,A,1,MATH 32B,MATH 280,,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 287,,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 287,,
UCM,DataStructures,A,1,CSE 030,Not Articulated,,
UCM,Calc1,A,1,MATH 021,MATH 180,,
UCM,Calc2,A,1,MATH 022,MATH 185,,
UCM,VectorCalc,A,1,MATH 023,MATH 280,,
UCM,LinearAlgebra,A,1,MATH 024,MATH 287,,
UCM,DataStructures,A,1,CSE 030,Not Articulated,,
UCR,Intro1,A,1,CS 10A,CMPR 121,,
UCR,Intro2,A,1,CS 10B,CMPR 131,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 180; MATH 185,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 180; MATH 185,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 180; MATH 185,,
UCSD,Intro,A,1,CSE 8B,Not Articulated,,
UCSD,Intro,B,1,CSE 11,CMPR 112,,
UCSD,DataStructures,A,1,CSE 12,Not Articulated,,
UCSD,DiscreteMath,A,1,CSE 20,CMPR 140,,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 287,,
UCSD,Calc1,A,1,MATH 20A,MATH 180,,
UCSD,Calc2,A,1,MATH 20B,MATH 185,,
UCSD,Calc3,A,1,MATH 20C,MATH 280,,
UCSB,Calc1,A,1,MATH 3A,MATH 180,,
UCSB,Calc2,A,1,MATH 3B,MATH 185,,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 287,,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 287,,
UCSB,Comp1,A,1,CMPSC 16,Not Articulated,,
UCSB,Comp2,A,1,CMPSC 24,CMPR 131,,
UCSB,Comp3,A,1,CMPSC 40,CMPR 140,,
UCSC,DataStructures,A,1,CSE 12,Not Articulated,,
UCSC,DiscreteMath,A,1,CSE 16,CMPR 140,,
UCSC,Intro,A,1,CSE 30,CMPR 131,,
UCSC,Calc1,A,1,MATH 19A,MATH 180,,
UCSC,Calc2,A,1,MATH 19B,MATH 185,,
