UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
UCB,Calc1,A,1,MATH 1A,MATH 190,MATH 190H
UCB,Calc2,A,1,MATH 1B,MATH 191,
UCB,MultivariableCalc,A,1,MATH 53,MATH 250,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 260; MATH 270,
UCD,DiscreteMath,A,1,ECS 020,Not Articulated,
UCD,ProblemSolving,A,1,ECS 036A,CIT 125,CIT 135
UCD,ObjectOriented,A,1,ECS 036B,CIT 126,
UCD,Algorithms,A,1,ECS 036C,Not Articulated,
UCD,Organization,A,1,ECS 050,Not Articulated,
UCD,Calc1,A,1,MAT 021A,MATH 190,MATH 190H
UCD,Calc2,A,1,MAT 021B,MATH 191,
UCD,Calc3,A,1,MAT 021C,MATH 250,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32,CIT 127; CIT 128,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32,CIT 127; CIT 128,
UCI,Calc1,A,1,MATH 2A,MATH 190,MATH 190H
UCI,Calc2,A,1,MATH 2B,MATH 191,
UCLA,Intro,A,1,COM SCI 31,CIT 126,
UCLA,Calc1,A,1,MATH 31A,MATH 190,
UCLA,Calc2,A,1,MATH 31B,MATH 191,
UCLA,Calc3,A,1,MATH 32A,MATH 250,
UCLA,Calc4,A,1,MATH 32B,MATH 250,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 251,MATH 260
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 270,
UCM,DataStructures,A,1,CSE 030,CIT 127; CIT 128,
UCM,Calc1,A,1,MATH 021,MATH 190,MATH 190H
UCM,Calc2,A,1,MATH 022,MATH 191,
UCM,VectorCalc,A,1,MATH 023,MATH 250,
UCM,LinearAlgebra,A,1,MATH 024,MATH 260; MATH 270,MATH 251
UCM,DataStructures,A,1,CSE 030,CIT 127; CIT 128,
UCR,Intro1,A,1,CS 10A,CIT 125,CIT 135
UCR,Intro2,A,1,CS 10B,CIT 126,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 190; MATH 191,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 190; MATH 191,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 190; MATH 191,
UCSD,Intro,A,1,CSE 8B,CIT 136,
UCSD,Intro,B,1,CSE 11,Not Articulated,
UCSD,DataStructures,A,1,CSE 12,Not Articulated,
UCSD,DiscreteMath,A,1,CSE 20,CS 152,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 260,MATH 251
UCSD,Cal1,A,1,MATH 20A,MATH 190,
UCSD,Cal2,A,1,MATH 20B,MATH 191,
UCSD,Calc3,A,1,MATH 20C,MATH 250,
UCSB,Calc1,A,1,MATH 3A,MATH 190,MATH 190H
UCSB,Calc2,A,1,MATH 3B,MATH 191,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 251,MATH 260
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 251,MATH 270
UCSB,Comp1,A,1,CMPSC 16,CIT 125,
UCSB,Comp2,A,1,CMPSC 24,Not Articulated,
UCSB,Comp3,A,1,CMPSC 40,CS 152,
UCSC,DataStructures,A,1,CSE 12,CS 142,
UCSC,DiscreteMath,A,1,CSE 16,Not Articulated,
UCSC,Python,A,1,CSE 30,CIT 128,
UCSC,Calc1,A,1,MATH 19A,MATH 190,
UCSC,Calc2,A,1,MATH 19B,MATH 191,
