UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
UCB,Calc1,A,1,MATH 1A,MAT 1A,,,
UCB,Calc2,A,1,MATH 1B,MAT 1B,,,
UCB,MultivariableCalc,A,1,MATH 53,MAT 1C,,,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MAT 2; MAT 3,,,
UCD,DiscreteMath,A,1,ECS 020,CIS 7,CSC 7,,
UCD,Intro1,A,1,ECS 036A,CIS 5,CIS 17A,CSC 5,CSC 17A
UCD,Intro2,A,1,ECS 036B,CIS 17B,CSC 17B,,
UCD,DataStructures,A,1,ECS 036C,Not Articulated,,,
UCD,Organization,A,1,ECS 050,CIS 11,CSC 11,,
UCD,Calc1,A,1,MAT 021A,MAT 1A,,,
UCD,Calc2,A,1,MAT 021B,MAT 1B,,,
UCD,Calc3,A,1,MAT 021C; MAT 021D,MAT 1C,,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 17A; CIS 17B,CIS 18A; CIS 18B,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 17A; CIS 17B,CIS 18A; CIS 18B,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 17A; CIS 17B,CIS 18A; CIS 18B,,
UCI,Calc1,A,1,MATH 2A,MAT 1A,MAT 1AH,,
UCI,Calc2,A,1,MATH 2B,MAT 1B,,,
UCLA,Intro,A,1,COM SCI 31,CIS 17A,,,
UCLA,Calc1,A,1,MATH 31A,MAT 1A,,,
UCLA,Calc2,A,1,MATH 31B,MAT 1B,,,
UCLA,Calc3,A,1,MATH 32A,MAT 1C,,,
UCLA,Calc4,A,1,MATH 32B,MAT 1C,,,
UCLA,LinearAlgebra,A,1,MATH 33A,MAT 3,,,
UCLA,DifferentialEquations,A,1,MATH 33B,MAT 2,,,
UCM,DataStructures,A,1,CSE 030,CSC 17A,CIS 17C,CIS 18C,
UCM,Calc1,A,1,MATH 021,MAT 1A,MAT 1AH,,
UCM,Calc2,A,1,MATH 022,MAT 1B,,,
UCM,VectorCalc,A,1,MATH 023,MAT 1C,,,
UCM,LinearAlgebra,A,1,MATH 024,MAT 2; MAT 3,,,
UCM,DataStructures,A,1,CSE 030,CSC 17A,CIS 17C,CIS 18C,
UCR,Intro1,A,1,CS 10A,CIS 5,CIS 17A,CIS 17B,
UCR,Intro2,A,1,CS 10B,CIS 17C,CIS 18A,CIS 18B,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MAT 1A; MAT 1B,,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MAT 1A; MAT 1B,,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MAT 1A; MAT 1B,,,
UCSD,Intro,A,1,CSE 8B,Not Articulated,,,
UCSD,Intro,B,1,CSE 11,CIS 18B,,,
UCSD,DataStructures,A,1,CSE 12,Not Articulated,,,
UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,,,
UCSD,LinearAlgebra,A,1,MATH 18,MAT 3,,,
UCSD,Calc1,A,1,MATH 20A,MAT 1A,,,
UCSD,Calc2,A,1,MATH 20B,MAT 1B,,,
UCSD,Calc3,A,1,MATH 20C,MAT 1C,,,
UCSB,Calc1,A,1,MATH 3A,MAT 1A,MAT 1AH,,
UCSB,Calc2,A,1,MATH 3B,MAT 1B,,,
UCSB,LinearAlgebra,A,1,MATH 4A,MAT 3,,,
UCSB,DifferentialEquations,A,1,MATH 4B,MAT 2,,,
UCSB,Intro,A,1,CMPSC 16,CIS 5,CSC 5,,
UCSB,DataStructures,A,1,CMPSC 24,CIS 17C,CSC 17C,,
UCSB,DiscreteMath,A,1,CMPSC 40,CIS 7,CSC 7,,
UCSC,DataStructures,A,1,CSE 12,CIS 11,CSC 11,,
UCSC,DiscreteMath,A,1,CSE 16,CIS 7,CSC 7,,
UCSC,Intro,A,1,CSE 30,CIS 17A,CIS 17C,CIS 18C,
UCSC,Calc1,A,1,MATH 19A,MAT 1A,,,
UCSC,Calc2,A,1,MATH 19B,MAT 1B,,,
