UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
UCB,Calc1,A,1,MATH 1A,MATH 400,
UCB,Calc2,A,1,MATH 1B,MATH 401,
UCB,MultivariableCalc,A,1,MATH 53,MATH 402,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 420; MATH 410,
UCD,DiscreteMath,A,1,ECS 020,CISP 440,
UCD,Intro1,A,1,ECS 036A,CISP 360,
UCD,Intro2,A,1,ECS 036B,CISP 400,CISP 401
UCD,DataStructures,A,1,ECS 036C,Not Articulated,
UCD,Organization,A,1,ECS 050,Not Articulated,
UCD,Calc1,A,1,MAT 021A,MATH 400,
UCD,Calc2,A,1,MAT 021B,MATH 401,
UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 402,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Calc1,A,1,MATH 2A,MATH 400,MATH 355
UCI,Calc2,A,1,MATH 2B,MATH 401,MATH 356
UCLA,Intro,A,1,COM SCI 31,CISP 400,
UCLA,Calc1,A,1,MATH 31A,MATH 400,
UCLA,Calc2,A,1,MATH 31B,MATH 401,
UCLA,Calc3,A,1,MATH 32A,MATH 402,
UCLA,Calc4,A,1,MATH 32B,MATH 402,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 410,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 420,
UCM,DataStructures,A,1,CSE 030,CISP 430,
UCM,Calc1,A,1,MATH 021,MATH 400,
UCM,Calc2,A,1,MATH 022,MATH 401,
UCM,VectorCalc,A,1,MATH 023,MATH 402,
UCM,LinearAlgebra,A,1,MATH 024,MATH 410; MATH 420,
UCM,DataStructures,A,1,CSE 030,CISP 430,
UCR,Intro1,A,1,CS 10A,CISP 360,
UCR,Intro2,A,1,CS 10B,CISP 400,CISP 401
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 400; MATH 401,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 400; MATH 401,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 400; MATH 401,
UCSD,Intro,A,1,CSE 8B,Not Articulated,
UCSD,Intro,B,1,CSE 11,Not Articulated,
UCSD,DataStructures,A,1,CSE 12,CISP 430,
UCSD,DiscreteMath,A,1,CSE 20,CISP 440,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 410,
UCSD,Calc1,A,1,MATH 20A,MATH 400,
UCSD,Calc2,A,1,MATH 20B,MATH 401,
UCSD,Calc3,A,1,MATH 20C,MATH 402,
UCSB,Calc1,A,1,MATH 3A,MATH 400,
UCSB,Calc2,A,1,MATH 3B,MATH 401,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 410,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 420,
UCSB,Comp1,A,1,CMPSC 16,CISP 360,
UCSB,Comp2,A,1,CMPSC 24,CISP 430,
UCSB,Comp3,A,1,CMPSC 40,CISP 440,
UCSC,DataStructures,A,1,CSE 12,CISP 310,
UCSC,DiscreteMath,A,1,CSE 16,CISP 440,
UCSC,Intro,A,1,CSE 30,CISP 430,
UCSC,Calc1,A,1,MATH 19A,MATH 400,
UCSC,Calc2,A,1,MATH 19B,MATH 401,
