UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
UCB,Calc1,A,1,MATH 1A,MATH 3A,MATH 3AH,,
UCB,Calc2,A,1,MATH 1B,MATH 3B,,,
UCB,MultivariableCalc,A,1,MATH 53,MATH 3C,,,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 24; MATH 26,,,
UCD,DiscreteMath,A,1,ECS 020,CS 30A,CS 30B,MATH 30A,MATH 30B
UCD,ProblemSolving,A,1,ECS 036A,CS 1A,CS 1B,CS 4A,CS 4B
UCD,ObjectOriented,A,1,ECS 036B,CS 1C,,,
UCD,Algorithms,A,1,ECS 036C,CS 1D,,,
UCD,Organization,A,1,ECS 050,CS 3B,,,
UCD,Calc1,A,1,MAT 021A,MATH 3A,MATH 3AH,,
UCD,Calc2,A,1,MAT 021B,MATH 3A; MATH 3B,,,
UCD,Calc3,A,1,MAT 021C,MATH 3B; MATH 3C,,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 1A; CS 1B; CS 1C,,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 1A; CS 1B; CS 1C,,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 1A; CS 1B; CS 1C,,,
UCI,Calc1,A,1,MATH 2A,MATH 3A,MATH 3AH,,
UCI,Calc2,A,1,MATH 2B,MATH 3B,,,
UCLA,Intro,A,1,COM SCI 31,CS 1B,CS 1C,,
UCLA,Calc1,A,1,MATH 31A,MATH 3A; MATH 3AH,,,
UCLA,Calc2,A,1,MATH 31B,MATH 3B,,,
UCLA,Calc3,A,1,MATH 32A,MATH 3C,,,
UCLA,Calc4,A,1,MATH 32B,MATH 3C,,,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 26,,,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 24,,,
UCM,DataStructures,A,1,CSE 030,CS 1D,,,
UCM,Calc1,A,1,MATH 021,MATH 3A,MATH 3AH,,
UCM,Calc2,A,1,MATH 022,MATH 3B,,,
UCM,VectorCalc,A,1,MATH 023,MATH 3C,,,
UCM,LinearAlgebra,A,1,MATH 024,MATH 24; MATH 26,,,
UCM,DataStructures,A,1,CSE 030,CS 1D,,,
UCR,Intro1,A,1,CS 10A,CS 1B,,,
UCR,Intro2,A,1,CS 10B,CS 1C,CS 4A,CS 4B,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 3A; MATH 3B,,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 3A; MATH 3B,,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 3A; MATH 3B,,,
UCSD,Intro,A,1,CSE 8B,CS 4B,,,
UCSD,Intro,B,1,CSE 11,Not Articulated,,,
UCSD,DataStructures,A,1,CSE 12,CS 1D,,,
UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,,,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 26,,,
UCSD,Calc1,A,1,MATH 20A,MATH 3A,MATH 3AH,,
UCSD,Calc2,A,1,MATH 20B,MATH 3B,,,
UCSD,Calc3,A,1,MATH 20C,MATH 3C,,,
UCSB,Calc1,A,1,MATH 3A,MATH 3A,MATH 3AH,,
UCSB,Calc2,A,1,MATH 3B,MATH 3B,,,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 26,,,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 24,,,
UCSB,Comp1,A,1,CMPSC 16,CS 1A; CS 1B,,,
UCSB,Comp2,A,1,CMPSC 24,CS 1D,,,
UCSB,Comp3,A,1,CMPSC 40,CS 30A,CS 30B,MATH 30A,MATH 30B
UCSC,DataStructures,A,1,CSE 12,CS 3B,,,
UCSC,DiscreteMath,A,1,CSE 16,CS 30A; CS 30B,MATH 30A; MATH 30B,,
UCSC,Intro,A,1,CSE 30,CS 1B,CS 1D,,
UCSC,Calc1,A,1,MATH 19A,MATH 3A,MATH 3AH,,
UCSC,Calc2,A,1,MATH 19B,MATH 3B,,,
