UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
UCB,Calc1,A,1,MATH 1A,MATH 150,,
UCB,Calc2,A,1,MATH 1B,MATH 151,,
UCB,MultivariableCalc,A,1,MATH 53,MATH 252,,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 254; MATH 255,,
UCD,DiscreteMath,A,1,ECS 020,MATH 245,,
UCD,Intro1,A,1,ECS 036A,Not Articulated,,
UCD,Intro2,A,1,ECS 036B,CISC 205,,
UCD,DataStructures,A,1,ECS 036C,Not Articulated,,
UCD,Organization,A,1,ECS 050,Not Articulated,,
UCD,Calc1,A,1,MAT 021A,MATH 150,,
UCD,Calc2,A,1,MAT 021B,MATH 151,,
UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 252,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CISC 179; CISC 192; CISC 201,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CISC 179; CISC 192; CISC 201,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CISC 179; CISC 192; CISC 201,,
UCI,Calc1,A,1,MATH 2A,MATH 150,,
UCI,Calc2,A,1,MATH 2B,MATH 151,,
UCLA,Intro,A,1,COM SCI 31,CISC 192,,
UCLA,Calc1,A,1,MATH 31A,MATH 150,,
UCLA,Calc2,A,1,MATH 31B,MATH 151,,
UCLA,Calc3,A,1,MATH 32A,MATH 252,,
UCLA,Calc4,A,1,MATH 32B,MATH 252,,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 254,,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 255,,
UCM,DataStructures,A,1,CSE 030,CISC 187,,
UCM,Calc1,A,1,MATH 021,MATH 150,,
UCM,Calc2,A,1,MATH 022,MATH 151,,
UCM,VectorCalc,A,1,MATH 023,MATH 252,,
UCM,LinearAlgebra,A,1,MATH 024,MATH 254; MATH 255,,
UCM,DataStructures,A,1,CSE 030,CISC 187,,
UCR,Intro1,A,1,CS 10A,CISC 190,CISC 192,CISC 205
UCR,Intro2,A,1,CS 10B,Not Articulated,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 150; MATH 151,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 150; MATH 151,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 150; MATH 151,,
UCSD,Intro,A,1,CSE 8B,Not Articulated,,
UCSD,Intro,B,1,CSE 11,Not Articulated,,
UCSD,DataStructures,A,1,CSE 12,Not Articulated,,
UCSD,DiscreteMath,A,1,CSE 20,MATH 245,,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 254,,
UCSD,Calc1,A,1,MATH 20A,MATH 150,,
UCSD,Calc2,A,1,MATH 20B,MATH 151,,
UCSD,Calc3,A,1,MATH 20C,MATH 252,,
UCSB,Calc1,A,1,MATH 3A,MATH 150,,
UCSB,Calc2,A,1,MATH 3B,MATH 151,,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 254,,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 255,,
UCSB,Comp1,A,1,CMPSC 16,CISC 192,CISC 205,
UCSB,Comp2,A,1,CMPSC 24,CISC 187,,
UCSB,Comp3,A,1,CMPSC 40,MATH 245,,
UCSC,DataStructures,A,1,CSE 12,Not Articulated,,
UCSC,DiscreteMath,A,1,CSE 16,MATH 245,,
UCSC,Intro,A,1,CSE 30,Not Articulated,,
UCSC,Calc1,A,1,MATH 19A,MATH 150,,
UCSC,Calc2,A,1,MATH 19B,MATH 151,,
