UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
UCB,Calc1,A,1,MATH 1A,MATH 1,
UCB,Calc2,A,1,MATH 1B,MATH 2,
UCB,MultivariableCalc,A,1,MATH 53,MATH 3,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 4; MATH 5,
UCD,DiscreteMath,A,1,ECS 020,CS 55,
UCD,Intro1,A,1,ECS 036A,Not Articulated,
UCD,Intro2,A,1,ECS 036B,CSP 31B,
UCD,DataStructures,A,1,ECS 036C,Not Articulated,
UCD,Organization,A,1,ECS 050,CSP 25,
UCD,Calc1,A,1,MAT 021A,MATH 1,
UCD,Calc2,A,1,MAT 021B,MATH 2,
UCD,Calc3,A,1,MAT 021C,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Calc1,A,1,MATH 2A,MATH 1,
UCI,Calc2,A,1,MATH 2B,MATH 2,
UCLA,Intro,A,1,COM SCI 31,CSP 31A; CSP 31B,CSP 17; CSP 31A
UCLA,Calc1,A,1,MATH 31A,MATH 1,
UCLA,Calc2,A,1,MATH 31B,MATH 2,
UCLA,Calc3,A,1,MATH 32A,MATH 3,
UCLA,Calc4,A,1,MATH 32B,MATH 3,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 5,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 4,
UCM,DataStructures,A,1,CSE 030,CSP 26B,CSP 31B
UCM,Calc1,A,1,MATH 021,MATH 1,
UCM,Calc2,A,1,MATH 022,MATH 2,
UCM,VectorCalc,A,1,MATH 023,MATH 3,
UCM,LinearAlgebra,A,1,MATH 024,MATH 5; MATH 4,
UCM,DataStructures,A,1,CSE 030,CSP 26B,CSP 31B
UCR,Intro1,A,1,CS 10A,CSP 26A,CSP 31A
UCR,Intro2,A,1,CS 10B,CSP 31B,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 1; MATH 2,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 1; MATH 2,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 1; MATH 2,
UCSD,Intro,A,1,CSE 8B,Not Articulated,
UCSD,Intro,B,1,CSE 11,Not Articulated,
UCSD,DataStructures,A,1,CSE 12,Not Articulated,
UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 5,
UCSD,Calc1,A,1,MATH 20A,MATH 1,
UCSD,Calc2,A,1,MATH 20B,MATH 2,
UCSD,Calc3,A,1,MATH 20C,MATH 3,
UCSB,Calc1,A,1,MATH 3A,MATH 1,
UCSB,Calc2,A,1,MATH 3B,MATH 2,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 5,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 4,
UCSB,Intro,A,1,CMPSC 16,CSP 31A,
UCSB,DataStructures,A,1,CMPSC 24,CSP 31B; CSP 26B,
UCSB,DiscreteMath,A,1,CMPSC 40,CS 55,
UCSC,DataStructures,A,1,CSE 12,CSP 25,
UCSC,DiscreteMath,A,1,CSE 16,CS 55,
UCSC,Intro,A,1,CSE 30,CSP 26B,
UCSC,Calc1,A,1,MATH 19A,MATH 1,
UCSC,Calc2,A,1,MATH 19B,MATH 2,
