UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
UCB,Calc1,A,1,MATH 1A,MATH 150,,
UCB,Calc2,A,1,MATH 1B,MATH 160,,
UCB,MultivariableCalc,A,1,MATH 53,MATH 200,,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 210; MATH 220,,
UCD,DiscreteMath,A,1,ECS 020,CS 108,,
UCD,Intro1,A,1,ECS 036A,CS 137,CS 140,
UCD,Intro2,A,1,ECS 036B,Not Articulated,,
UCD,DataStructures,A,1,ECS 036C,CS 106,,
UCD,Organization,A,1,ECS 050,CS 107,,
UCD,Calc1,A,1,MAT 021A,MATH 150,,
UCD,Calc2,A,1,MAT 021B,MATH 160,,
UCD,Calc3,A,1,MAT 021C,MATH 200,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 104; CS 114; CS 140,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 104; CS 114; CS 140,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 104; CS 114; CS 140,,
UCI,Calc1,A,1,MATH 2A,MATH 150,MATH 130,
UCI,Calc2,A,1,MATH 2B,MATH 160,,
UCLA,Intro,A,1,COM SCI 31,CS 140,,
UCLA,Calc1,A,1,MATH 31A,MATH 150,,
UCLA,Calc2,A,1,MATH 31B,MATH 160,,
UCLA,Calc3,A,1,MATH 32A,MATH 200,,
UCLA,Calc4,A,1,MATH 32B,MATH 200,,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 210,,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 220,,
UCM,DataStructures,A,1,CSE 030,CS 106,,
UCM,Calc1,A,1,MATH 021,MATH 150,,
UCM,Calc2,A,1,MATH 022,MATH 160,,
UCM,VectorCalc,A,1,MATH 023,MATH 200,,
UCM,LinearAlgebra,A,1,MATH 024,MATH 210; MATH 220,,
UCM,DataStructures,A,1,CSE 030,CS 106,,
UCR,Intro1,A,1,CS 10A,CS 137,,
UCR,Intro2,A,1,CS 10B,CS 140,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 150; MATH 160,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 150; MATH 160,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 150; MATH 160,,
UCSD,Intro,A,1,CSE 8B,Not Articulated,,
UCSD,Intro,B,1,CSE 11,CS 105,,
UCSD,DataStructures,A,1,CSE 12,CS 140; CS 106,,
UCSD,DiscreteMath,A,1,CSE 20,CS 108,,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 210,,
UCSD,Calc1,A,1,MATH 20A,MATH 150,,
UCSD,Calc2,A,1,MATH 20B,MATH 160,,
UCSD,Calc3,A,1,MATH 20C,MATH 200,,
UCSB,Calc1,A,1,MATH 3A,MATH 150,,
UCSB,Calc2,A,1,MATH 3B,MATH 160,,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 210,,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 220,,
UCSB,Intro,A,1,CMPSC 16,CS 105; CS 137,CS 105; CS 140,
UCSB,DataStructures,A,1,CMPSC 24,CS 106; CS 140,,
UCSB,DiscreteMath,A,1,CMPSC 40,CS 108,,
UCSC,DataStructures,A,1,CSE 12,CS 107,,
UCSC,DiscreteMath,A,1,CSE 16,CS 108,,
UCSC,Intro,A,1,CSE 30,CS 106,CS 114,CS 137
UCSC,Calc1,A,1,MATH 19A,MATH 150,,
UCSC,Calc2,A,1,MATH 19B,MATH 160,,
