UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
UCB,Calc1,A,1,MATH 1A,MATH 7,
UCB,Calc2,A,1,MATH 1B,MATH 8,
UCB,MultivariableCalc,A,1,MATH 53,MATH 11,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 13; MATH 15,
UCD,DiscreteMath,A,1,ECS 020,MATH 10,
UCD,Intro1,A,1,ECS 036A,Not Articulated,
UCD,Intro2,A,1,ECS 036B,Not Articulated,
UCD,DataStructures,A,1,ECS 036C,CS 20A,
UCD,Organization,A,1,ECS 050,CS 17,
UCD,Calc1,A,1,MAT 021A,MATH 7,
UCD,Calc2,A,1,MAT 021B,MATH 8,
UCD,Calc3,A,1,MAT 021C,MATH 11,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 55; CS 56,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 55; CS 56,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 55; CS 56,
UCI,Intro,A,2,I&C SCI 31; I&C SCI 32,CS 87A; CS 87B,
UCI,Intro,A,2,I&C SCI 31; I&C SCI 32,CS 87A; CS 87B,
UCI,Calc1,A,1,MATH 2A,MATH 7,
UCI,Calc2,A,1,MATH 2B,MATH 8,
UCLA,Intro,A,1,COM SCI 31,CS 52,
UCLA,Calc1,A,1,MATH 31A,MATH 7,
UCLA,Calc2,A,1,MATH 31B,MATH 8,
UCLA,Calc3,A,1,MATH 32A,MATH 11,
UCLA,Calc4,A,1,MATH 32B,MATH 11,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 13,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 15,
UCM,DataStructures,A,1,CSE 030,CS 20A,CS 20B
UCM,Calc1,A,1,MATH 021,MATH 7,
UCM,Calc2,A,1,MATH 022,MATH 8,
UCM,VectorCalc,A,1,MATH 023,MATH 11,
UCM,LinearAlgebra,A,1,MATH 024,MATH 13; MATH 15,
UCM,DataStructures,A,1,CSE 030,CS 20A,CS 20B
UCR,Intro1,A,1,CS 10A,CS 50,CS 55
UCR,Intro2,A,1,CS 10B,CS 52,CS 56
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 7; MATH 8,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 7; MATH 8,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 7; MATH 8,
UCSD,Intro,A,1,CSE 8B,CS 55,
UCSD,Intro,B,1,CSE 11,CS 55,
UCSD,DataStructures,A,1,CSE 12,CS 20A; CS 20B,
UCSD,DiscreteMath,A,1,CSE 20,MATH 10,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 13,
UCSD,Calc1,A,1,MATH 20A,MATH 7; MATH 8,
UCSD,Calc2,A,1,MATH 20B,MATH 8,
UCSD,Calc3,A,1,MATH 20C,MATH 11,
UCSB,Calc1,A,1,MATH 3A,MATH 7,
UCSB,Calc2,A,1,MATH 3B,MATH 8,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 13,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 15,
UCSB,Intro,A,1,CMPSC 16,CS 50,
UCSB,DataStructures,A,1,CMPSC 24,CS 20A,
UCSB,DiscreteMath,A,1,CMPSC 40,MATH 10,
UCSC,DataStructures,A,1,CSE 12,CS 17; CS 42,CS 18
UCSC,DiscreteMath,A,1,CSE 16,MATH 10,
UCSC,Intro,A,1,CSE 30,CS 20B; CS 50,CS 20A
UCSC,Calc1,A,1,MATH 19A,MATH 7,
UCSC,Calc2,A,1,MATH 19B,MATH 7; MATH 8,
