UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
UCB,Calc1,A,1,MATH 1A,MATH 3A,
UCB,Calc2,A,1,MATH 1B,MATH 3B; MATH 4B,
UCB,MultivariableCalc,A,1,MATH 53,MATH 4A,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 4B; MATH 6,
UCD,DiscreteMath,A,1,ECS 020,CIS 67,
UCD,ProblemSolving,A,1,ECS 036A,CIS 61,CIS 62
UCD,ObjectOriented,A,1,ECS 036B,CIS 65,
UCD,Algorithms,A,1,ECS 036C,Not Articulated,
UCD,Organization,A,1,ECS 050,CIS 63,CIS 66
UCD,Calc1,A,1,MAT 021A,MATH 3A,
UCD,Calc2,A,1,MAT 021B,MATH 3B,
UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 4A,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Calc1,A,1,MATH 2A,MATH 3A,
UCI,Calc2,A,1,MATH 2B,MATH 3B,
UCLA,Intro,A,1,COM SCI 31,Not Articulated,
UCLA,Calc1,A,1,MATH 31A,MATH 3A,
UCLA,Calc2,A,1,MATH 31B,MATH 3B,
UCLA,Calc3,A,1,MATH 32A,MATH 4A,
UCLA,Calc4,A,1,MATH 32B,MATH 4A,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 6,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 4B,
UCM,DataStructures,A,1,CSE 030,CIS 65,
UCM,Calc1,A,1,MATH 021,MATH 3A,
UCM,Calc2,A,1,MATH 022,MATH 3B,
UCM,VectorCalc,A,1,MATH 023,MATH 4A,
UCM,LinearAlgebra,A,1,MATH 024,MATH 4B; MATH 6,
UCM,DataStructures,A,1,CSE 030,CIS 65,
UCR,Intro1,A,1,CS 10A,CIS 61,CIS 62
UCR,Intro2,A,1,CS 10B,CIS 65,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 3A; MATH 3B,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 3A; MATH 3B,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 3A; MATH 3B,
UCSD,Intro,A,1,CSE 8B,Not Articulated,
UCSD,Intro,B,1,CSE 11,Not Articulated,
UCSD,DataStructures,A,1,CSE 12,Not Articulated,
UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 6,
UCSD,Calc1,A,1,MATH 20A,MATH 3A,
UCSD,Calc2,A,1,MATH 20B,MATH 3B,
UCSD,Calc3,A,1,MATH 20C,MATH 4A,
UCSB,Calc1,A,1,MATH 3A,MATH 3A,
UCSB,Calc2,A,1,MATH 3B,MATH 3B,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 6,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 4B,
UCSB,Comp1,A,1,CMPSC 16,CIS 61,
UCSB,Comp2,A,1,CMPSC 24,CIS 65,
UCSB,Comp3,A,1,CMPSC 40,CIS 67,
UCSC,DataStructures,A,1,CSE 12,CIS 63,
UCSC,DiscreteMath,A,1,CSE 16,CIS 67,
UCSC,Intro,A,1,CSE 30,Not Articulated,
UCSC,Calc1,A,1,MATH 19A,MATH 3A,
UCSC,Calc2,A,1,MATH 19B,MATH 3B,
