UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
UCB,Calc1,A,1,MATH 1A,MATH 020,
UCB,Calc2,A,1,MATH 1B,MATH 021; MATH 023,
UCB,MultivariableCalc,A,1,MATH 53,MATH 022,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 023; MATH 040,
UCD,DiscreteMath,A,1,ECS 020,CIS 021,
UCD,Intro1,A,1,ECS 036A,CIS 022,CIS 035
UCD,Intro2,A,1,ECS 036B,CIS 023,
UCD,DataStructures,A,1,ECS 036C,CIS 023,
UCD,Organization,A,1,ECS 050,CIS 020,
UCD,Calc1,A,1,MAT 021A,MATH 020,
UCD,Calc2,A,1,MAT 021B,MATH 021,
UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 022,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Calc1,A,1,MATH 2A,MATH 020,MATH 030
UCI,Calc2,A,1,MATH 2B,MATH 021,MATH 031
UCLA,Intro,A,1,COM SCI 31,CIS 022,
UCLA,Calc1,A,1,MATH 31A,MATH 020,
UCLA,Calc2,A,1,MATH 31B,MATH 021,
UCLA,Calc3,A,1,MATH 32A,MATH 022,
UCLA,Calc4,A,1,MATH 32B,MATH 022,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 040,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 023,
UCM,DataStructures,A,1,CSE 030,CIS 023,
UCM,Calc1,A,1,MATH 021,MATH 020,
UCM,Calc2,A,1,MATH 022,MATH 021,
UCM,VectorCalc,A,1,MATH 023,MATH 022,
UCM,LinearAlgebra,A,1,MATH 024,MATH 023; MATH 040,
UCM,DataStructures,A,1,CSE 030,CIS 023,
UCR,Intro1,A,1,CS 10A,CIS 022,CIS 035
UCR,Intro2,A,1,CS 10B,Not Articulated,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 020; MATH 021,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 020; MATH 021,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 020; MATH 021,
UCSD,Intro,A,1,CSE 8B,Not Articulated,
UCSD,Intro,B,1,CSE 11,Not Articulated,
UCSD,DataStructures,A,1,CSE 12,CIS 023,
UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 040,
UCSD,Calc1,A,1,MATH 20A,MATH 020,
UCSD,Calc2,A,1,MATH 20B,MATH 021,
UCSD,Calc3,A,1,MATH 20C,MATH 022,
UCSB,Calc1,A,1,MATH 3A,MATH 020,
UCSB,Calc2,A,1,MATH 3B,MATH 021,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 040,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 023,
UCSB,Intro,A,1,CMPSC 16,Not Articulated,
UCSB,DataStructures,A,1,CMPSC 24,Not Articulated,
UCSB,DiscreteMath,A,1,CMPSC 40,CIS 021,ENGR 012
UCSC,DataStructures,A,1,CSE 12,CIS 020,
UCSC,DiscreteMath,A,1,CSE 16,CIS 021,
UCSC,Intro,A,1,CSE 30,CIS 023,
UCSC,Calc1,A,1,MATH 19A,MATH 020,
UCSC,Calc2,A,1,MATH 19B,MATH 021,
