UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
UCB,Calc1,A,1,MATH 1A,MATH 2100,
UCB,Calc2,A,1,MATH 1B,MATH 2120,
UCB,MultivariableCalc,A,1,MATH 53,MATH 2130,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 2125; MATH 2140,
UCD,DiscreteMath,A,1,ECS 020,Not Articulated,
UCD,ProblemSolving,A,1,ECS 036A,ENGR 1540,
UCD,ObjectOriented,A,1,ECS 036B,Not Articulated,
UCD,Algorithms,A,1,ECS 036C,Not Articulated,
UCD,Organization,A,1,ECS 050,Not Articulated,
UCD,Calc1,A,1,MAT 021A,MATH 2100,
UCD,Calc2,A,1,MAT 021B,MATH 2120,
UCD,Calc3,A,1,MAT 021C,MATH 2130,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Calc1,A,1,MATH 2A,MATH 2100,
UCI,Calc2,A,1,MATH 2B,MATH 2120,
UCLA,Intro,A,1,COM SCI 31,Not Articulated,
UCLA,Calc1,A,1,MATH 31A,MATH 2100,
UCLA,Calc2,A,1,MATH 31B,MATH 2120,
UCLA,Calc3,A,1,MATH 32A,MATH 2130,
UCLA,Calc4,A,1,MATH 32B,MATH 2130,
UCLA,LinearAlgebra,A,1,MATH 33A,Not Articulated,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 2140,
UCM,DataStructures,A,1,CSE 030,Not Articulated,
UCM,Calc1,A,1,MATH 021,MATH 2100,
UCM,Calc2,A,1,MATH 022,MATH 2120,
UCM,VectorCalc,A,1,MATH 023,MATH 2130,
UCM,LinearAlgebra,A,1,MATH 024,MATH 2125; MATH 2140,
UCM,DataStructures,A,1,CSE 030,Not Articulated,
UCR,Intro1,A,1,CS 10A,ENGR 1540,ENGR 1550
UCR,Intro2,A,1,CS 10B,Not Articulated,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 2100; MATH 2120,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 2100; MATH 2120,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 2100; MATH 2120,
UCSD,Intro,A,1,CSE 8B,Not Articulated,
UCSD,Intro,B,1,CSE 11,Not Articulated,
UCSD,DataStructures,A,1,CSE 12,Not Articulated,
UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,
UCSD,LinearAlgebra,A,1,MATH 18,Not Articulated,
UCSD,Calc1,A,1,MATH 20A,MATH 2100,
UCSD,Calc2,A,1,MATH 20B,MATH 2120,
UCSD,Calc3,A,1,MATH 20C,MATH 2130,
UCSB,Calc1,A,1,MATH 3A,MATH 2100,
UCSB,Calc2,A,1,MATH 3B,MATH 2120,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 2125,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 2140,
UCSB,Comp1,A,1,CMPSC 16,ENGR 1540,
UCSB,Comp2,A,1,CMPSC 24,COSC 1545,
UCSB,Comp3,A,1,CMPSC 40,COSC 2100,
UCSC,DataStructures,A,1,CSE 12,Not Articulated,
UCSC,DiscreteMath,A,1,CSE 16,Not Articulated,
UCSC,Intro,A,1,CSE 30,Not Articulated,
UCSC,Calc1,A,1,MATH 19A,MATH 2100,
UCSC,Calc2,A,1,MATH 19B,MATH 2120,
