UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
UCB,Calc1,A,1,MATH 1A,MATH V21A,,
UCB,Calc2,A,1,MATH 1B,MATH V21B,,
UCB,MultivariableCalc,A,1,MATH 53,MATH V21C,,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH V21C; MATH V22; MATH V23,,
UCD,DiscreteMath,A,1,ECS 020,CS V17,MATH V52,
UCD,ProblemSolving,A,1,ECS 036A,CS V13,,
UCD,ObjectOriented,A,1,ECS 036B,Not Articulated,,
UCD,Algorithms,A,1,ECS 036C,CS V15,,
UCD,Organization,A,1,ECS 050,CS V19,,
UCD,Calc1,A,1,MAT 021A,MATH V21A,,
UCD,Calc2,A,1,MAT 021B,MATH V21A; MATH V21B,,
UCD,Calc3,A,1,MAT 021C,MATH V21B; MATH V21C,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS V40; CS V42,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS V40; CS V42,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS V40; CS V42,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32,CS V11; CS V13,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32,CS V11; CS V13,,
UCI,Calc1,A,1,MATH 2A,MATH V21A,,
UCI,Calc2,A,1,MATH 2B,MATH V21B,,
UCLA,Intro,A,1,COM SCI 31,CS V30,,
UCLA,Calc1,A,1,MATH 31A,MATH V21A,,
UCLA,Calc2,A,1,MATH 31B,MATH V21B,,
UCLA,Calc3,A,1,MATH 32A,MATH V21C,,
UCLA,Calc4,A,1,MATH 32B,MATH V21C,,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH V22,,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH V23,,
UCM,DataStructures,A,1,CSE 030,CS V15,,
UCM,Calc1,A,1,MATH 021,MATH V21A,,
UCM,Calc2,A,1,MATH 022,MATH V21B,,
UCM,VectorCalc,A,1,MATH 023,MATH V21C,,
UCM,LinearAlgebra,A,1,MATH 024,MATH V22; MATH V23,,
UCM,DataStructures,A,1,CSE 030,CS V15,,
UCR,Intro1,A,1,CS 10A,CS V13,CS V30,CS V40
UCR,Intro2,A,1,CS 10B,Not Articulated,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH V21A; MATH V21B,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH V21A; MATH V21B,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH V21A; MATH V21B,,
UCSD,Intro,A,1,CSE 8B,CS V42,,
UCSD,Intro,B,1,CSE 11,Not Articulated,,
UCSD,DataStructures,A,1,CSE 12,CS V15,,
UCSD,DiscreteMath,A,1,CSE 20,CS V17,MATH V52,
UCSD,LinearAlgebra,A,1,MATH 18,MATH V22,,
UCSD,Calc1,A,1,MATH 20A,MATH V21A,,
UCSD,Calc2,A,1,MATH 20B,MATH V21B,,
UCSD,Calc3,A,1,MATH 20C,MATH V21C,,
UCSB,Calc1,A,1,MATH 3A,MATH V21A,,
UCSB,Calc2,A,1,MATH 3B,MATH V21B,,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH V22,,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH V23,,
UCSB,Comp1,A,1,CMPSC 16,CS V11; CS V13,,
UCSB,Comp2,A,1,CMPSC 24,CS V15; CS V30,,
UCSB,Comp3,A,1,CMPSC 40,CS V17,MATH V52,
UCSC,DataStructures,A,1,CSE 12,CS V19,,
UCSC,DiscreteMath,A,1,CSE 16,MATH V52,CS V17,
UCSC,Intro,A,1,CSE 30,CS V15,,
UCSC,Calc1,A,1,MATH 19A,MATH V21A,,
UCSC,Calc2,A,1,MATH 19B,MATH V21B,,
