UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
UCB,Calc1,A,1,MATH 1A,MATH 226,MATH 226H
UCB,Calc2,A,1,MATH 1B,Not Articulated,
UCB,MultivariableCalc,A,1,MATH 53,MATH 227; MATH 228,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 231; MATH 270,
UCD,DiscreteMath,A,1,ECS 020,Not Articulated,
UCD,ProblemSolving,A,1,ECS 036A,Not Articulated,
UCD,ObjectOriented,A,1,ECS 036B,CIS 202,
UCD,Algorithms,A,1,ECS 036C,Not Articulated,
UCD,Organization,A,1,ECS 050,CIS 208,
UCD,Calc1,A,1,MAT 021A,MATH 226,MATH 226H
UCD,Calc2,A,1,MAT 021B,MATH 227,MATH 227H
UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 228,MATH 228H
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Calc1,A,1,MATH 2A,MATH 226,MATH 226H
UCI,Calc2,A,1,MATH 2B,MATH 227,MATH 227H
UCLA,Intro,A,1,COM SCI 31,Not Articulated,
UCLA,Calc1,A,1,MATH 31A,MATH 226,MATH 226H
UCLA,Calc2,A,1,MATH 31B,MATH 227,MATH 227H
UCLA,Calc3,A,1,MATH 32A,MATH 228,MATH 228H
UCLA,Calc4,A,1,MATH 32B,MATH 228,MATH 228H
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 231,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 270,
UCM,DataStructures,A,1,CSE 030,Not Articulated,
UCM,Calc1,A,1,MATH 021,MATH 226,MATH 226H
UCM,Calc2,A,1,MATH 022,MATH 227,MATH 227H
UCM,VectorCalc,A,1,MATH 023,MATH 228,MATH 228H
UCM,LinearAlgebra,A,1,MATH 024,MATH 231; MATH 270,
UCM,DataStructures,A,1,CSE 030,Not Articulated,
UCR,Intro1,A,1,CS 10A,CIS 201,CIS 206
UCR,Intro2,A,1,CS 10B,CIS 202,CIS 203
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 226; MATH 227,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 226; MATH 227,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 226; MATH 227,
UCSD,Intro,A,1,CSE 8B,Not Articulated,
UCSD,Intro,B,1,CSE 11,CIS 206,
UCSD,DataStructures,A,1,CSE 12,Not Articulated,
UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 231,
UCSD,Calc1,A,1,MATH 20A,MATH 226,
UCSD,Calc2,A,1,MATH 20B,MATH 227,
UCSD,Calc3,A,1,MATH 20C,MATH 228,
UCSB,Calc1,A,1,MATH 3A,MATH 226,MATH 226H
UCSB,Calc2,A,1,MATH 3B,MATH 227,MATH 227H
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 231,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 270,
UCSB,Comp1,A,1,CMPSC 16,CIS 201; CIS 202,
UCSB,Comp2,A,1,CMPSC 24,CIS 202,
UCSB,Comp3,A,1,CMPSC 40,CIS 264,
UCSC,DataStructures,A,1,CSE 12,CIS 208,
UCSC,DiscreteMath,A,1,CSE 16,Not Articulated,
UCSC,Intro,A,1,CSE 30,Not Articulated,
UCSC,Calc1,A,1,MATH 19A,MATH 226,MATH 226H
UCSC,Calc2,A,1,MATH 19B,MATH 227,MATH 227H
