UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
UCB,Calc1,A,1,MATH 1A,MATH 003A,MATH 003AH,
UCB,Calc2,A,1,MATH 1B,MATH 003B,MATH 003BH,
UCB,MultivariableCalc,A,1,MATH 53,MATH 004A,,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 004B; MATH 004C,,
UCD,DiscreteMath,A,1,ECS 020,MATH 019,,
UCD,Intro1,A,1,ECS 036A,CIST 004A,CIST 004A1,CIST 037
UCD,Intro2,A,1,ECS 036B,Not Articulated,,
UCD,DataStructures,A,1,ECS 036C,CIST 004B,CIST 004B1,
UCD,Organization,A,1,ECS 050,Not Articulated,,
UCD,Calc1,A,1,MAT 021A,MATH 003A,MATH 003AH,
UCD,Calc2,A,1,MAT 021B,MATH 003B,MATH 003BH,
UCD,Calc3,A,1,MAT 021C,Not Articulated,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIST 005A; CIST 005B,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIST 005A; CIST 005B,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIST 005A; CIST 005B,,
UCI,Calc1,A,1,MATH 2A,MATH 003A,MATH 003AH,
UCI,Calc2,A,1,MATH 2B,MATH 003B,MATH 003BH,
UCLA,Intro,A,1,COM SCI 31,CIST 004A,,
UCLA,Calc1,A,1,MATH 31A,MATH 003A,MATH 003AH,
UCLA,Calc2,A,1,MATH 31B,MATH 003B,MATH 003BH,
UCLA,Calc3,A,1,MATH 32A,MATH 004A,,
UCLA,Calc4,A,1,MATH 32B,MATH 004A,,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 004C,,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 004B,,
UCM,DataStructures,A,1,CSE 030,CIST 004B1,,
UCM,Calc1,A,1,MATH 021,MATH 003A,MATH 003AH,
UCM,Calc2,A,1,MATH 022,MATH 003B,MATH 003BH,
UCM,VectorCalc,A,1,MATH 023,MATH 004A,,
UCM,LinearAlgebra,A,1,MATH 024,MATH 004B; MATH 004C,,
UCM,DataStructures,A,1,CSE 030,CIST 004B1,,
UCR,Intro1,A,1,CS 10A,CIST 004A,CIST 004A1,CIST 037
UCR,Intro2,A,1,CS 10B,CIST 004B,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 003A; MATH 003B,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 003A; MATH 003B,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 003A; MATH 003B,,
UCSD,Intro,A,1,CSE 8B,Not Articulated,,
UCSD,Intro,B,1,CSE 11,Not Articulated,,
UCSD,DataStructures,A,1,CSE 12,CIST 004B1,,
UCSD,DiscreteMath,A,1,CSE 20,MATH 019,,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 004C,,
UCSD,Calc1,A,1,MATH 20A,MATH 003A,MATH 003AH,
UCSD,Calc2,A,1,MATH 20B,MATH 003B,MATH 003BH,
UCSD,Calc3,A,1,MATH 20C,MATH 004A,,
UCSB,Calc1,A,1,MATH 3A,MATH 003A,MATH 003AH,
UCSB,Calc2,A,1,MATH 3B,MATH 003B,MATH 003BH,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 004C,,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 004B,,
UCSB,Intro,A,1,CMPSC 16,CIST 004A,CIST 037,
UCSB,DataStructures,A,1,CMPSC 24,CIST 004B,,
UCSB,DiscreteMath,A,1,CMPSC 40,MATH 019,,
UCSC,DataStructures,A,1,CSE 12,CIST 039,,
UCSC,DiscreteMath,A,1,CSE 16,MATH 019,,
UCSC,Intro,A,1,CSE 30,CIST 004B,CIST 004B1,CIST 005B
UCSC,Calc1,A,1,MATH 19A,MATH 003A,,
UCSC,Calc2,A,1,MATH 19B,MATH 003B,,
