UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
UCB,Calc1,A,1,MATH 1A,MATH 1A,
UCB,Calc2,A,1,MATH 1B,MATH 1B,
UCB,MultivariableCalc,A,1,MATH 53,MATH 1C,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 2; MATH 3,
UCD,DiscreteMath,A,1,ECS 020,COMSC 15,
UCD,Intro1,A,1,ECS 036A,COMSC 9A,COMSC 12
UCD,Intro2,A,1,ECS 036B,COMSC 11,
UCD,DataStructures,A,1,ECS 036C,Not Articulated,
UCD,Organization,A,1,ECS 050,COMSC 2,
UCD,Calc1,A,1,MAT 021A; MAT 021B; MAT 021C; MAT 021D,MATH 1A; MATH 1B; MATH 1C,
UCD,Calc2,A,1,MAT 021A; MAT 021B; MAT 021C; MAT 021D,MATH 1A; MATH 1B; MATH 1C,
UCD,Calc3,A,1,MAT 021A; MAT 021B; MAT 021C; MAT 021D,MATH 1A; MATH 1B; MATH 1C,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Calc1,A,1,MATH 2A,MATH 1A,
UCI,Calc2,A,1,MATH 2B,MATH 1B,
UCLA,Intro,A,1,COM SCI 31,COMSC 9A,
UCLA,Calc1,A,1,MATH 31A,MATH 1A,
UCLA,Calc2,A,1,MATH 31B,MATH 1B,
UCLA,Calc3,A,1,MATH 32A,MATH 1C,
UCLA,Calc4,A,1,MATH 32B,MATH 1C,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 3,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 2,
UCM,DataStructures,A,1,CSE 030,COMSC 9B,
UCM,Calc1,A,1,MATH 021,MATH 1A,
UCM,Calc2,A,1,MATH 022,MATH 1B,
UCM,VectorCalc,A,1,MATH 023,MATH 1C,
UCM,LinearAlgebra,A,1,MATH 024,MATH 2; MATH 3,
UCM,DataStructures,A,1,CSE 030,COMSC 9B,
UCR,Intro1,A,1,CS 10A,COMSC 9A,
UCR,Intro2,A,1,CS 10B,COMSC 11,COMSC 12
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 1A; MATH 1B,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 1A; MATH 1B,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 1A; MATH 1B,
UCSD,Intro,A,1,CSE 8B,Not Articulated,
UCSD,Intro,B,1,CSE 11,COMSC 12,
UCSD,DataStructures,A,1,CSE 12,Not Articulated,
UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 3,
UCSD,Calc1,A,1,MATH 20A,MATH 1A,
UCSD,Calc2,A,1,MATH 20B,MATH 1B,
UCSD,Calc3,A,1,MATH 20C,MATH 1C,
UCSB,Calc1,A,1,MATH 3A,MATH 1A,
UCSB,Calc2,A,1,MATH 3B,MATH 1B,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 3,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 2,
UCSB,Intro,A,1,CMPSC 16,COMSC 9A,
UCSB,DataStructures,A,1,CMPSC 24,COMSC 9B,
UCSB,DiscreteMath,A,1,CMPSC 40,COMSC 15,
UCSC,DataStructures,A,1,CSE 12,COMSC 2,
UCSC,DiscreteMath,A,1,CSE 16,COMSC 15,
UCSC,Intro,A,1,CSE 30,COMSC 9B,
UCSC,Calc1,A,1,MATH 19A,MATH 1A,
UCSC,Calc2,A,1,MATH 19B,MATH 1B,
