Community College,UCSD Articulated,UCSD Unarticulated,UCSB Articulated,UCSB Unarticulated,UCSC Articulated,UCSC Unarticulated,UCLA Articulated,UCLA Unarticulated,UCB Articulated,UCB Unarticulated,UCI Articulated,UCI Unarticulated,UCD Articulated,UCD Unarticulated,UCR Articulated,UCR Unarticulated,UCM Articulated,UCM Unarticulated
Merced_Community_College_District.csv,133.00,112.00,182.00,56.00,140.00,0.00,119.00,56.00,119.00,0.00,14.00,56.00,224.00,56.00,84.00,56.00,133.00,0.00
Marin_Community_College_District.csv,133.00,56.00,182.00,0.00,126.00,0.00,154.00,0.00,105.00,0.00,14.00,56.00,252.00,0.00,91.00,56.00,133.00,0.00
Siskiyou_Joint_Community_College_District.csv,70.00,168.00,133.00,112.00,98.00,56.00,105.00,56.00,105.00,0.00,14.00,56.00,175.00,112.00,84.00,56.00,140.00,0.00
Imperial_Community_College_District.csv,217.00,0.00,126.00,112.00,63.00,112.00,105.00,56.00,105.00,0.00,14.00,56.00,147.00,168.00,49.00,112.00,154.00,0.00
Kern_Community_College_District.csv,84.00,161.00,189.00,56.00,182.00,49.00,147.00,0.00,119.00,0.00,28.00,56.00,182.00,112.00,84.00,56.00,147.00,0.00
Lassen_Community_College_District.csv,14.00,273.00,14.00,280.00,14.00,161.00,14.00,280.00,14.00,112.00,14.00,56.00,14.00,336.00,0.00,168.00,14.00,168.00
Cabrillo_Community_College_District.csv,196.00,0.00,182.00,0.00,154.00,0.00,140.00,0.00,105.00,0.00,14.00,56.00,245.00,0.00,84.00,56.00,140.00,0.00
San_Mateo_County_Community_College_District.csv,238.00,0.00,196.00,0.00,147.00,0.00,140.00,0.00,105.00,0.00,14.00,56.00,273.00,0.00,84.00,56.00,147.00,0.00
West_Kern_Community_College_District.csv,42.00,217.00,245.00,0.00,14.00,161.00,77.00,112.00,119.00,0.00,14.00,56.00,84.00,224.00,42.00,112.00,119.00,56.00
Desert_Community_College_District.csv,105.00,112.00,196.00,0.00,133.00,0.00,105.00,56.00,105.00,0.00,14.00,56.00,161.00,112.00,105.00,56.00,140.00,0.00
San_Jose-Evergreen_Community_College_District.csv,203.00,56.00,273.00,0.00,196.00,0.00,217.00,0.00,161.00,0.00,70.00,56.00,287.00,56.00,98.00,56.00,217.00,0.00
Shasta-Tehama-Trinity_Joint_Community_College_District.csv,70.00,168.00,196.00,0.00,105.00,56.00,105.00,56.00,105.00,0.00,14.00,56.00,210.00,56.00,77.00,56.00,140.00,0.00
Palo_Verde_Community_College_District.csv,42.00,329.00,0.00,392.00,0.00,273.00,42.00,336.00,0.00,224.00,0.00,168.00,0.00,448.00,0.00,168.00,42.00,224.00
San_Luis_Obispo_County_Community_College_District.csv,224.00,0.00,126.00,56.00,161.00,0.00,70.00,56.00,70.00,0.00,14.00,56.00,189.00,0.00,112.00,56.00,98.00,0.00
San_Francisco_Community_College_District.csv,217.00,0.00,217.00,0.00,140.00,0.00,182.00,0.00,105.00,0.00,112.00,56.00,203.00,0.00,91.00,56.00,133.00,0.00
Santa_Clarita_Community_College_District.csv,287.00,0.00,315.00,0.00,175.00,0.00,140.00,0.00,105.00,0.00,70.00,56.00,154.00,112.00,77.00,56.00,175.00,0.00
Long_Beach_Community_College_District.csv,105.00,112.00,189.00,0.00,91.00,56.00,140.00,0.00,70.00,0.00,14.00,56.00,210.00,56.00,70.00,56.00,105.00,0.00
Santa_Barbara_Community_College_District.csv,217.00,0.00,266.00,0.00,126.00,0.00,140.00,0.00,105.00,0.00,14.00,56.00,196.00,56.00,77.00,56.00,133.00,0.00
Coast_Community_College_District.csv,210.00,0.00,203.00,0.00,126.00,0.00,182.00,0.00,91.00,0.00,21.00,56.00,329.00,0.00,70.00,56.00,112.00,0.00
Napa_Valley_Community_College_District.csv,70.00,161.00,175.00,56.00,56.00,105.00,105.00,56.00,105.00,0.00,14.00,56.00,126.00,168.00,42.00,112.00,147.00,0.00
Redwoods_Community_College_District.csv,70.00,161.00,77.00,168.00,14.00,161.00,105.00,56.00,105.00,0.00,14.00,56.00,98.00,224.00,56.00,112.00,105.00,56.00
Mendocino-Lake_Community_College_District.csv,112.00,105.00,133.00,112.00,14.00,161.00,105.00,56.00,105.00,0.00,14.00,56.00,147.00,168.00,91.00,56.00,203.00,0.00
Santa_Monica_Community_College_District.csv,245.00,0.00,189.00,0.00,133.00,0.00,154.00,0.00,105.00,0.00,14.00,56.00,161.00,112.00,98.00,56.00,133.00,0.00
San_Joaquin_Delta_Community_College_District.csv,77.00,168.00,245.00,0.00,147.00,0.00,196.00,0.00,112.00,0.00,14.00,56.00,140.00,168.00,91.00,56.00,154.00,0.00
Feather_River_Community_College_District.csv,14.00,273.00,70.00,224.00,14.00,161.00,14.00,280.00,63.00,56.00,14.00,56.00,14.00,336.00,0.00,168.00,63.00,112.00
Cerritos_Community_College_District.csv,196.00,0.00,112.00,56.00,133.00,0.00,105.00,0.00,70.00,0.00,14.00,56.00,245.00,0.00,84.00,56.00,105.00,0.00
Riverside_Community_College_District.csv,161.00,56.00,182.00,0.00,147.00,0.00,140.00,0.00,105.00,0.00,14.00,56.00,245.00,0.00,70.00,56.00,140.00,0.00
South_Orange_County_Community_College_District.csv,210.00,0.00,196.00,0.00,196.00,0.00,154.00,0.00,105.00,0.00,14.00,56.00,266.00,0.00,112.00,56.00,133.00,0.00
Mt._San_Antonio_Community_College_District.csv,203.00,0.00,301.00,0.00,161.00,0.00,161.00,0.00,77.00,0.00,14.00,56.00,168.00,112.00,112.00,56.00,133.00,0.00
Monterey_Peninsula_Community_College_District.csv,119.00,112.00,168.00,56.00,147.00,0.00,147.00,0.00,105.00,0.00,14.00,56.00,217.00,56.00,91.00,56.00,140.00,0.00
Glendale_Community_College_District.csv,168.00,56.00,189.00,0.00,98.00,56.00,140.00,0.00,105.00,0.00,126.00,56.00,252.00,0.00,84.00,56.00,140.00,0.00
Los_Angeles_Community_College_District.csv,189.00,0.00,182.00,0.00,126.00,0.00,147.00,0.00,105.00,0.00,14.00,56.00,238.00,0.00,84.00,56.00,133.00,0.00
San_Diego_Community_College_District.csv,196.00,0.00,203.00,0.00,105.00,56.00,154.00,0.00,105.00,0.00,14.00,56.00,182.00,112.00,98.00,56.00,147.00,0.00
Chaffey_Community_College_District.csv,70.00,161.00,217.00,0.00,14.00,161.00,196.00,0.00,105.00,0.00,14.00,56.00,175.00,112.00,42.00,112.00,147.00,0.00
Compton_Community_College_District.csv,210.00,0.00,126.00,56.00,49.00,112.00,70.00,56.00,70.00,0.00,14.00,56.00,77.00,224.00,0.00,168.00,70.00,56.00
Rio_Hondo_Community_College_District.csv,196.00,56.00,147.00,56.00,119.00,56.00,175.00,0.00,140.00,0.00,14.00,56.00,126.00,168.00,84.00,56.00,189.00,0.00
Peralta_Community_College_District.csv,161.00,56.00,196.00,0.00,140.00,0.00,105.00,56.00,105.00,0.00,14.00,56.00,168.00,56.00,98.00,56.00,147.00,0.00
Antelope_Valley_Community_College_District.csv,357.00,0.00,154.00,56.00,140.00,0.00,105.00,56.00,105.00,0.00,70.00,56.00,168.00,112.00,0.00,168.00,147.00,0.00
West_Valley-Mission_Community_College_District.csv,217.00,0.00,182.00,0.00,140.00,0.00,147.00,0.00,112.00,0.00,14.00,56.00,399.00,0.00,70.00,56.00,161.00,0.00
Victor_Valley_Community_College_District.csv,126.00,112.00,224.00,0.00,63.00,112.00,105.00,56.00,105.00,56.00,14.00,56.00,133.00,168.00,91.00,56.00,105.00,56.00
Pasadena_Area_Community_College_District.csv,217.00,0.00,238.00,0.00,140.00,0.00,140.00,0.00,105.00,0.00,182.00,56.00,217.00,56.00,91.00,56.00,140.00,0.00
MiraCosta_Community_College_District.csv,196.00,0.00,252.00,0.00,133.00,0.00,154.00,0.00,105.00,0.00,14.00,56.00,252.00,0.00,91.00,56.00,133.00,0.00
Contra_Costa_Community_College_District.csv,336.00,0.00,196.00,0.00,147.00,0.00,161.00,0.00,105.00,0.00,14.00,56.00,273.00,0.00,105.00,56.00,147.00,0.00
Allan_Hancock_Joint_Community_College_District.csv,133.00,56.00,154.00,0.00,126.00,0.00,70.00,56.00,70.00,0.00,14.00,56.00,126.00,168.00,77.00,56.00,98.00,0.00
