Community College,UCSD Articulated,UCSD Unarticulated,UCSB Articulated,UCSB Unarticulated,UCSC Articulated,UCSC Unarticulated,UCLA Articulated,UCLA Unarticulated,UCB Articulated,UCB Unarticulated,UCI Articulated,UCI Unarticulated,UCD Articulated,UCD Unarticulated,UCR Articulated,UCR Unarticulated,UCM Articulated,UCM Unarticulated
Merced_Community_College_District.csv,1.57,2.00,2.18,1.00,1.64,0.00,1.11,1.00,1.11,0.00,0.00,1.00,2.86,1.00,1.11,1.00,1.57,0.00
Marin_Community_College_District.csv,1.00,1.00,1.68,0.00,1.32,0.00,1.54,0.00,0.79,0.00,0.00,1.00,3.07,0.00,1.29,1.00,1.00,0.00
Siskiyou_Joint_Community_College_District.csv,0.43,3.00,1.57,2.00,1.11,1.00,0.79,1.00,0.79,0.00,0.00,1.00,2.07,2.00,1.11,1.00,1.14,0.00
Imperial_Community_College_District.csv,2.68,0.00,1.32,2.00,0.75,2.00,0.79,1.00,0.79,0.00,0.00,1.00,1.96,3.00,0.75,2.00,1.54,0.00
Kern_Community_College_District.csv,0.50,2.75,2.18,1.00,2.75,0.75,1.07,0.00,0.86,0.00,0.07,1.00,2.04,2.00,1.21,1.00,1.07,0.00
Lassen_Community_College_District.csv,0.00,4.75,0.00,5.00,0.00,2.75,0.00,5.00,0.00,2.00,0.00,1.00,0.00,6.00,0.00,3.00,0.00,3.00
Cabrillo_Community_College_District.csv,2.14,0.00,1.64,0.00,2.11,0.00,1.14,0.00,0.79,0.00,0.00,1.00,2.79,0.00,1.11,1.00,1.14,0.00
San_Mateo_County_Community_College_District.csv,3.43,0.00,2.00,0.00,1.82,0.00,1.14,0.00,0.79,0.00,0.00,1.00,3.61,0.00,1.11,1.00,1.32,0.00
West_Kern_Community_College_District.csv,0.21,3.75,3.43,0.00,0.00,2.75,0.57,2.00,1.11,0.00,0.00,1.00,0.75,4.00,0.54,2.00,1.11,1.00
Desert_Community_College_District.csv,0.79,2.00,2.04,0.00,1.46,0.00,0.79,1.00,0.79,0.00,0.00,1.00,1.68,2.00,1.75,1.00,1.14,0.00
San_Jose-Evergreen_Community_College_District.csv,2.04,1.00,3.39,0.00,2.36,0.00,2.50,0.00,1.50,0.00,0.71,1.00,3.79,1.00,1.54,1.00,2.50,0.00
