UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6,Courses Group 7,Courses Group 8
UCB,Calculus I,A,1,MATH 1A,MATH 1A; MATH 1B,MATH 1AH; MATH 1BH,,,,,,
UCB,Calculus II,B,1,MATH 1B,MATH 1B; MATH 1C,MATH 1BH; MATH 1CH,,,,,,
UCB,Multivariable Calculus,C,1,MATH 53,MATH 1C; MATH 1D,MATH 1CH; MATH 1DH,,,,,,
UCB,Linear Algebra / Diff Eq,D,1,MATH 54,MATH 2A; MATH 2B,MATH 2AH; MATH 2BH,,,,,,
UCD,Discrete Math,D,1,ECS 020,MATH 22,MATH 22H,,,,,,
UCD,Java Programming,E,1,ECS 036A,CIS 22A,CIS 22B,CIS 22BH,CIS 26A,CIS 26B,CIS 27,CIS 35A,CIS 36A
UCD,Data Structures,F,1,ECS 036B,CIS 22B,CIS 22BH,CIS 29,CIS 35A,CIS 36B,,,
UCD,Advanced CS,G,1,ECS 036C,CIS 22C,CIS 22CH,,,,,,
UCD,Assembly / Architecture,H,1,ECS 050,CIS 21JA,,,,,,,
UCD,Calculus I,A,1,MAT 021A,MATH 1A,MATH 1AH,,,,,,
UCD,Calculus II,B,1,MAT 021B,MATH 1B,MATH 1BH,,,,,,
UCD,Calculus III,C,1,MAT 021C,MATH 1C,MATH 1CH,,,,,,
UCI,Intro to CS I,C,1,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 40; CIS 41A; CIS 41B,,,,,,,
UCI,Intro to CS II,D,1,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 40; CIS 41A; CIS 41B,,,,,,,
UCI,Intro to CS III,E,1,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 40; CIS 41A; CIS 41B,,,,,,,
UCI,Calculus I,A,1,MATH 2A,MATH 1A,MATH 1AH,,,,,,
UCI,Calculus II,B,1,MATH 2B,MATH 1B,MATH 1BH,,,,,,
UCLA,Intro to CS,G,1,COM SCI 31,CIS 22A,CIS 22BH,CIS 27,CIS 22B,CIS 29,,,
UCLA,Calculus I,A,1,MATH 31A,MATH 1A,,,,,,,
UCLA,Calculus II,B,1,MATH 31B,MATH 1B; MATH 1C,MATH 1B; MATH 1CH,MATH 1BH; MATH 1C,MATH 1BH; MATH 1CH,,,,
UCLA,Multivariable Calc I,C,1,MATH 32A,MATH 1C,,,,,,,
UCLA,Multivariable Calc II,D,1,MATH 32B,MATH 1D,,,,,,,
UCLA,Linear Algebra,E,1,MATH 33A,MATH 2B,,,,,,,
UCM,Data Structures,E,1,CSE 030,CIS 22C,,,,,,,
UCM,Calculus I,F,1,MATH 021,MATH 1A; MATH 1B,MATH 1AH; MATH 1BH,,,,,,
UCM,Calculus II,G,1,MATH 022,MATH 1B; MATH 1C,MATH 1BH; MATH 1CH,,,,,,
UCM,Calculus III,H,1,MATH 023,MATH 1C; MATH 1D,MATH 1CH; MATH 1DH,,,,,,
UCM,Linear Algebra,I,1,MATH 024,MATH 2A; MATH 2B,,,,,,,
UCM,Data Structures,E,1,CSE 030,CIS 22C,,,,,,,
UCR,Intro to CS I,A,1,CS 10A,CIS 36A; CIS 36B,CIS 22A,CIS 26A,CIS 26B,,,,
UCR,Intro to CS II,B,1,CS 10B,CIS 36A; CIS 36B,CIS 22B,CIS 27,CIS 28,CIS 29,,,
UCR,Calculus I,C,1,MATH 9A; MATH 9B; MATH 9C,MATH 1A; MATH 1B; MATH 1C,,,,,,,
UCR,Calculus II,D,1,MATH 9A; MATH 9B; MATH 9C,MATH 1A; MATH 1B; MATH 1C,,,,,,,
UCR,Calculus III,E,1,MATH 9A; MATH 9B; MATH 9C,MATH 1A; MATH 1B; MATH 1C,,,,,,,
UCSD,Java Programming,B,1,CSE 8B,CIS 36B,,,,,,,
UCSD,Java Programming,A,1,CSE 11,CIS 36A; CIS 36B,CIS 35A,,,,,,
UCSD,Data Structures,A,1,CSE 12,CIS 22C,CIS 22CH,,,,,,
UCSD,Discrete Math,A,1,CSE 20,MATH 22,MATH 22H,,,,,,
UCSD,Linear Algebra,D,1,MATH 18,MATH 2B,MATH 2BH,,,,,,
UCSD,Calculus I,A,1,MATH 20A,MATH 1A,MATH 1AH,,,,,,
UCSD,Calculus II,B,1,MATH 20B,MATH 1B,MATH 1BH,,,,,,
UCSD,Calculus III,C,1,MATH 20C,MATH 1C; MATH 1D,MATH 1CH; MATH 1DH,,,,,,
