UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
UCB,Calculus I,A,1,MATH 1A - Calculus,MATH 150 - Calculus and Analytic Geometry I,MATH 150H - Calculus and Analytic Geometry I (Honors),
UCB,Calculus II,B,1,MATH 1B - Calculus,MATH 155 - Calculus and Analytic Geometry II,,
UCB,Multivariable Calculus,C,1,MATH 53 - Multivariable Calculus,MATH 260 - Calculus and Analytic Geometry III,MATH 260H - Calculus and Analytic Geometry III (Honors),
UCB,Linear Algebra / Diff Eq,D,1,MATH 54 - Linear Algebra and Differential Equations,MATH 265 - Differential Equations & MATH 270 - Linear Algebra,MATH 265 - Differential Equations & MATH 270H - Linear Algebra (Honors),
UCD,Discrete Math,D,1,ECS 020 - Discrete Mathematics For Computer Science,CS 226 - Discrete Structures,MATH 226 - Discrete Mathematics,
UCD,Java Programming,E,1,ECS 036A - Programming & Problem Solving,CS 111 - Introduction to Computer Science I: Java,CS 150 - C++ Programming,CS 138 - Programming with Python
UCD,Data Structures,F,1,ECS 036B - Software Development & Object-Oriented Programming in C++,CS 112 - Introduction to Computer Science II: Java,CS 151 - Advanced C++ Programming,
UCD,Advanced CS,G,1,"ECS 036C - Data Structures, Algorithms, & Programming",CS 113 - Basic Data Structures and Algorithms,,
UCD,Assembly / Architecture,H,1,ECS 050 - Computer Organization & Machine-Dependent Programming,CS 220 - Computer Architecture and Assembly Language,,
UCD,Calculus I,A,1,MAT 021A - Calculus,MATH 150 - Calculus and Analytic Geometry I,MATH 150H - Calculus and Analytic Geometry I (Honors),
UCD,Calculus II,B,1,MAT 021B - Calculus,MATH 155 - Calculus and Analytic Geometry II,,
UCD,Calculus III,C,1,MAT 021C - Calculus,MATH 260 - Calculus and Analytic Geometry III,MATH 260H - Calculus and Analytic Geometry III (Honors),
UCI,Intro to CS I,C,1,I&C SCI 31 - Introduction to Programming & I&C SCI 32 - Programming with Software Libraries & I&C SCI 33 - Intermediate Programming,CS 111 - Introduction to Computer Science I: Java & CS 112 - Introduction to Computer Science II: Java,CS 150 - C++ Programming & CS 151 - Advanced C++ Programming,
UCI,Intro to CS II,D,1,I&C SCI 31 - Introduction to Programming & I&C SCI 32 - Programming with Software Libraries & I&C SCI 33 - Intermediate Programming,CS 111 - Introduction to Computer Science I: Java & CS 112 - Introduction to Computer Science II: Java,CS 150 - C++ Programming & CS 151 - Advanced C++ Programming,
UCI,Intro to CS III,E,1,I&C SCI 31 - Introduction to Programming & I&C SCI 32 - Programming with Software Libraries & I&C SCI 33 - Intermediate Programming,CS 111 - Introduction to Computer Science I: Java & CS 112 - Introduction to Computer Science II: Java,CS 150 - C++ Programming & CS 151 - Advanced C++ Programming,
UCI,Intro to CS I,C,1,I&C SCI 31 - Introduction to Programming & I&C SCI 32 - Programming with Software Libraries,CS 138 - Programming with Python & CS 139 - Advanced Programming with Python,,
UCI,Intro to CS II,D,1,I&C SCI 31 - Introduction to Programming & I&C SCI 32 - Programming with Software Libraries,CS 138 - Programming with Python & CS 139 - Advanced Programming with Python,,
UCI,Calculus I,A,1,MATH 2A - Single-Variable Calculus,MATH 150 - Calculus and Analytic Geometry I,MATH 150H - Calculus and Analytic Geometry I (Honors),
UCI,Calculus II,B,1,MATH 2B - Single-Variable Calculus,MATH 155 - Calculus and Analytic Geometry II,MATH 155H - Calculus and Analytical Geometry II (Honors),
UCLA,Intro to CS,G,1,COM SCI 31 - Introduction to Computer Science I,CS 150 - C++ Programming,,
UCLA,Calculus I,A,1,MATH 31A - Differential and Integral Calculus,MATH 150 - Calculus and Analytic Geometry I,MATH 150H - Calculus and Analytic Geometry I (Honors),
UCLA,Calculus II,B,1,MATH 31B - Integration and Infinite Series,MATH 155 - Calculus and Analytic Geometry II,MATH 155H - Calculus and Analytical Geometry II (Honors),
UCLA,Multivariable Calc I,C,1,MATH 32A - Calculus of Several Variables,MATH 260 - Calculus and Analytic Geometry III,MATH 260H - Calculus and Analytic Geometry III (Honors),
UCLA,Multivariable Calc II,D,1,MATH 32B - Calculus of Several Variables,MATH 260 - Calculus and Analytic Geometry III,MATH 260H - Calculus and Analytic Geometry III (Honors),
UCLA,Linear Algebra,E,1,MATH 33A - Linear Algebra and Applications,MATH 270 - Linear Algebra,MATH 270H - Linear Algebra (Honors),
UCM,Data Structures,E,1,CSE 030 - Data Structures,CS 113 - Basic Data Structures and Algorithms,,
