Community College,UCSD Articulated,UCSD Unarticulated,UCSB Articulated,UCSB Unarticulated,UCSC Articulated,UCSC Unarticulated,UCLA Articulated,UCLA Unarticulated,UCB Articulated,UCB Unarticulated,UCI Articulated,UCI Unarticulated,UCD Articulated,UCD Unarticulated,UCR Articulated,UCR Unarticulated,UCM Articulated,UCM Unarticulated
Merced_Community_College_District.csv,133,112,182,56,140,0,119,56,119,0,14,56,224,56,84,56,133,0
Marin_Community_College_District.csv,133,56,182,0,126,0,154,0,105,0,14,56,252,0,91,56,133,0
Siskiyou_Joint_Community_College_District.csv,70,168,133,112,98,56,105,56,105,0,14,56,175,112,84,56,140,0
Imperial_Community_College_District.csv,217,0,126,112,63,112,105,56,105,0,14,56,147,168,49,112,154,0
Kern_Community_College_District.csv,84,161,189,56,182,49,147,0,119,0,28,56,182,112,84,56,147,0
Lassen_Community_College_District.csv,14,273,14,280,14,161,14,280,14,112,14,56,14,336,0,168,14,168
Cabrillo_Community_College_District.csv,196,0,182,0,154,0,140,0,105,0,14,56,245,0,84,56,140,0
San_Mateo_County_Community_College_District.csv,238,0,196,0,147,0,140,0,105,0,14,56,273,0,84,56,147,0
West_Kern_Community_College_District.csv,42,217,245,0,14,161,77,112,119,0,14,56,84,224,42,112,119,56
Desert_Community_College_District.csv,105,112,196,0,133,0,105,56,105,0,14,56,161,112,105,56,140,0
San_Jose-Evergreen_Community_College_District.csv,203,56,273,0,196,0,217,0,161,0,70,56,287,56,98,56,217,0
Shasta-Tehama-Trinity_Joint_Community_College_District.csv,70,168,196,0,105,56,105,56,105,0,14,56,210,56,77,56,140,0
Palo_Verde_Community_College_District.csv,42,329,0,392,0,273,42,336,0,224,0,168,0,448,0,168,42,224
San_Luis_Obispo_County_Community_College_District.csv,224,0,126,56,161,0,70,56,70,0,14,56,189,0,112,56,98,0
San_Francisco_Community_College_District.csv,217,0,217,0,140,0,182,0,105,0,112,56,203,0,91,56,133,0
Santa_Clarita_Community_College_District.csv,287,0,315,0,175,0,140,0,105,0,70,56,154,112,77,56,175,0
Long_Beach_Community_College_District.csv,105,112,189,0,91,56,140,0,70,0,14,56,210,56,70,56,105,0
Santa_Barbara_Community_College_District.csv,217,0,266,0,126,0,140,0,105,0,14,56,196,56,77,56,133,0
Coast_Community_College_District.csv,210,0,203,0,126,0,182,0,91,0,21,56,329,0,70,56,112,0
Napa_Valley_Community_College_District.csv,70,161,175,56,56,105,105,56,105,0,14,56,126,168,42,112,147,0
Redwoods_Community_College_District.csv,70,161,77,168,14,161,105,56,105,0,14,56,98,224,56,112,105,56
Mendocino-Lake_Community_College_District.csv,112,105,133,112,14,161,105,56,105,0,14,56,147,168,91,56,203,0
Santa_Monica_Community_College_District.csv,245,0,189,0,133,0,154,0,105,0,14,56,161,112,98,56,133,0
San_Joaquin_Delta_Community_College_District.csv,77,168,245,0,147,0,196,0,112,0,14,56,140,168,91,56,154,0
Feather_River_Community_College_District.csv,14,273,70,224,14,161,14,280,63,56,14,56,14,336,0,168,63,112
