Community College,UCSD Articulated,UCSD Unarticulated,UCSB Articulated,UCSB Unarticulated,UCSC Articulated,UCSC Unarticulated,UCLA Articulated,UCLA Unarticulated,UCB Articulated,UCB Unarticulated,UCI Articulated,UCI Unarticulated,UCD Articulated,UCD Unarticulated,UCR Articulated,UCR Unarticulated,UCM Articulated,UCM Unarticulated
Merced_Community_College_District.csv,2.38,2.00,3.25,1.00,2.50,0.00,2.12,1.00,2.12,0.00,0.25,1.00,4.00,1.00,1.50,1.00,2.38,0.00
Marin_Community_College_District.csv,2.38,1.00,3.25,0.00,2.25,0.00,2.75,0.00,1.88,0.00,0.25,1.00,4.50,0.00,1.62,1.00,2.38,0.00
Siskiyou_Joint_Community_College_District.csv,1.25,3.00,2.38,2.00,1.75,1.00,1.88,1.00,1.88,0.00,0.25,1.00,3.12,2.00,1.50,1.00,2.50,0.00
Imperial_Community_College_District.csv,3.88,0.00,2.25,2.00,1.12,2.00,1.88,1.00,1.88,0.00,0.25,1.00,2.62,3.00,0.88,2.00,2.75,0.00
Kern_Community_College_District.csv,1.50,2.88,3.38,1.00,3.25,0.88,2.62,0.00,2.12,0.00,0.50,1.00,3.25,2.00,1.50,1.00,2.62,0.00
Lassen_Community_College_District.csv,0.25,4.88,0.25,5.00,0.25,2.88,0.25,5.00,0.25,2.00,0.25,1.00,0.25,6.00,0.00,3.00,0.25,3.00
Cabrillo_Community_College_District.csv,3.50,0.00,3.25,0.00,2.75,0.00,2.50,0.00,1.88,0.00,0.25,1.00,4.38,0.00,1.50,1.00,2.50,0.00
San_Mateo_County_Community_College_District.csv,4.25,0.00,3.50,0.00,2.62,0.00,2.50,0.00,1.88,0.00,0.25,1.00,4.88,0.00,1.50,1.00,2.62,0.00
West_Kern_Community_College_District.csv,0.75,3.88,4.38,0.00,0.25,2.88,1.38,2.00,2.12,0.00,0.25,1.00,1.50,4.00,0.75,2.00,2.12,1.00
Desert_Community_College_District.csv,1.88,2.00,3.50,0.00,2.38,0.00,1.88,1.00,1.88,0.00,0.25,1.00,2.88,2.00,1.88,1.00,2.50,0.00
San_Jose-Evergreen_Community_College_District.csv,3.62,1.00,4.88,0.00,3.50,0.00,3.88,0.00,2.88,0.00,1.25,1.00,5.12,1.00,1.75,1.00,3.88,0.00
Shasta-Tehama-Trinity_Joint_Community_College_District.csv,1.25,3.00,3.50,0.00,1.88,1.00,1.88,1.00,1.88,0.00,0.25,1.00,3.75,1.00,1.38,1.00,2.50,0.00
Palo_Verde_Community_College_District.csv,0.75,5.88,0.00,7.00,0.00,4.88,0.75,6.00,0.00,4.00,0.00,3.00,0.00,8.00,0.00,3.00,0.75,4.00
San_Luis_Obispo_County_Community_College_District.csv,4.00,0.00,2.25,1.00,2.88,0.00,1.25,1.00,1.25,0.00,0.25,1.00,3.38,0.00,2.00,1.00,1.75,0.00
San_Francisco_Community_College_District.csv,3.88,0.00,3.88,0.00,2.50,0.00,3.25,0.00,1.88,0.00,2.00,1.00,3.62,0.00,1.62,1.00,2.38,0.00
Santa_Clarita_Community_College_District.csv,5.12,0.00,5.62,0.00,3.12,0.00,2.50,0.00,1.88,0.00,1.25,1.00,2.75,2.00,1.38,1.00,3.12,0.00
Long_Beach_Community_College_District.csv,1.88,2.00,3.38,0.00,1.62,1.00,2.50,0.00,1.25,0.00,0.25,1.00,3.75,1.00,1.25,1.00,1.88,0.00
Santa_Barbara_Community_College_District.csv,3.88,0.00,4.75,0.00,2.25,0.00,2.50,0.00,1.88,0.00,0.25,1.00,3.50,1.00,1.38,1.00,2.38,0.00
Coast_Community_College_District.csv,3.75,0.00,3.62,0.00,2.25,0.00,3.25,0.00,1.62,0.00,0.38,1.00,5.88,0.00,1.25,1.00,2.00,0.00
Napa_Valley_Community_College_District.csv,1.25,2.88,3.12,1.00,1.00,1.88,1.88,1.00,1.88,0.00,0.25,1.00,2.25,3.00,0.75,2.00,2.62,0.00
Redwoods_Community_College_District.csv,1.25,2.88,1.38,3.00,0.25,2.88,1.88,1.00,1.88,0.00,0.25,1.00,1.75,4.00,1.00,2.00,1.88,1.00
Mendocino-Lake_Community_College_District.csv,2.00,1.88,2.38,2.00,0.25,2.88,1.88,1.00,1.88,0.00,0.25,1.00,2.62,3.00,1.62,1.00,3.62,0.00
Santa_Monica_Community_College_District.csv,4.38,0.00,3.38,0.00,2.38,0.00,2.75,0.00,1.88,0.00,0.25,1.00,2.88,2.00,1.75,1.00,2.38,0.00
San_Joaquin_Delta_Community_College_District.csv,1.38,3.00,4.38,0.00,2.62,0.00,3.50,0.00,2.00,0.00,0.25,1.00,2.50,3.00,1.62,1.00,2.75,0.00
Feather_River_Community_College_District.csv,0.25,4.88,1.25,4.00,0.25,2.88,0.25,5.00,1.12,1.00,0.25,1.00,0.25,6.00,0.00,3.00,1.12,2.00
Cerritos_Community_College_District.csv,3.50,0.00,2.00,1.00,2.38,0.00,1.88,0.00,1.25,0.00,0.25,1.00,4.38,0.00,1.50,1.00,1.88,0.00
Riverside_Community_College_District.csv,2.88,1.00,3.25,0.00,2.62,0.00,2.50,0.00,1.88,0.00,0.25,1.00,4.38,0.00,1.25,1.00,2.50,0.00
South_Orange_County_Community_College_District.csv,3.75,0.00,3.50,0.00,3.50,0.00,2.75,0.00,1.88,0.00,0.25,1.00,4.75,0.00,2.00,1.00,2.38,0.00
Mt._San_Antonio_Community_College_District.csv,3.62,0.00,5.38,0.00,2.88,0.00,2.88,0.00,1.38,0.00,0.25,1.00,3.00,2.00,2.00,1.00,2.38,0.00
Monterey_Peninsula_Community_College_District.csv,2.12,2.00,3.00,1.00,2.62,0.00,2.62,0.00,1.88,0.00,0.25,1.00,3.88,1.00,1.62,1.00,2.50,0.00
Glendale_Community_College_District.csv,3.00,1.00,3.38,0.00,1.75,1.00,2.50,0.00,1.88,0.00,2.25,1.00,4.50,0.00,1.50,1.00,2.50,0.00
Los_Angeles_Community_College_District.csv,3.38,0.00,3.25,0.00,2.25,0.00,2.62,0.00,1.88,0.00,0.25,1.00,4.25,0.00,1.50,1.00,2.38,0.00
San_Diego_Community_College_District.csv,3.50,0.00,3.62,0.00,1.88,1.00,2.75,0.00,1.88,0.00,0.25,1.00,3.25,2.00,1.75,1.00,2.62,0.00
Chaffey_Community_College_District.csv,1.25,2.88,3.88,0.00,0.25,2.88,3.50,0.00,1.88,0.00,0.25,1.00,3.12,2.00,0.75,2.00,2.62,0.00
Compton_Community_College_District.csv,3.75,0.00,2.25,1.00,0.88,2.00,1.25,1.00,1.25,0.00,0.25,1.00,1.38,4.00,0.00,3.00,1.25,1.00
Rio_Hondo_Community_College_District.csv,3.50,1.00,2.62,1.00,2.12,1.00,3.12,0.00,2.50,0.00,0.25,1.00,2.25,3.00,1.50,1.00,3.38,0.00
Peralta_Community_College_District.csv,2.88,1.00,3.25,0.00,2.38,0.00,2.50,0.00,1.88,0.00,0.25,1.00,4.50,0.00,1.62,1.00,2.50,0.00
Antelope_Valley_Community_College_District.csv,6.38,0.00,2.75,1.00,2.50,0.00,1.88,1.00,1.88,0.00,1.25,1.00,3.00,2.00,0.00,3.00,2.62,0.00
West_Valley-Mission_Community_College_District.csv,3.88,0.00,3.25,0.00,2.50,0.00,2.62,0.00,2.00,0.00,0.25,1.00,7.12,0.00,1.25,1.00,2.88,0.00
Victor_Valley_Community_College_District.csv,2.25,2.00,4.00,0.00,1.12,2.00,1.88,1.00,1.88,1.00,0.25,1.00,2.38,3.00,1.62,1.00,1.88,1.00
Pasadena_Area_Community_College_District.csv,3.88,0.00,4.25,0.00,2.50,0.00,2.50,0.00,1.88,0.00,3.25,1.00,3.88,1.00,1.62,1.00,2.50,0.00
MiraCosta_Community_College_District.csv,3.50,0.00,4.50,0.00,2.38,0.00,2.75,0.00,1.88,0.00,0.25,1.00,4.50,0.00,1.62,1.00,2.38,0.00
Contra_Costa_Community_College_District.csv,6.00,0.00,3.50,0.00,2.62,0.00,2.88,0.00,1.88,0.00,0.25,1.00,4.88,0.00,1.88,1.00,2.62,0.00
Allan_Hancock_Joint_Community_College_District.csv,2.38,1.00,2.75,0.00,2.25,0.00,1.25,1.00,1.25,0.00,0.25,1.00,2.25,3.00,1.38,1.00,1.75,0.00
Ventura_County_Community_College_District.csv,3.75,0.00,4.00,0.00,2.75,0.00,3.00,0.00,2.00,0.00,0.25,1.00,5.25,0.00,0.88,2.00,2.62,0.00
North_Orange_County_Community_College_District.csv,3.62,0.00,2.75,0.00,2.88,0.00,2.25,0.00,1.38,0.00,0.25,1.00,5.38,0.00,2.12,1.00,1.88,0.00
State_Center_Community_College_District.csv,3.25,0.00,3.75,0.00,2.50,0.00,2.62,0.00,2.38,0.00,0.50,1.00,4.38,0.00,1.50,1.00,2.12,0.00
Chabot-Las_Positas_Community_College_District.csv,3.38,0.00,3.50,0.00,2.25,0.00,2.62,0.00,1.88,0.00,0.25,1.00,4.38,0.00,1.62,1.00,2.38,0.00
Sonoma_County_Junior_College_District.csv,2.75,1.00,3.50,1.00,2.25,0.00,1.88,1.00,1.88,0.00,0.25,1.00,3.62,1.00,1.50,1.00,2.38,0.00
Citrus_Community_College_District.csv,1.25,3.00,2.88,1.00,1.88,1.00,2.62,0.00,1.88,0.00,0.25,1.00,3.38,2.00,1.75,1.00,1.88,1.00
Lake_Tahoe_Community_College_District.csv,2.88,1.00,1.38,3.00,1.38,2.00,2.50,1.00,2.50,0.00,0.25,1.00,0.75,5.00,2.50,1.00,3.12,0.00
Sierra_Joint_Community_College_District.csv,3.25,0.00,3.00,0.00,2.75,0.00,2.25,0.00,1.25,0.00,0.25,1.00,4.50,0.00,1.62,1.00,1.88,0.00
Southwestern_Community_College_District.csv,3.62,0.00,2.62,1.00,2.50,0.00,2.50,0.00,1.88,0.00,0.25,1.00,2.88,2.00,0.62,2.00,2.62,0.00
El_Camino_Community_College_District.csv,3.38,0.00,2.50,0.00,2.38,0.00,1.88,0.00,1.25,0.00,0.25,1.00,3.38,1.00,1.50,1.00,1.75,0.00
Yosemite_Community_College_District.csv,2.62,1.00,2.12,2.00,2.38,0.00,3.75,0.00,1.88,0.00,0.25,1.00,3.75,1.00,1.38,1.00,2.38,0.00
Sequoias_Community_College_District.csv,1.25,2.88,3.88,0.00,0.75,1.88,1.88,1.00,1.88,0.00,0.25,1.00,3.12,2.00,1.38,1.00,2.38,0.00
Butte-Glenn_Community_College_District.csv,1.25,3.00,3.62,0.00,1.62,1.00,1.88,1.00,1.88,0.00,0.25,1.00,3.00,2.00,1.38,1.00,2.38,0.00
San_Bernardino_Community_College_District.csv,1.88,2.00,3.62,0.00,2.38,0.00,2.88,0.00,2.00,0.00,0.25,1.00,4.25,0.00,1.75,1.00,2.50,0.00
Foothill-De_Anza_Community_College_District.csv,4.00,0.00,4.88,0.00,2.75,0.00,3.38,0.00,2.38,0.00,0.25,1.00,4.62,0.00,2.00,1.00,3.00,0.00
Copper_Mountain_Community_College_District.csv,1.88,2.00,3.38,0.00,1.75,1.00,1.88,1.00,1.88,0.00,0.25,1.00,3.62,1.00,1.38,1.00,2.50,0.00
Grossmont-Cuyamaca_Community_College_District.csv,3.75,0.00,3.62,0.00,2.38,0.00,2.88,0.00,1.88,0.00,0.25,1.00,3.88,1.00,1.25,1.00,2.38,0.00
Barstow_Community_College_District.csv,3.62,0.00,3.00,1.00,1.00,2.00,0.75,3.00,2.12,0.00,0.25,1.00,0.75,5.00,1.50,1.00,2.75,0.00
Los_Rios_Community_College_District.csv,3.38,0.00,3.25,0.00,2.25,0.00,2.62,0.00,1.88,0.00,0.25,1.00,4.25,0.00,1.50,1.00,2.38,0.00
Mt._San_Jacinto_Community_College_District.csv,3.50,0.00,3.25,0.00,2.25,0.00,2.62,0.00,2.00,0.00,0.25,1.00,4.25,0.00,1.50,1.00,1.88,0.00
Rancho_Santiago_Community_College_District.csv,3.25,0.88,4.75,0.00,1.75,0.88,2.50,0.00,1.50,0.00,0.25,1.00,2.12,3.00,1.50,1.00,2.12,0.00
Palomar_Community_College_District.csv,3.38,0.00,3.88,0.00,2.25,0.00,4.25,0.00,1.88,0.00,2.00,1.00,4.12,0.00,1.38,1.00,2.38,0.00
West_Hills_Community_College_District.csv,1.25,2.88,2.25,2.00,0.25,2.88,1.88,1.00,1.88,0.00,0.25,1.00,0.75,5.00,0.88,2.00,1.88,1.00
Ohlone_Community_College_District.csv,3.38,0.00,3.12,0.00,2.25,0.00,2.50,0.00,1.88,0.00,0.25,1.00,4.25,0.00,1.50,1.00,2.38,0.00
Gavilan_Community_College_District.csv,1.88,2.00,3.50,0.00,3.25,0.00,1.88,1.00,1.88,0.00,0.25,1.00,5.00,1.00,1.62,1.00,2.50,0.00
Hartnell_Community_College_District.csv,2.25,2.00,3.62,0.00,3.75,0.00,1.88,1.00,1.88,0.00,0.25,1.00,2.25,3.00,0.75,2.00,2.62,0.00
Solano_Community_College_District.csv,1.88,2.00,2.12,2.00,2.50,0.00,2.62,0.00,1.88,0.00,0.25,1.00,3.75,0.00,0.75,2.00,2.50,0.00
Yuba_Community_College_District.csv,2.38,2.00,3.62,0.00,2.62,0.00,2.62,0.00,2.00,0.00,0.25,1.00,3.88,1.00,1.50,1.00,2.12,0.00
AVERAGE,2.83,1.20,3.23,0.65,2.07,0.69,2.35,0.58,1.80,0.11,0.42,1.03,3.42,1.58,1.36,1.28,2.34,0.21
