UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5
University of California Berkeley,Bakersfield College,MATH 1A,MATH B6A,,,,
University of California Berkeley,Bakersfield College,MATH 1B,MATH B6B,,,,
University of California Berkeley,Bakersfield College,MATH 53,MATH B6C,,,,
University of California Berkeley,Bakersfield College,MATH 54,MATH B6D; MATH B6E,,,,
University of California Berkeley,Bakersfield College,PHYSICS 7A,PHYS B4A,,,,
University of California Berkeley,Bakersfield College,PHYSICS 7B,PHYS B4B,,,,
University of California Berkeley,Bakersfield College,ENGLISH R1A,ENGL B1A,ENGL B2,,,
University of California Berkeley,Bakersfield College,ENGLISH R1B,ENGL B2,ENGL B3,,,
University of California Berkeley,Bakersfield College,ASTRON 7A,Not Articulated,,,,
University of California Berkeley,Bakersfield College,ASTRON 7B,Not Articulated,,,,
University of California Berkeley,Bakersfield College,BIOLOGY 1A; BIOLOGY 1AL,BIOL B3A; BIOL B3B,,,,
University of California Berkeley,Bakersfield College,BIOLOGY 1B,BIOL B3A,,,,
University of California Berkeley,Bakersfield College,CHEM 1A; CHEM 1AL,CHEM B1A,,,,
University of California Berkeley,Bakersfield College,CHEM 1B,CHEM B1B,,,,
University of California Berkeley,Bakersfield College,CHEM 3A; CHEM 3AL,CHEM B30A,,,,
University of California Berkeley,Bakersfield College,CHEM 3B; CHEM 3BL,CHEM B30B,,,,
University of California Berkeley,Bakersfield College,MCELLBI 32; MCELLBI 32L,Not Articulated,,,,
University of California Berkeley,Bakersfield College,PHYSICS 7C,PHYS B4C,,,,
University of California Berkeley,Bakersfield College,COMPSCI 61A,Not Articulated,,,,
University of California Berkeley,Bakersfield College,COMPSCI 61B,COMP B12,,,,
University of California Berkeley,Bakersfield College,COMPSCI 61C,Not Articulated,,,,
University of California Berkeley,Bakersfield College,COMPSCI 70,Not Articulated,,,,
University of California Berkeley,Bakersfield College,EECS 16A,Not Articulated,,,,
University of California Berkeley,Bakersfield College,EECS 16B,Not Articulated,,,,
University of California Davis,Bakersfield College,ECS 020,COMP B14,,,,
University of California Davis,Bakersfield College,ECS 036A,Not Articulated,,,,
University of California Davis,Bakersfield College,ECS 036B,COMP B12,,,,
University of California Davis,Bakersfield College,ECS 036C,Not Articulated,,,,
University of California Davis,Bakersfield College,ECS 050,Not Articulated,,,,
