UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3
University of California Berkeley,Chaffey College,MATH 1A,MATH 65A,,
University of California Berkeley,Chaffey College,MATH 1B,MATH 65B,,
University of California Berkeley,Chaffey College,MATH 53,MATH 75,,
University of California Berkeley,Chaffey College,MATH 54,MATH 81; MATH 85,,
University of California Berkeley,Chaffey College,PHYSICS 7A,PHYS 45,,
University of California Berkeley,Chaffey College,PHYSICS 7B,PHYS 46,,
University of California Berkeley,Chaffey College,ENGLISH R1A,ENGL 1A,,
University of California Berkeley,Chaffey College,ENGLISH R1B,ENGL 1B,,
University of California Berkeley,Chaffey College,ASTRON 7A,Not Articulated,,
University of California Berkeley,Chaffey College,ASTRON 7B,Not Articulated,,
University of California Berkeley,Chaffey College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 40; BIOL 62,,
University of California Berkeley,Chaffey College,BIOLOGY 1B,BIOL 62; BIOL 63,,
University of California Berkeley,Chaffey College,CHEM 1A; CHEM 1AL,CHEM 24A,,
University of California Berkeley,Chaffey College,CHEM 1B,CHEM 24B,,
University of California Berkeley,Chaffey College,CHEM 3A; CHEM 3AL,CHEM 76A,,
University of California Berkeley,Chaffey College,CHEM 3B; CHEM 3BL,CHEM 76B,,
University of California Berkeley,Chaffey College,MCELLBI 32; MCELLBI 32L,BIOL 22,,
University of California Berkeley,Chaffey College,PHYSICS 7C,PHYS 47,,
University of California Berkeley,Chaffey College,COMPSCI 61A,Not Articulated,,
University of California Berkeley,Chaffey College,COMPSCI 61B,Not Articulated,,
University of California Berkeley,Chaffey College,COMPSCI 61C,Not Articulated,,
University of California Berkeley,Chaffey College,COMPSCI 70,Not Articulated,,
University of California Berkeley,Chaffey College,EECS 16A,Not Articulated,,
University of California Berkeley,Chaffey College,EECS 16B,Not Articulated,,
University of California Davis,Chaffey College,ECS 020,COMPSCI 4,,
University of California Davis,Chaffey College,ECS 036A,ENGIN 30,,
University of California Davis,Chaffey College,ECS 036B,COMPSCI 2,,
University of California Davis,Chaffey College,ECS 036C,Not Articulated,,
University of California Davis,Chaffey College,ECS 050,Not Articulated,,
University of California Davis,Chaffey College,MAT 021A,MATH 65A,,
University of California Davis,Chaffey College,MAT 021B,MATH 65B,,
University of California Davis,Chaffey College,MAT 021C,MATH 75,,
University of California Davis,Chaffey College,MAT 022A,MATH 81,,
University of California Davis,Chaffey College,MAT 027A,Not Articulated,,
University of California Davis,Chaffey College,MAT 067,Not Articulated,,
University of California Davis,Chaffey College,BIS 002A,BIOL 40,,
University of California Davis,Chaffey College,BIS 002B,BIOL 63,,
University of California Davis,Chaffey College,BIS 002C,BIOL 62,,
University of California Davis,Chaffey College,CHE 002A; CHE 002B; CHE 002C,CHEM 24A; CHEM 24B,,
University of California Davis,Chaffey College,CHE 004A,Not Articulated,,
University of California Davis,Chaffey College,CHE 004B,Not Articulated,,
University of California Davis,Chaffey College,CHE 004C,Not Articulated,,
University of California Davis,Chaffey College,PHY 009A,PHYS 45,,
University of California Davis,Chaffey College,PHY 009B,PHYS 46,,
University of California Davis,Chaffey College,PHY 009C,PHYS 47,,
University of California Irvine,Chaffey College,I&C SCI 31; I&C SCI 32; I&C SCI 33,COMPSCI 1; COMPSCI 2,,
University of California Irvine,Chaffey College,MATH 2A,MATH 65A,,
