UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3
University of California Berkeley,City College of San Francisco,MATH 1A,MATH 110A,,
University of California Berkeley,City College of San Francisco,MATH 1B,MATH 110B,,
University of California Berkeley,City College of San Francisco,MATH 53,MATH 110C,,
University of California Berkeley,City College of San Francisco,MATH 54,MATH 120; MATH 125,MATH 130,
University of California Berkeley,City College of San Francisco,PHYSICS 7A,PHYC 4A; PHYC 4AL,,
University of California Berkeley,City College of San Francisco,PHYSICS 7B,PHYC 4B; PHYC 4BL,,
University of California Berkeley,City College of San Francisco,ENGLISH R1A,ENGL 1A,,
University of California Berkeley,City College of San Francisco,ENGLISH R1B,ENGL 1B,ENGL 1C,CMST 2
University of California Berkeley,City College of San Francisco,ASTRON 7A,Not Articulated,,
University of California Berkeley,City College of San Francisco,ASTRON 7B,Not Articulated,,
University of California Berkeley,City College of San Francisco,BIOLOGY 1A; BIOLOGY 1AL,BIO 100A,,
University of California Berkeley,City College of San Francisco,BIOLOGY 1B,BIO 100B,,
University of California Berkeley,City College of San Francisco,CHEM 1A; CHEM 1AL,CHEM 101A,,
University of California Berkeley,City College of San Francisco,CHEM 1B,CHEM 101B,,
University of California Berkeley,City College of San Francisco,CHEM 3A; CHEM 3AL,CHEM 212A,,
University of California Berkeley,City College of San Francisco,CHEM 3B; CHEM 3BL,CHEM 212B,,
University of California Berkeley,City College of San Francisco,MCELLBI 32; MCELLBI 32L,BIO 111,,
University of California Berkeley,City College of San Francisco,PHYSICS 7C,PHYC 4C; PHYC 4CL; PHYC 4D; PHYC 4DL,,
University of California Berkeley,City College of San Francisco,COMPSCI 61A,Not Articulated,,
University of California Berkeley,City College of San Francisco,COMPSCI 61B,CS 110C,CS 111C,
University of California Berkeley,City College of San Francisco,COMPSCI 61C,Not Articulated,,
University of California Berkeley,City College of San Francisco,COMPSCI 70,Not Articulated,,
University of California Berkeley,City College of San Francisco,EECS 16A,Not Articulated,,
University of California Berkeley,City College of San Francisco,EECS 16B,Not Articulated,,
University of California Davis,City College of San Francisco,ECS 020,MATH 115,,
University of California Davis,City College of San Francisco,ECS 036A; ECS 036B; ECS 036C,CS 110B; CS 110C,CS 111B; CS 111C,
University of California Davis,City College of San Francisco,ECS 050,CS 270,,
University of California Davis,City College of San Francisco,MAT 021A,MATH 110A,,
University of California Davis,City College of San Francisco,MAT 021B,MATH 110A; MATH 110B,,
University of California Davis,City College of San Francisco,MAT 021C,MATH 110B; MATH 110C,,
University of California Davis,City College of San Francisco,MAT 022A; MAT 022B,MATH 130,,
University of California Davis,City College of San Francisco,MAT 022A,MATH 120,,
University of California Davis,City College of San Francisco,MAT 027A,Not Articulated,,
University of California Davis,City College of San Francisco,MAT 067,Not Articulated,,
University of California Davis,City College of San Francisco,BIS 002A,BIO 100A,,
University of California Davis,City College of San Francisco,BIS 002B,BIO 100B,,
University of California Davis,City College of San Francisco,BIS 002C,BIO 100B,,
