UC Campus,CC,Requirement group ID,Set ID,Num required from set,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Berkeley,Columbia College,A,A,1,MATH 1A - Calculus,MATH 18A - Calculus I,,,
University of California Berkeley,Columbia College,A,A,1,MATH 1B - Calculus,MATH 18B - Calculus II,,,
University of California Berkeley,Columbia College,A,A,1,MATH 53 - Multivariable Calculus,MATH 18C - Calculus III,,,
University of California Berkeley,Columbia College,A,A,1,MATH 54 - Linear Algebra and Differential Equations,MATH 26 - Linear Algebra & MATH 28 - Differential Equations,,,
University of California Berkeley,Columbia College,A,A,1,PHYSICS 7A - Physics for Scientists and Engineers,PHYCS 5A - Physics I: Calculus Level,,,
University of California Berkeley,Columbia College,A,A,1,PHYSICS 7B - Physics for Scientists and Engineers,PHYCS 5B - Physics II: Calculus Level,,,
University of California Berkeley,Columbia College,A,A,1,ENGLISH R1A - Reading and Composition,ENGL 1A - Reading and Composition: Beginning,,,
University of California Berkeley,Columbia College,A,A,1,ENGLISH R1B - Reading and Composition,ENGL 1B - Advanced Composition and Introduction to Literature,,,
University of California Berkeley,Columbia College,A,A,1,ASTRON 7A - Introduction to Astrophysics,Not Articulated,,,
University of California Berkeley,Columbia College,A,A,1,ASTRON 7B - Introduction to Astrophysics,Not Articulated,,,
University of California Berkeley,Columbia College,A,A,1,"BIOLOGY 1A - General Biology Lecture (Cells, Genetics, Animal Form & Function) & BIOLOGY 1AL - General Biology Laboratory",BIOL 2 - Cell and Molecular Biology & BIOL 4 - Principles of Evolution and Zoology,,,
University of California Berkeley,Columbia College,A,A,1,"BIOLOGY 1B - General Biology (Plant Form & Function, Ecology, Evolution)",BIOL 2 - Cell and Molecular Biology & BIOL 4 - Principles of Evolution and Zoology & BIOL 6 - Plant Biology and Ecology,,,
University of California Berkeley,Columbia College,A,A,1,CHEM 1A - General Chemistry & CHEM 1AL - General Chemistry Laboratory & CHEM 1B - General Chemistry,CHEM 2A - General Chemistry I & CHEM 2AL - General Chemistry I Laboratory & CHEM 2B - General Chemistry II & CHEM 2BL - General Chemistry II Laboratory,,,
University of California Berkeley,Columbia College,A,A,1,CHEM 3A - Chemical Structure and Reactivity & CHEM 3AL - Organic Chemistry Laboratory,CHEM 4A - Organic Chemistry I & CHEM 4AL - Organic Chemistry I Laboratory,,,
University of California Berkeley,Columbia College,A,A,1,CHEM 3B - Chemical Structure and Reactivity & CHEM 3BL - Organic Chemistry Laboratory,CHEM 4B - Organic Chemistry II & CHEM 4BL - Organic Chemistry II Laboratory,,,
University of California Berkeley,Columbia College,A,A,1,MCELLBI 32 - Introduction to Human Physiology & MCELLBI 32L - Introduction to Human Physiology Laboratory,BIOL 60 - Human Physiology,,,
University of California Berkeley,Columbia College,A,A,1,PHYSICS 7C - Physics for Scientists and Engineers,Not Articulated,,,
University of California Berkeley,Columbia College,A,A,1,COMPSCI 61A - The Structure and Interpretation of Computer Programs,Not Articulated,,,
University of California Berkeley,Columbia College,A,A,1,COMPSCI 61B - Data Structures,Not Articulated,,,
University of California Berkeley,Columbia College,A,A,1,COMPSCI 61C - Machine Structures,Not Articulated,,,
University of California Berkeley,Columbia College,A,A,1,COMPSCI 70 - Discrete Mathematics and Probability Theory,Not Articulated,,,
University of California Berkeley,Columbia College,A,A,1,EECS 16A - Designing Information Devices and Systems I,Not Articulated,,,
University of California Berkeley,Columbia College,A,A,1,EECS 16B - Designing Information Devices and Systems II,Not Articulated,,,
University of California Davis,Columbia College,A,A,1,ECS 020 - Discrete Mathematics For Computer Science,Not Articulated,,,
University of California Davis,Columbia College,A,A,1,ECS 036A - Programming & Problem Solving,COMP 11P - Programming Concepts and Methodology I (Python),,,
University of California Davis,Columbia College,A,A,1,ECS 036B - Software Development & Object-Oriented Programming in C++,COMP 12J - Programming Concepts and Methodology II (Java),,,
University of California Davis,Columbia College,A,A,1,"ECS 036C - Data Structures, Algorithms, & Programming",Not Articulated,,,
University of California Davis,Columbia College,A,A,1,ECS 050 - Computer Organization & Machine-Dependent Programming,Not Articulated,,,
University of California Davis,Columbia College,A,A,1,MAT 021A - Calculus,MATH 18A - Calculus I,,,
University of California Davis,Columbia College,A,A,1,MAT 021B - Calculus,MATH 18B - Calculus II,,,
University of California Davis,Columbia College,A,A,1,MAT 021C - Calculus,MATH 18B - Calculus II & MATH 18C - Calculus III,,,
University of California Davis,Columbia College,A,A,1,MAT 022A - Linear Algebra,MATH 26 - Linear Algebra,,,
University of California Davis,Columbia College,A,A,1,MAT 027A - Linear Algebra with Applications to Biology,Not Articulated,,,
University of California Davis,Columbia College,A,A,1,MAT 067 - Modern Linear Algebra,Not Articulated,,,
University of California Davis,Columbia College,A,A,1,BIS 002A - Introduction to Biology: Essentials of Life on Earth,BIOL 2 - Cell and Molecular Biology,,,
University of California Davis,Columbia College,A,A,1,BIS 002B - Introduction to Biology: Principles of Ecology & Evolution,BIOL 4 - Principles of Evolution and Zoology & BIOL 6 - Plant Biology and Ecology,,,
University of California Davis,Columbia College,A,A,1,BIS 002C - Introduction to Biology: Biodiversity & the Tree of Life,BIOL 4 - Principles of Evolution and Zoology & BIOL 6 - Plant Biology and Ecology,,,
