UC Campus,CC,Requirement group ID,Set ID,Num required from set,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5
University of California Berkeley,Compton College,A,A,1,MATH 1A - Calculus,MATH 190 - Single Variable Calculus and Analytic Geometry I,,,,
University of California Berkeley,Compton College,A,A,1,MATH 1B - Calculus,MATH 191 - Single Variable Calculus and Analytic Geometry II,,,,
University of California Berkeley,Compton College,A,A,1,MATH 53 - Multivariable Calculus,MATH 220 - Multi-Variable Calculus,,,,
University of California Berkeley,Compton College,A,A,1,MATH 54 - Linear Algebra and Differential Equations,MATH 270 - Differential Equations with Linear Algebra,,,,
University of California Berkeley,Compton College,A,A,1,PHYSICS 7A - Physics for Scientists and Engineers,"PHYS 150 - Mechanics of Solids & PHYS 152 - Fluids, Heat and Sound",,,,
University of California Berkeley,Compton College,A,A,1,PHYSICS 7B - Physics for Scientists and Engineers,"PHYS 152 - Fluids, Heat and Sound & PHYS 250 - Electricity and Magnetism",,,,
University of California Berkeley,Compton College,A,A,1,ENGLISH R1A - Reading and Composition,ENGL 101 - Reading and Composition,ENGL 101H - Honors Reading and Composition,,,
University of California Berkeley,Compton College,A,A,1,ENGLISH R1B - Reading and Composition,ENGL 102 - Literature and Composition,ENGL 102H - Honors Literature and Composition,,,
University of California Berkeley,Compton College,A,A,1,ASTRON 7A - Introduction to Astrophysics,Not Articulated,,,,
University of California Berkeley,Compton College,A,A,1,ASTRON 7B - Introduction to Astrophysics,Not Articulated,,,,
University of California Berkeley,Compton College,A,A,1,"BIOLOGY 1A - General Biology Lecture (Cells, Genetics, Animal Form & Function) & BIOLOGY 1AL - General Biology Laboratory & BIOLOGY 1B - General Biology (Plant Form & Function, Ecology, Evolution)",BIOL 101 - Principles of Biology I & BIOL 102 - Principles of Biology II & BIOL 103 - Fundamentals of Molecular Biology,,,,
University of California Berkeley,Compton College,A,A,1,CHEM 1A - General Chemistry & CHEM 1AL - General Chemistry Laboratory,CHEM 150 - General Chemistry I,,,,
University of California Berkeley,Compton College,A,A,1,CHEM 1B - General Chemistry,CHEM 152 - General Chemistry II,,,,
University of California Berkeley,Compton College,A,A,1,CHEM 3A - Chemical Structure and Reactivity & CHEM 3AL - Organic Chemistry Laboratory,Not Articulated,,,,
University of California Berkeley,Compton College,A,A,1,CHEM 3B - Chemical Structure and Reactivity & CHEM 3BL - Organic Chemistry Laboratory,Not Articulated,,,,
University of California Berkeley,Compton College,A,A,1,MCELLBI 32 - Introduction to Human Physiology & MCELLBI 32L - Introduction to Human Physiology Laboratory,PHYO 131 - Human Physiology,,,,
University of California Berkeley,Compton College,A,A,1,PHYSICS 7C - Physics for Scientists and Engineers,PHYS 252 - Optics and Modern Physics,,,,
University of California Berkeley,Compton College,A,A,1,COMPSCI 61A - The Structure and Interpretation of Computer Programs,Not Articulated,,,,
University of California Berkeley,Compton College,A,A,1,COMPSCI 61B - Data Structures,Not Articulated,,,,
University of California Berkeley,Compton College,A,A,1,COMPSCI 61C - Machine Structures,Not Articulated,,,,
University of California Berkeley,Compton College,A,A,1,COMPSCI 70 - Discrete Mathematics and Probability Theory,Not Articulated,,,,
University of California Berkeley,Compton College,A,A,1,EECS 16A - Designing Information Devices and Systems I,Not Articulated,,,,
University of California Berkeley,Compton College,A,A,1,EECS 16B - Designing Information Devices and Systems II,Not Articulated,,,,
University of California Davis,Compton College,A,A,1,ECS 020 - Discrete Mathematics For Computer Science,MATH 210 - Introduction to Discrete Structures,,,,
University of California Davis,Compton College,A,A,1,ECS 036A - Programming & Problem Solving,Not Articulated,,,,
University of California Davis,Compton College,A,A,1,ECS 036B - Software Development & Object-Oriented Programming in C++,Not Articulated,,,,
University of California Davis,Compton College,A,A,1,"ECS 036C - Data Structures, Algorithms, & Programming",Not Articulated,,,,
University of California Davis,Compton College,A,A,1,ECS 050 - Computer Organization & Machine-Dependent Programming,Not Articulated,,,,
University of California Davis,Compton College,A,A,1,MAT 021A - Calculus,MATH 190 - Single Variable Calculus and Analytic Geometry I,,,,
University of California Davis,Compton College,A,A,1,MAT 021B - Calculus,MATH 190 - Single Variable Calculus and Analytic Geometry I & MATH 191 - Single Variable Calculus and Analytic Geometry II,,,,
University of California Davis,Compton College,A,A,1,MAT 021C - Calculus,MATH 191 - Single Variable Calculus and Analytic Geometry II & MATH 220 - Multi-Variable Calculus,,,,
University of California Davis,Compton College,A,A,1,MAT 022A - Linear Algebra,MATH 270 - Differential Equations with Linear Algebra,,,,
University of California Davis,Compton College,A,A,1,MAT 027A - Linear Algebra with Applications to Biology,Not Articulated,,,,
University of California Davis,Compton College,A,A,1,MAT 067 - Modern Linear Algebra,Not Articulated,,,,
University of California Davis,Compton College,A,A,1,BIS 002A - Introduction to Biology: Essentials of Life on Earth,BIOL 102 - Principles of Biology II,BIOL 102H - Honors Principles of Biology II,,,
University of California Davis,Compton College,A,A,1,BIS 002B - Introduction to Biology: Principles of Ecology & Evolution,Not Articulated,,,,
University of California Davis,Compton College,A,A,1,BIS 002C - Introduction to Biology: Biodiversity & the Tree of Life,BIOL 101 - Principles of Biology I & BIOL 102 - Principles of Biology II,BIOL 101 - Principles of Biology I & BIOL 102H - Honors Principles of Biology II,BIOL 101H - Honors Principles of Biology I & BIOL 102 - Principles of Biology II,BIOL 101H - Honors Principles of Biology I & BIOL 102H - Honors Principles of Biology II,
University of California Davis,Compton College,A,A,1,CHE 002A - General Chemistry & CHE 002B - General Chemistry & CHE 002C - General Chemistry,CHEM 150 - General Chemistry I & CHEM 152 - General Chemistry II,,,,
University of California Davis,Compton College,A,A,1,CHE 004A - General Chemistry for the Physical Sciences & Engineering,Not Articulated,,,,
University of California Davis,Compton College,A,A,1,CHE 004B - General Chemistry for the Physical Sciences & Engineering,Not Articulated,,,,
University of California Davis,Compton College,A,A,1,CHE 004C - General Chemistry for the Physical Sciences & Engineering,Not Articulated,,,,
University of California Davis,Compton College,A,A,1,PHY 009A - Classical Physics,Not Articulated,,,,
University of California Davis,Compton College,A,A,1,PHY 009B - Classical Physics,Not Articulated,,,,
University of California Davis,Compton College,A,A,1,PHY 009C - Classical Physics,Not Articulated,,,,
University of California Irvine,Compton College,A,A,1,I&C SCI 31 - Introduction to Programming & I&C SCI 32 - Programming with Software Libraries & I&C SCI 33 - Intermediate Programming,CSCI 101 - Problem Solving and Program Design Using C++ & CSCI 102 - Introduction to Data Structures,,,,
University of California Irvine,Compton College,A,A,1,MATH 2A - Single-Variable Calculus,MATH 190 - Single Variable Calculus and Analytic Geometry I,,,,
University of California Irvine,Compton College,A,A,1,MATH 2B - Single-Variable Calculus,MATH 191 - Single Variable Calculus and Analytic Geometry II,,,,
University of California Irvine,Compton College,A,A,1,MATH 3A - Introduction to Linear Algebra,MATH 270 - Differential Equations with Linear Algebra,,,,
University of California Irvine,Compton College,A,A,1,I&C SCI 6N - Computational Linear Algebra,Not Articulated,,,,
University of California Irvine,Compton College,A,A,1,I&C SCI 6B - Boolean Logic and Discrete Structures,Not Articulated,,,,
University of California Irvine,Compton College,A,A,1,I&C SCI 6D - Discrete Mathematics for Computer Science,MATH 210 - Introduction to Discrete Structures,,,,
University of California Irvine,Compton College,A,A,1,I&C SCI 45C - Programming in C/C++ as a Second Language,Not Articulated,,,,
University of California Irvine,Compton College,A,A,1,I&C SCI 46 - Data Structure Implementation and Analysis,Not Articulated,,,,
University of California Irvine,Compton College,A,A,1,I&C SCI 51 - Introductory Computer Organization,Not Articulated,,,,
University of California Irvine,Compton College,A,A,1,I&C SCI 53 - Principles in System Design,Not Articulated,,,,
University of California Irvine,Compton College,A,A,1,IN4MATX 43 - Introduction to Software Engineering,Not Articulated,,,,
University of California Irvine,Compton College,A,A,1,STATS 67 - Introduction to Probability and Statistics for Computer Science,Not Articulated,,,,
University of California Los Angeles,Compton College,A,A,1,COM SCI 31 - Introduction to Computer Science I,Not Articulated,,,,
University of California Los Angeles,Compton College,A,A,1,COM SCI 32 - Introduction to Computer Science II,Not Articulated,,,,
University of California Los Angeles,Compton College,A,A,1,COM SCI 33 - Introduction to Computer Organization,Not Articulated,,,,
University of California Los Angeles,Compton College,A,A,1,COM SCI 35L - Software Construction Laboratory,Not Articulated,,,,
University of California Los Angeles,Compton College,A,A,1,COM SCI M51A - Logic Design of Digital Systems,Not Articulated,,,,
University of California Los Angeles,Compton College,A,A,1,EC ENGR M16 - Logic Design of Digital Systems,Not Articulated,,,,
University of California Los Angeles,Compton College,A,A,1,MATH 31A - Differential and Integral Calculus,MATH 190 - Single Variable Calculus and Analytic Geometry I,,,,
University of California Los Angeles,Compton College,A,A,1,MATH 31B - Integration and Infinite Series,MATH 191 - Single Variable Calculus and Analytic Geometry II,,,,
University of California Los Angeles,Compton College,A,A,1,MATH 32A - Calculus of Several Variables,MATH 220 - Multi-Variable Calculus,,,,
University of California Los Angeles,Compton College,A,A,1,MATH 32B - Calculus of Several Variables,MATH 220 - Multi-Variable Calculus,,,,
University of California Los Angeles,Compton College,A,A,1,MATH 33A - Linear Algebra and Applications,MATH 270 - Differential Equations with Linear Algebra,,,,
University of California Los Angeles,Compton College,A,A,1,MATH 33B - Differential Equations,MATH 270 - Differential Equations with Linear Algebra,,,,
University of California Los Angeles,Compton College,A,A,1,MATH 61 - Introduction to Discrete Structures,MATH 210 - Introduction to Discrete Structures,,,,
University of California Los Angeles,Compton College,A,A,1,"PHYSICS 1A - Physics for Scientists and Engineers: Mechanics & PHYSICS 1B - Physics for Scientists and Engineers: Oscillations, Waves, Electric and Magnetic Fields & PHYSICS 1C - Physics for Scientists and Engineers: Electrodynamics, Optics, and Special Relativity",PHYS 150 - Mechanics of Solids & PHYS 250 - Electricity and Magnetism & PHYS 252 - Optics and Modern Physics,PHYS 101 - Physics for Engineers and Scientists I & PHYS 102 - Physics for Engineers and Scientists II & PHYS 103 - Physics for Engineers and Scientists III,,,
University of California Los Angeles,Compton College,A,A,1,PHYSICS 4AL - Physics Laboratory for Scientists and Engineers: Mechanics,PHYS 101 - Physics for Engineers and Scientists I,PHYS 150 - Mechanics of Solids,,,
University of California Los Angeles,Compton College,A,A,1,PHYSICS 4BL - Physics Laboratory for Scientists and Engineers: Electricity and Magnetism,PHYS 250 - Electricity and Magnetism & PHYS 252 - Optics and Modern Physics,PHYS 102 - Physics for Engineers and Scientists II & PHYS 103 - Physics for Engineers and Scientists III,,,
University of California Los Angeles,Compton College,A,A,1,"ENGCOMP 3 - English Composition, Rhetoric, and Language",ENGL 101 - Reading and Composition,,,,
University of California Los Angeles,Compton College,A,A,1,,ENGL 102 - Literature and Composition,ENGL 102H - Honors Literature and Composition,ENGL 103 - Critical Thinking and Composition,ENGL 103H - Honors Critical Thinking and Composition,PHIL 105 - Critical Thinking and Discourse
University of California Los Angeles,Compton College,A,A,1,,Not Articulated,,,,
University of California Merced,Compton College,A,A,1,CSE 022 - Introduction to Programming,CSCI 101 - Problem Solving and Program Design Using C++,CSCI 103 - Computer Programming in Java,CSCI 114 - Computer Programming in Python,,
University of California Merced,Compton College,A,A,1,CSE 030 - Data Structures,Not Articulated,,,,
University of California Merced,Compton College,A,A,1,MATH 021 - Calculus I for Physical Sciences & Engineering,MATH 190 - Single Variable Calculus and Analytic Geometry I,,,,
University of California Merced,Compton College,A,A,1,MATH 022 - Calculus II for Physical Sciences & Engineering,MATH 191 - Single Variable Calculus and Analytic Geometry II,,,,
University of California Merced,Compton College,A,A,1,MATH 023 - Vector Calculus,MATH 220 - Multi-Variable Calculus,,,,
University of California Merced,Compton College,A,A,1,MATH 024 - Linear Algebra and Differential Equations,MATH 270 - Differential Equations with Linear Algebra,,,,
University of California Merced,Compton College,A,A,1,PHYS 008 - Introductory Physics I for Physical Sciences & PHYS 008L - Introductory Physics I for Physical Sciences Lab,"PHYS 150 - Mechanics of Solids & PHYS 152 - Fluids, Heat and Sound",PHYS 101 - Physics for Engineers and Scientists I,,,
University of California Merced,Compton College,A,A,1,PHYS 009 - Introductory Physics II for Physical Sciences & PHYS 009L - Introductory Physics II for Physical Sciences Lab,"PHYS 152 - Fluids, Heat and Sound & PHYS 250 - Electricity and Magnetism",PHYS 102 - Physics for Engineers and Scientists II,,,
University of California Merced,Compton College,A,A,1,CSE 015 - Discrete Mathematics,MATH 210 - Introduction to Discrete Structures,,,,
