UC Campus,CC,Requirement group ID,Set ID,Num required from set,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6,Courses Group 7,Courses Group 8
University of California Berkeley,De Anza College,A,A,1,MATH 1A - Calculus,MATH 1A - Calculus I & MATH 1B - Calculus II,MATH 1AH - Calculus I - HONORS & MATH 1BH - Calculus II - HONORS,,,,,,
University of California Berkeley,De Anza College,A,A,1,MATH 1B - Calculus,MATH 1B - Calculus II & MATH 1C - Calculus III,MATH 1BH - Calculus II - HONORS & MATH 1CH - Calculus III - HONORS,,,,,,
University of California Berkeley,De Anza College,A,A,1,MATH 53 - Multivariable Calculus,MATH 1C - Calculus III & MATH 1D - Calculus IV,MATH 1CH - Calculus III - HONORS & MATH 1DH - Calculus IV - HONORS,,,,,,
University of California Berkeley,De Anza College,A,A,1,MATH 54 - Linear Algebra and Differential Equations,MATH 2A - Differential Equations & MATH 2B - Linear Algebra,MATH 2AH - Differential Equations - HONORS & MATH 2BH - Linear Algebra - HONORS,,,,,,
University of California Berkeley,De Anza College,A,A,1,PHYSICS 7A - Physics for Scientists and Engineers,PHYS 4A - Physics for Scientists and Engineers: Mechanics,,,,,,,
University of California Berkeley,De Anza College,A,A,1,PHYSICS 7B - Physics for Scientists and Engineers,"PHYS 4B - Physics for Scientists and Engineers: Electricity and Magnetism & PHYS 4C - Physics for Scientists and Engineers: Fluids, Waves, Optics and Thermodynamics",,,,,,,
University of California Berkeley,De Anza College,A,A,1,ENGLISH R1A - Reading and Composition,EWRT 1A - Composition and Reading,EWRT 1AH - Composition and Reading - HONORS,ESL 5 - Advanced Composition and Reading,,,,,
University of California Berkeley,De Anza College,A,A,1,ENGLISH R1B - Reading and Composition,"EWRT 1B - Reading, Writing and Research","EWRT 2 - Critical Reading, Writing and Thinking","EWRT 1BH - Reading, Writing and Research - HONORS","EWRT 2H - Critical Reading, Writing and Thinking - HONORS",,,,
University of California Berkeley,De Anza College,A,A,1,ASTRON 7A - Introduction to Astrophysics,Not Articulated,,,,,,,
University of California Berkeley,De Anza College,A,A,1,ASTRON 7B - Introduction to Astrophysics,Not Articulated,,,,,,,
University of California Berkeley,De Anza College,A,A,1,"BIOLOGY 1A - General Biology Lecture (Cells, Genetics, Animal Form & Function) & BIOLOGY 1AL - General Biology Laboratory",BIOL 6A - Form and Function in the Biological World & BIOL 6B - Cell and Molecular Biology,BIOL 6AH - Form and Function in the Biological World - HONORS & BIOL 6B - Cell and Molecular Biology,,,,,,
University of California Berkeley,De Anza College,A,A,1,"BIOLOGY 1B - General Biology (Plant Form & Function, Ecology, Evolution)",BIOL 6A - Form and Function in the Biological World & BIOL 6C - Ecology and Evolution,BIOL 6AH - Form and Function in the Biological World - HONORS & BIOL 6C - Ecology and Evolution,BIOL 6A - Form and Function in the Biological World & BIOL 6CH - Ecology and Evolution - HONORS,BIOL 6AH - Form and Function in the Biological World - HONORS & BIOL 6CH - Ecology and Evolution - HONORS,,,,
University of California Berkeley,De Anza College,A,A,1,CHEM 1A - General Chemistry & CHEM 1AL - General Chemistry Laboratory & CHEM 1B - General Chemistry,CHEM 1A - General Chemistry I & CHEM 1B - General Chemistry II & CHEM 1C - General Chemistry III,CHEM 1AH - General Chemistry I - HONORS & CHEM 1BH - General Chemistry II - HONORS & CHEM 1CH - General Chemistry III - HONORS,,,,,,
University of California Berkeley,De Anza College,A,A,1,CHEM 3A - Chemical Structure and Reactivity & CHEM 3AL - Organic Chemistry Laboratory,CHEM 12A - Organic Chemistry I & CHEM 12B - Organic Chemistry II,,,,,,,
University of California Berkeley,De Anza College,A,A,1,CHEM 3B - Chemical Structure and Reactivity & CHEM 3BL - Organic Chemistry Laboratory,CHEM 12B - Organic Chemistry II & CHEM 12C - Organic Chemistry III,,,,,,,
University of California Berkeley,De Anza College,A,A,1,MCELLBI 32 - Introduction to Human Physiology & MCELLBI 32L - Introduction to Human Physiology Laboratory,BIOL 40A - Human Anatomy and Physiology & BIOL 40B - Human Anatomy and Physiology & BIOL 40C - Human Anatomy and Physiology,,,,,,,
University of California Berkeley,De Anza College,A,A,1,PHYSICS 7C - Physics for Scientists and Engineers,"PHYS 4C - Physics for Scientists and Engineers: Fluids, Waves, Optics and Thermodynamics & PHYS 4D - Physics for Scientists and Engineers: Modern Physics",,,,,,,
University of California Berkeley,De Anza College,A,A,1,COMPSCI 61A - The Structure and Interpretation of Computer Programs,Not Articulated,,,,,,,
University of California Berkeley,De Anza College,A,A,1,COMPSCI 61B - Data Structures,CIS 22C - Data Abstraction and Structures,CIS 22CH - Data Abstraction and Structures - HONORS,CIS 26B - Advanced C Programming,,,,,
University of California Berkeley,De Anza College,A,A,1,COMPSCI 61C - Machine Structures,Not Articulated,,,,,,,
University of California Berkeley,De Anza College,A,A,1,COMPSCI 70 - Discrete Mathematics and Probability Theory,Not Articulated,,,,,,,
University of California Berkeley,De Anza College,A,A,1,EECS 16A - Designing Information Devices and Systems I,ENGR 37 - Introduction to Circuit Analysis & MATH 2A - Differential Equations & MATH 2B - Linear Algebra,ENGR 37 - Introduction to Circuit Analysis & MATH 2AH - Differential Equations - HONORS & MATH 2BH - Linear Algebra - HONORS,,,,,,
University of California Berkeley,De Anza College,A,A,1,EECS 16B - Designing Information Devices and Systems II,Not Articulated,,,,,,,
University of California Davis,De Anza College,A,A,1,ECS 020 - Discrete Mathematics For Computer Science,MATH 22 - Discrete Mathematics,MATH 22H - Discrete Mathematics - HONORS,,,,,,
University of California Davis,De Anza College,A,A,1,ECS 036A - Programming & Problem Solving,CIS 22A - Beginning Programming Methodologies in C++,CIS 22B - Intermediate Programming Methodologies in C++,CIS 22BH - Intermediate Programming Methodologies in C++ - HONORS,CIS 26A - C as a Second Programming Language,CIS 26B - Advanced C Programming,CIS 27 - Programming in C++ for C/Java Programmers,CIS 35A - Java Programming,CIS 36A - Introduction to Computer Programming Using Java
University of California Davis,De Anza College,A,A,1,ECS 036B - Software Development & Object-Oriented Programming in C++,CIS 22B - Intermediate Programming Methodologies in C++,CIS 22BH - Intermediate Programming Methodologies in C++ - HONORS,CIS 29 - Advanced C++ Programming,CIS 35A - Java Programming,CIS 36B - Intermediate Problem Solving in Java,,,
University of California Davis,De Anza College,A,A,1,"ECS 036C - Data Structures, Algorithms, & Programming",CIS 22C - Data Abstraction and Structures,CIS 22CH - Data Abstraction and Structures - HONORS,,,,,,
University of California Davis,De Anza College,A,A,1,ECS 050 - Computer Organization & Machine-Dependent Programming,CIS 21JA - Introduction to x86 Processor Assembly Language and Computer Architecture,,,,,,,
University of California Davis,De Anza College,A,A,1,MAT 021A - Calculus,MATH 1A - Calculus I,MATH 1AH - Calculus I - HONORS,,,,,,
University of California Davis,De Anza College,A,A,1,MAT 021B - Calculus,MATH 1B - Calculus II,MATH 1BH - Calculus II - HONORS,,,,,,
University of California Davis,De Anza College,A,A,1,MAT 021C - Calculus,MATH 1C - Calculus III,MATH 1CH - Calculus III - HONORS,,,,,,
University of California Davis,De Anza College,A,A,1,MAT 022A - Linear Algebra,MATH 2B - Linear Algebra,MATH 2BH - Linear Algebra - HONORS,,,,,,
University of California Davis,De Anza College,A,A,1,MAT 027A - Linear Algebra with Applications to Biology,Not Articulated,,,,,,,
University of California Davis,De Anza College,A,A,1,MAT 067 - Modern Linear Algebra,Not Articulated,,,,,,,
University of California Davis,De Anza College,A,A,1,BIS 002A - Introduction to Biology: Essentials of Life on Earth,BIOL 6B - Cell and Molecular Biology,,,,,,,
University of California Davis,De Anza College,A,A,1,BIS 002B - Introduction to Biology: Principles of Ecology & Evolution,BIOL 6C - Ecology and Evolution,BIOL 6CH - Ecology and Evolution - HONORS,,,,,,
University of California Davis,De Anza College,A,A,1,BIS 002C - Introduction to Biology: Biodiversity & the Tree of Life,BIOL 6A - Form and Function in the Biological World,BIOL 6AH - Form and Function in the Biological World - HONORS,,,,,,
University of California Davis,De Anza College,A,A,1,CHE 002A - General Chemistry & CHE 002B - General Chemistry,CHEM 1A - General Chemistry I & CHEM 1B - General Chemistry II,CHEM 1A - General Chemistry I & CHEM 1BH - General Chemistry II - HONORS,CHEM 1AH - General Chemistry I - HONORS & CHEM 1B - General Chemistry II,CHEM 1AH - General Chemistry I - HONORS & CHEM 1BH - General Chemistry II - HONORS,,,,
University of California Davis,De Anza College,A,A,1,CHE 002C - General Chemistry,CHEM 1C - General Chemistry III,CHEM 1CH - General Chemistry III - HONORS,,,,,,
University of California Davis,De Anza College,A,A,1,CHE 004A - General Chemistry for the Physical Sciences & Engineering,CHEM 1AH - General Chemistry I - HONORS,,,,,,,
University of California Davis,De Anza College,A,A,1,CHE 004B - General Chemistry for the Physical Sciences & Engineering,CHEM 1BH - General Chemistry II - HONORS,,,,,,,
University of California Davis,De Anza College,A,A,1,CHE 004C - General Chemistry for the Physical Sciences & Engineering,CHEM 1CH - General Chemistry III - HONORS,,,,,,,
University of California Davis,De Anza College,A,A,1,PHY 009A - Classical Physics,PHYS 4A - Physics for Scientists and Engineers: Mechanics,,,,,,,
University of California Davis,De Anza College,A,A,1,PHY 009B - Classical Physics,"PHYS 4C - Physics for Scientists and Engineers: Fluids, Waves, Optics and Thermodynamics",,,,,,,
University of California Davis,De Anza College,A,A,1,PHY 009C - Classical Physics,PHYS 4B - Physics for Scientists and Engineers: Electricity and Magnetism,,,,,,,
University of California Irvine,De Anza College,A,A,1,I&C SCI 31 - Introduction to Programming & I&C SCI 32 - Programming with Software Libraries & I&C SCI 33 - Intermediate Programming,CIS 40 - Introduction to Programming in Python & CIS 41A - Python Programming & CIS 41B - Advanced Python Programming,,,,,,,
University of California Irvine,De Anza College,A,A,1,MATH 2A - Single-Variable Calculus,MATH 1A - Calculus I,MATH 1AH - Calculus I - HONORS,,,,,,
University of California Irvine,De Anza College,A,A,1,MATH 2B - Single-Variable Calculus,MATH 1B - Calculus II,MATH 1BH - Calculus II - HONORS,,,,,,
University of California Irvine,De Anza College,A,A,1,MATH 3A - Introduction to Linear Algebra,MATH 2B - Linear Algebra,MATH 2BH - Linear Algebra - HONORS,,,,,,
University of California Irvine,De Anza College,A,A,1,I&C SCI 6N - Computational Linear Algebra,Not Articulated,,,,,,,
University of California Irvine,De Anza College,A,A,1,I&C SCI 6B - Boolean Logic and Discrete Structures,MATH 22 - Discrete Mathematics & MATH 22H - Discrete Mathematics - HONORS,,,,,,,
University of California Irvine,De Anza College,A,A,1,I&C SCI 6D - Discrete Mathematics for Computer Science,MATH 22 - Discrete Mathematics & MATH 22H - Discrete Mathematics - HONORS,,,,,,,
University of California Irvine,De Anza College,A,A,1,I&C SCI 45C - Programming in C/C++ as a Second Language,CIS 22A - Beginning Programming Methodologies in C++ & CIS 22B - Intermediate Programming Methodologies in C++,CIS 29 - Advanced C++ Programming,,,,,,
University of California Irvine,De Anza College,A,A,1,I&C SCI 46 - Data Structure Implementation and Analysis,CIS 22A - Beginning Programming Methodologies in C++ & CIS 22B - Intermediate Programming Methodologies in C++ & CIS 22C - Data Abstraction and Structures,,,,,,,
University of California Irvine,De Anza College,A,A,1,I&C SCI 51 - Introductory Computer Organization,Not Articulated,,,,,,,
University of California Irvine,De Anza College,A,A,1,I&C SCI 53 - Principles in System Design,Not Articulated,,,,,,,
University of California Irvine,De Anza College,A,A,1,IN4MATX 43 - Introduction to Software Engineering,Not Articulated,,,,,,,
University of California Irvine,De Anza College,A,A,1,STATS 67 - Introduction to Probability and Statistics for Computer Science,MATH 23 - Engineering Statistics,,,,,,,
University of California Los Angeles,De Anza College,A,A,1,COM SCI 31 - Introduction to Computer Science I,CIS 22A - Beginning Programming Methodologies in C++,CIS 22BH - Intermediate Programming Methodologies in C++ - HONORS,CIS 27 - Programming in C++ for C/Java Programmers,CIS 22B - Intermediate Programming Methodologies in C++,CIS 29 - Advanced C++ Programming,,,
University of California Los Angeles,De Anza College,A,A,1,COM SCI 32 - Introduction to Computer Science II,CIS 22C - Data Abstraction and Structures,CIS 22CH - Data Abstraction and Structures - HONORS,,,,,,
University of California Los Angeles,De Anza College,A,A,1,COM SCI 33 - Introduction to Computer Organization,CIS 21JA - Introduction to x86 Processor Assembly Language and Computer Architecture,,,,,,,
University of California Los Angeles,De Anza College,A,A,1,COM SCI 35L - Software Construction Laboratory,Not Articulated,,,,,,,
University of California Los Angeles,De Anza College,A,A,1,COM SCI M51A - Logic Design of Digital Systems,Not Articulated,,,,,,,
University of California Los Angeles,De Anza College,A,A,1,EC ENGR M16 - Logic Design of Digital Systems,Not Articulated,,,,,,,
University of California Los Angeles,De Anza College,A,A,1,MATH 31A - Differential and Integral Calculus,MATH 1A - Calculus I,,,,,,,
University of California Los Angeles,De Anza College,A,A,1,MATH 31B - Integration and Infinite Series,MATH 1B - Calculus II & MATH 1C - Calculus III,MATH 1B - Calculus II & MATH 1CH - Calculus III - HONORS,MATH 1BH - Calculus II - HONORS & MATH 1C - Calculus III,MATH 1BH - Calculus II - HONORS & MATH 1CH - Calculus III - HONORS,,,,
University of California Los Angeles,De Anza College,A,A,1,MATH 32A - Calculus of Several Variables,MATH 1C - Calculus III,,,,,,,
University of California Los Angeles,De Anza College,A,A,1,MATH 32B - Calculus of Several Variables,MATH 1D - Calculus IV,,,,,,,
University of California Los Angeles,De Anza College,A,A,1,MATH 33A - Linear Algebra and Applications,MATH 2B - Linear Algebra,,,,,,,
University of California Los Angeles,De Anza College,A,A,1,MATH 33B - Differential Equations,MATH 2A - Differential Equations,,,,,,,
University of California Los Angeles,De Anza College,A,A,1,MATH 61 - Introduction to Discrete Structures,MATH 22 - Discrete Mathematics,,,,,,,
University of California Los Angeles,De Anza College,A,A,1,"PHYSICS 1A - Physics for Scientists and Engineers: Mechanics & PHYSICS 1B - Physics for Scientists and Engineers: Oscillations, Waves, Electric and Magnetic Fields & PHYSICS 1C - Physics for Scientists and Engineers: Electrodynamics, Optics, and Special Relativity","PHYS 4A - Physics for Scientists and Engineers: Mechanics & PHYS 4B - Physics for Scientists and Engineers: Electricity and Magnetism & PHYS 4C - Physics for Scientists and Engineers: Fluids, Waves, Optics and Thermodynamics",,,,,,,
University of California Los Angeles,De Anza College,A,A,1,PHYSICS 4AL - Physics Laboratory for Scientists and Engineers: Mechanics,Not Articulated,,,,,,,
University of California Los Angeles,De Anza College,A,A,1,PHYSICS 4BL - Physics Laboratory for Scientists and Engineers: Electricity and Magnetism,Not Articulated,,,,,,,
University of California Los Angeles,De Anza College,A,A,1,"ENGCOMP 3 - English Composition, Rhetoric, and Language",EWRT 1A - Composition and Reading,EWRT 1AH - Composition and Reading - HONORS,,,,,,
University of California Los Angeles,De Anza College,A,A,1,,COMM 9 - Argumentation: Analysis of Oral and Written Communication,"EWRT 1B - Reading, Writing and Research","EWRT 1BH - Reading, Writing and Research - HONORS",EWRT 1C - Literature and Composition,"EWRT 2 - Critical Reading, Writing and Thinking",PHIL 3 - Critical Thinking and Writing,,
University of California Los Angeles,De Anza College,A,A,1,,CIS 27 - Programming in C++ for C/Java Programmers,CIS 29 - Advanced C++ Programming,CIS 22A - Beginning Programming Methodologies in C++,CIS 22B - Intermediate Programming Methodologies in C++,CIS 22BH - Intermediate Programming Methodologies in C++ - HONORS,,,
University of California Merced,De Anza College,A,A,1,CSE 022 - Introduction to Programming,CIS 22A - Beginning Programming Methodologies in C++ & CIS 22B - Intermediate Programming Methodologies in C++,CIS 22A - Beginning Programming Methodologies in C++ & CIS 22BH - Intermediate Programming Methodologies in C++ - HONORS,CIS 36A - Introduction to Computer Programming Using Java & CIS 36B - Intermediate Problem Solving in Java,CIS 26A - C as a Second Programming Language,CIS 27 - Programming in C++ for C/Java Programmers,CIS 41A - Python Programming,,
University of California Merced,De Anza College,A,A,1,CSE 030 - Data Structures,CIS 22C - Data Abstraction and Structures,,,,,,,
University of California Merced,De Anza College,A,A,1,MATH 021 - Calculus I for Physical Sciences & Engineering,MATH 1A - Calculus I & MATH 1B - Calculus II,MATH 1AH - Calculus I - HONORS & MATH 1BH - Calculus II - HONORS,,,,,,
University of California Merced,De Anza College,A,A,1,MATH 022 - Calculus II for Physical Sciences & Engineering,MATH 1B - Calculus II & MATH 1C - Calculus III,MATH 1BH - Calculus II - HONORS & MATH 1CH - Calculus III - HONORS,,,,,,
University of California Merced,De Anza College,A,A,1,MATH 023 - Vector Calculus,MATH 1C - Calculus III & MATH 1D - Calculus IV,MATH 1CH - Calculus III - HONORS & MATH 1DH - Calculus IV - HONORS,,,,,,
University of California Merced,De Anza College,A,A,1,MATH 024 - Linear Algebra and Differential Equations,MATH 2A - Differential Equations & MATH 2B - Linear Algebra,,,,,,,
University of California Merced,De Anza College,A,A,1,PHYS 008 - Introductory Physics I for Physical Sciences & PHYS 008L - Introductory Physics I for Physical Sciences Lab,PHYS 4A - Physics for Scientists and Engineers: Mechanics,,,,,,,
University of California Merced,De Anza College,A,A,1,PHYS 009 - Introductory Physics II for Physical Sciences & PHYS 009L - Introductory Physics II for Physical Sciences Lab,"PHYS 4B - Physics for Scientists and Engineers: Electricity and Magnetism & PHYS 4C - Physics for Scientists and Engineers: Fluids, Waves, Optics and Thermodynamics",,,,,,,
University of California Merced,De Anza College,A,A,1,CSE 015 - Discrete Mathematics,MATH 22 - Discrete Mathematics,MATH 22H - Discrete Mathematics - HONORS,,,,,,
University of California Merced,De Anza College,A,A,1,CSE 022 - Introduction to Programming,CIS 22A - Beginning Programming Methodologies in C++ & CIS 22B - Intermediate Programming Methodologies in C++,CIS 22A - Beginning Programming Methodologies in C++ & CIS 22BH - Intermediate Programming Methodologies in C++ - HONORS,CIS 36A - Introduction to Computer Programming Using Java & CIS 36B - Intermediate Problem Solving in Java,CIS 26A - C as a Second Programming Language,CIS 27 - Programming in C++ for C/Java Programmers,CIS 41A - Python Programming,,
University of California Merced,De Anza College,A,A,1,CSE 024 - Advanced Programming,CIS 26B - Advanced C Programming,CIS 26BH - Advanced C Programming - HONORS,,,,,,
University of California Merced,De Anza College,A,A,1,CSE 030 - Data Structures,CIS 22C - Data Abstraction and Structures,,,,,,,
