UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5
University of California Berkeley,Foothill College,MATH 1A,MATH 1A,MATH 1AH,,,
University of California Berkeley,Foothill College,MATH 1B,MATH 1B; MATH 1C,,,,
University of California Berkeley,Foothill College,MATH 53,MATH 1C; MATH 1D,,,,
University of California Berkeley,Foothill College,MATH 54,MATH 2A; MATH 2B,,,,
University of California Berkeley,Foothill College,PHYSICS 7A,PHYS 4A,,,,
University of California Berkeley,Foothill College,PHYSICS 7B,PHYS 4B; PHYS 4C,,,,
University of California Berkeley,Foothill College,ENGLISH R1A,ENGL 1A; ENGL 1B,ENGL 1AH; ENGL 1BH,ESLL 26; ENGL 1B,ESLL 26; ENGL 1BH,
University of California Berkeley,Foothill College,ENGLISH R1B,ENGL 1B; ENGL 1C,ENGL 1BH; ENGL 1CH,,,
University of California Berkeley,Foothill College,ASTRON 7A,Not Articulated,,,,
University of California Berkeley,Foothill College,ASTRON 7B,Not Articulated,,,,
University of California Berkeley,Foothill College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 1A; BIOL 1B,,,,
University of California Berkeley,Foothill College,BIOLOGY 1B,BIOL 1B; BIOL 1C,,,,
University of California Berkeley,Foothill College,CHEM 1A; CHEM 1AL,CHEM 1A; CHEM 1B,,,,
University of California Berkeley,Foothill College,CHEM 1B,CHEM 1B; CHEM 1C,,,,
University of California Berkeley,Foothill College,CHEM 3A; CHEM 3AL,CHEM 12A; CHEM 12AL; CHEM 12B; CHEM 12BL,,,,
University of California Berkeley,Foothill College,CHEM 3B; CHEM 3BL,CHEM 12B; CHEM 12BL; CHEM 12C; CHEM 12CL,,,,
University of California Berkeley,Foothill College,MCELLBI 32; MCELLBI 32L,BIOL 40A; BIOL 40B; BIOL 40C,,,,
University of California Berkeley,Foothill College,PHYSICS 7C,PHYS 4C; PHYS 4D,,,,
University of California Berkeley,Foothill College,COMPSCI 61A,Not Articulated,,,,
University of California Berkeley,Foothill College,COMPSCI 61B,C S 1B,C S 1C,C S 2C,,
University of California Berkeley,Foothill College,COMPSCI 61C,Not Articulated,,,,
University of California Berkeley,Foothill College,COMPSCI 70,Not Articulated,,,,
University of California Berkeley,Foothill College,EECS 16A,Not Articulated,,,,
University of California Berkeley,Foothill College,EECS 16B,Not Articulated,,,,
University of California Davis,Foothill College,ECS 020,C S 18,MATH 22,,,
University of California Davis,Foothill College,ECS 036A,C S 1A,C S 2A,,,
University of California Davis,Foothill College,ECS 036B,C S 1B,C S 2B,,,
University of California Davis,Foothill College,ECS 036C,C S 1C,C S 2C,,,
University of California Davis,Foothill College,ECS 050,C S 10,,,,
University of California Davis,Foothill College,MAT 021A,MATH 1AH; MATH 1AHP,MATH 1A,,,
University of California Davis,Foothill College,MAT 021B,MATH 1B,,,,
University of California Davis,Foothill College,MAT 021C,MATH 1C,,,,
University of California Davis,Foothill College,MAT 022A,MATH 2B,,,,
University of California Davis,Foothill College,MAT 027A,Not Articulated,,,,
University of California Davis,Foothill College,MAT 067,Not Articulated,,,,
University of California Davis,Foothill College,BIS 002A,BIOL 1A,,,,
University of California Davis,Foothill College,BIS 002B,BIOL 1B; BIOL 1C,,,,
University of California Davis,Foothill College,BIS 002C,BIOL 1B; BIOL 1C,,,,
University of California Davis,Foothill College,CHE 002A; CHE 002B; CHE 002C,CHEM 1A; CHEM 1B; CHEM 1C,,,,
University of California Davis,Foothill College,CHE 004A,Not Articulated,,,,
University of California Davis,Foothill College,CHE 004B,Not Articulated,,,,
University of California Davis,Foothill College,CHE 004C,Not Articulated,,,,
University of California Davis,Foothill College,PHY 009A,PHYS 4A,,,,
University of California Davis,Foothill College,PHY 009B,PHYS 4C,,,,
University of California Davis,Foothill College,PHY 009C,PHYS 4B,,,,
University of California Irvine,Foothill College,I&C SCI 31; I&C SCI 32; I&C SCI 33,C S 3A; C S 3B; C S 3C,C S 2A; C S 2B,,,
University of California Irvine,Foothill College,MATH 2A,MATH 1A,MATH 1AH,,,
University of California Irvine,Foothill College,MATH 2B,MATH 1B,MATH 1BH,,,
