UC Campus,CC,Requirement group ID,Set ID,Num required from set,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3
University of California Berkeley,Grossmont College,A,A,1,MATH 1A - Calculus,MATH 180 - Analytic Geometry and Calculus I,,
University of California Berkeley,Grossmont College,A,A,1,MATH 1B - Calculus,MATH 280 - Analytic Geometry and Calculus II,,
University of California Berkeley,Grossmont College,A,A,1,MATH 53 - Multivariable Calculus,MATH 281 - Mulitvariable Calculus,,
University of California Berkeley,Grossmont College,A,A,1,MATH 54 - Linear Algebra and Differential Equations,MATH 284 - Linear Algebra & MATH 285 - Differential Equations,,
University of California Berkeley,Grossmont College,A,A,1,ENGLISH R1A - Reading and Composition,ENGL 120 - College Composition and Reading,ESL 122 - College Rhetoric,
University of California Berkeley,Grossmont College,A,A,1,ENGLISH R1B - Reading and Composition,ENGL 122 - Introduction to Literature,ENGL 124 - Advanced Composition: Critical Reasoning and Writing,
University of California Berkeley,Grossmont College,A,A,1,PHYSICS 7A - Physics for Scientists and Engineers,Not Articulated,,
University of California Berkeley,Grossmont College,A,A,1,,PHYC 201 - Mechanics and Waves,,
University of California Berkeley,Grossmont College,A,A,1,PHYSICS 7B - Physics for Scientists and Engineers,Not Articulated,,
University of California Berkeley,Grossmont College,A,A,1,,"PHYC 202 - Electricity, Magnetism, and Heat",,
University of California Berkeley,Grossmont College,A,A,1,ASTRON 7A - Introduction to Astrophysics,Not Articulated,,
University of California Berkeley,Grossmont College,A,A,1,ASTRON 7B - Introduction to Astrophysics,Not Articulated,,
University of California Berkeley,Grossmont College,A,A,1,"BIOLOGY 1A - General Biology Lecture (Cells, Genetics, Animal Form & Function) & BIOLOGY 1AL - General Biology Laboratory","BIO 230 - Principles of Cellular, Molecular and Evolutionary Biology & BIO 240 - Principles of Ecology, Evolution and Organismal Biology",,
University of California Berkeley,Grossmont College,A,A,1,"BIOLOGY 1B - General Biology (Plant Form & Function, Ecology, Evolution)","BIO 230 - Principles of Cellular, Molecular and Evolutionary Biology & BIO 240 - Principles of Ecology, Evolution and Organismal Biology",,
University of California Berkeley,Grossmont College,A,A,1,CHEM 1A - General Chemistry & CHEM 1AL - General Chemistry Laboratory,CHEM 141 - General Chemistry I,,
University of California Berkeley,Grossmont College,A,A,1,CHEM 1B - General Chemistry,CHEM 142 - General Chemistry II,,
University of California Berkeley,Grossmont College,A,A,1,CHEM 3A - Chemical Structure and Reactivity & CHEM 3AL - Organic Chemistry Laboratory,CHEM 241 - Organic Chemistry I Lecture & CHEM 241L - Organic Chemistry I Laboratory,CHEM 231 - Organic Chemistry I,
University of California Berkeley,Grossmont College,A,A,1,CHEM 3B - Chemical Structure and Reactivity & CHEM 3BL - Organic Chemistry Laboratory,CHEM 242 - Organic Chemistry II Lecture & CHEM 242L - Organic Chemistry II Laboratory,CHEM 232 - Organic Chemistry II,
University of California Berkeley,Grossmont College,A,A,1,MCELLBI 32 - Introduction to Human Physiology & MCELLBI 32L - Introduction to Human Physiology Laboratory,BIO 141 - Human Physiology,,
University of California Berkeley,Grossmont College,A,A,1,PHYSICS 7C - Physics for Scientists and Engineers,Not Articulated,,
University of California Berkeley,Grossmont College,A,A,1,,"PHYC 203 - Light, Optics, and Modern Physics",,
University of California Berkeley,Grossmont College,A,A,1,COMPSCI 61A - The Structure and Interpretation of Computer Programs,Not Articulated,,
University of California Berkeley,Grossmont College,A,A,1,COMPSCI 61B - Data Structures,Not Articulated,,
University of California Berkeley,Grossmont College,A,A,1,COMPSCI 61C - Machine Structures,Not Articulated,,
University of California Berkeley,Grossmont College,A,A,1,COMPSCI 70 - Discrete Mathematics and Probability Theory,Not Articulated,,
University of California Berkeley,Grossmont College,A,A,1,EECS 16A - Designing Information Devices and Systems I,Not Articulated,,
University of California Berkeley,Grossmont College,A,A,1,EECS 16B - Designing Information Devices and Systems II,Not Articulated,,
University of California Davis,Grossmont College,A,A,1,ECS 020 - Discrete Mathematics For Computer Science,CSIS 240 - Discrete Structures,MATH 245 - Discrete Math,
University of California Davis,Grossmont College,A,A,1,ECS 036A - Programming & Problem Solving,CSIS 296 - Introduction to C++ Programming,,
University of California Davis,Grossmont College,A,A,1,ECS 036B - Software Development & Object-Oriented Programming in C++,CSIS 294 - Intermediate Java Programming and Fundamental Data Structures,CSIS 297 - Intermediate C++ Programming,
University of California Davis,Grossmont College,A,A,1,"ECS 036C - Data Structures, Algorithms, & Programming",Not Articulated,,
University of California Davis,Grossmont College,A,A,1,ECS 050 - Computer Organization & Machine-Dependent Programming,CSIS 165 - Assembly Language and Machine Architecture,,
University of California Davis,Grossmont College,A,A,1,MAT 021A - Calculus,MATH 180 - Analytic Geometry and Calculus I,,
University of California Davis,Grossmont College,A,A,1,MAT 021B - Calculus,MATH 280 - Analytic Geometry and Calculus II,,
University of California Davis,Grossmont College,A,A,1,MAT 021C - Calculus,MATH 281 - Mulitvariable Calculus,,
University of California Davis,Grossmont College,A,A,1,MAT 022A - Linear Algebra,MATH 284 - Linear Algebra,,
University of California Davis,Grossmont College,A,A,1,MAT 027A - Linear Algebra with Applications to Biology,Not Articulated,,
University of California Davis,Grossmont College,A,A,1,MAT 067 - Modern Linear Algebra,Not Articulated,,
University of California Davis,Grossmont College,A,A,1,BIS 002A - Introduction to Biology: Essentials of Life on Earth,"BIO 230 - Principles of Cellular, Molecular and Evolutionary Biology",,
University of California Davis,Grossmont College,A,A,1,BIS 002B - Introduction to Biology: Principles of Ecology & Evolution,"BIO 240 - Principles of Ecology, Evolution and Organismal Biology",,
University of California Davis,Grossmont College,A,A,1,BIS 002C - Introduction to Biology: Biodiversity & the Tree of Life,"BIO 240 - Principles of Ecology, Evolution and Organismal Biology",,
University of California Davis,Grossmont College,A,A,1,CHE 002A - General Chemistry & CHE 002B - General Chemistry & CHE 002C - General Chemistry,CHEM 141 - General Chemistry I & CHEM 142 - General Chemistry II,,
University of California Davis,Grossmont College,A,A,1,CHE 004A - General Chemistry for the Physical Sciences & Engineering,Not Articulated,,
University of California Davis,Grossmont College,A,A,1,CHE 004B - General Chemistry for the Physical Sciences & Engineering,Not Articulated,,
University of California Davis,Grossmont College,A,A,1,CHE 004C - General Chemistry for the Physical Sciences & Engineering,Not Articulated,,
University of California Davis,Grossmont College,A,A,1,PHY 009A - Classical Physics & PHY 009B - Classical Physics & PHY 009C - Classical Physics,"PHYC 201 - Mechanics and Waves & PHYC 202 - Electricity, Magnetism, and Heat & PHYC 203 - Light, Optics, and Modern Physics",,
University of California Irvine,Grossmont College,A,A,1,I&C SCI 31 - Introduction to Programming & I&C SCI 32 - Programming with Software Libraries & I&C SCI 33 - Intermediate Programming,CSIS 293 - Introduction to Java Programming & CSIS 294 - Intermediate Java Programming and Fundamental Data Structures,,
University of California Irvine,Grossmont College,A,A,1,MATH 2A - Single-Variable Calculus,"MATH 178 - Calculus for Business, Social and Behavioral Sciences & MATH 180 - Analytic Geometry and Calculus I",,
University of California Irvine,Grossmont College,A,A,1,MATH 2B - Single-Variable Calculus,MATH 280 - Analytic Geometry and Calculus II,,
University of California Irvine,Grossmont College,A,A,1,MATH 3A - Introduction to Linear Algebra,MATH 284 - Linear Algebra,,
University of California Irvine,Grossmont College,A,A,1,I&C SCI 6N - Computational Linear Algebra,Not Articulated,,
University of California Irvine,Grossmont College,A,A,1,I&C SCI 6B - Boolean Logic and Discrete Structures,CSIS 240 - Discrete Structures,,
University of California Irvine,Grossmont College,A,A,1,I&C SCI 6D - Discrete Mathematics for Computer Science,MATH 160 - Elementary Statistics & MATH 245 - Discrete Math,CSIS 240 - Discrete Structures,
University of California Irvine,Grossmont College,A,A,1,I&C SCI 45C - Programming in C/C++ as a Second Language,CSIS 296 - Introduction to C++ Programming & CSIS 297 - Intermediate C++ Programming,,
University of California Irvine,Grossmont College,A,A,1,I&C SCI 46 - Data Structure Implementation and Analysis,Not Articulated,,
University of California Irvine,Grossmont College,A,A,1,I&C SCI 51 - Introductory Computer Organization,Not Articulated,,
University of California Irvine,Grossmont College,A,A,1,I&C SCI 53 - Principles in System Design,Not Articulated,,
University of California Irvine,Grossmont College,A,A,1,IN4MATX 43 - Introduction to Software Engineering,Not Articulated,,
University of California Irvine,Grossmont College,A,A,1,STATS 67 - Introduction to Probability and Statistics for Computer Science,Not Articulated,,
