UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3
University of California Berkeley,Hartnell College,MATH 1A,MAT 3A,,
University of California Berkeley,Hartnell College,MATH 1B,MAT 3B,,
University of California Berkeley,Hartnell College,MATH 53,MAT 3C,,
University of California Berkeley,Hartnell College,MATH 54,MAT 4; MAT 5,,
University of California Berkeley,Hartnell College,PHYSICS 7A,PHY 4A; PHY 4B,,
University of California Berkeley,Hartnell College,PHYSICS 7B,PHY 4B; PHY 4C,,
University of California Berkeley,Hartnell College,ENGLISH R1A,ENG 1A,ENG 1AX,
University of California Berkeley,Hartnell College,ENGLISH R1B,ENG 1B,ENG 2,
University of California Berkeley,Hartnell College,ASTRON 7A,Not Articulated,,
University of California Berkeley,Hartnell College,ASTRON 7B,Not Articulated,,
University of California Berkeley,Hartnell College,BIOLOGY 1A; BIOLOGY 1AL,BIO 1; BIO 2,,
University of California Berkeley,Hartnell College,BIOLOGY 1B,BIO 2; BIO 3,,
University of California Berkeley,Hartnell College,CHEM 1A; CHEM 1AL; CHEM 1B,CHM 1A; CHM 1B,,
University of California Berkeley,Hartnell College,CHEM 3A; CHEM 3AL; CHEM 3B; CHEM 3BL,CHM 12A; CHM 12B,,
University of California Berkeley,Hartnell College,MCELLBI 32; MCELLBI 32L,BIO 6; BIO 6L,,
University of California Berkeley,Hartnell College,PHYSICS 7C,PHY 4C,,
University of California Berkeley,Hartnell College,COMPSCI 61A,Not Articulated,,
University of California Berkeley,Hartnell College,COMPSCI 61B,CSS 2B,,
University of California Berkeley,Hartnell College,COMPSCI 61C,Not Articulated,,
University of California Berkeley,Hartnell College,COMPSCI 70,Not Articulated,,
University of California Berkeley,Hartnell College,EECS 16A,Not Articulated,,
University of California Berkeley,Hartnell College,EECS 16B,Not Articulated,,
University of California Davis,Hartnell College,ECS 020,CSS 7,MAT 7,
University of California Davis,Hartnell College,ECS 036A,Not Articulated,,
University of California Davis,Hartnell College,ECS 036B,CSS 2A,CSS 2B,
University of California Davis,Hartnell College,ECS 036C,Not Articulated,,
University of California Davis,Hartnell College,ECS 050,Not Articulated,,
University of California Davis,Hartnell College,MAT 021A,MAT 3A,,
University of California Davis,Hartnell College,MAT 021B,MAT 3B,,
University of California Davis,Hartnell College,MAT 021C,MAT 3C,,
University of California Davis,Hartnell College,MAT 022A,MAT 4,,
University of California Davis,Hartnell College,MAT 027A,Not Articulated,,
University of California Davis,Hartnell College,MAT 067,Not Articulated,,
University of California Davis,Hartnell College,BIS 002A,BIO 1,,
University of California Davis,Hartnell College,BIS 002B,BIO 2; BIO 3,,
University of California Davis,Hartnell College,BIS 002C,BIO 2; BIO 3,,
University of California Davis,Hartnell College,CHE 002A; CHE 002B; CHE 002C,CHM 1A; CHM 1B,,
University of California Davis,Hartnell College,CHE 004A,Not Articulated,,
University of California Davis,Hartnell College,CHE 004B,Not Articulated,,
University of California Davis,Hartnell College,CHE 004C,Not Articulated,,
University of California Davis,Hartnell College,PHY 009A,PHY 4A,,
University of California Davis,Hartnell College,PHY 009B,PHY 4C,,
University of California Davis,Hartnell College,PHY 009C,PHY 4B,,
University of California Irvine,Hartnell College,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,
University of California Irvine,Hartnell College,MATH 2A,MAT 3A,,
University of California Irvine,Hartnell College,MATH 2B,MAT 3B,,
University of California Irvine,Hartnell College,MATH 3A,MAT 4,,
University of California Irvine,Hartnell College,I&C SCI 6N,Not Articulated,,
University of California Irvine,Hartnell College,I&C SCI 6B,Not Articulated,,
University of California Irvine,Hartnell College,I&C SCI 6D,Not Articulated,,
University of California Irvine,Hartnell College,I&C SCI 45C,Not Articulated,,
University of California Irvine,Hartnell College,I&C SCI 46,Not Articulated,,
University of California Irvine,Hartnell College,I&C SCI 51,Not Articulated,,
University of California Irvine,Hartnell College,I&C SCI 53,Not Articulated,,
University of California Irvine,Hartnell College,IN4MATX 43,Not Articulated,,
University of California Irvine,Hartnell College,STATS 67,Not Articulated,,
University of California Los Angeles,Hartnell College,COM SCI 31,Not Articulated,,
University of California Los Angeles,Hartnell College,COM SCI 32,Not Articulated,,
University of California Los Angeles,Hartnell College,COM SCI 33,CSS 3,,
University of California Los Angeles,Hartnell College,COM SCI 35L,Not Articulated,,
University of California Los Angeles,Hartnell College,COM SCI M51A,Not Articulated,,
University of California Los Angeles,Hartnell College,EC ENGR M16,Not Articulated,,
University of California Los Angeles,Hartnell College,MATH 31A,MAT 3A,,
University of California Los Angeles,Hartnell College,MATH 31B,MAT 3B,,
University of California Los Angeles,Hartnell College,MATH 32A,MAT 3C,,
University of California Los Angeles,Hartnell College,MATH 32B,MAT 3C,,
University of California Los Angeles,Hartnell College,MATH 33A,MAT 4,,
University of California Los Angeles,Hartnell College,MATH 33B,MAT 5,,
University of California Los Angeles,Hartnell College,MATH 61,CSS 7,,
University of California Los Angeles,Hartnell College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHY 4A; PHY 4B; PHY 4C,,
University of California Los Angeles,Hartnell College,PHYSICS 4AL,Not Articulated,,
University of California Los Angeles,Hartnell College,PHYSICS 4BL,Not Articulated,,
University of California Los Angeles,Hartnell College,ENGCOMP 3,ENG 1A,,
University of California Los Angeles,Hartnell College,,ENG 1B,ENG 2,
University of California Los Angeles,Hartnell College,,CSS 2A,,
University of California Merced,Hartnell College,CSE 022,CSS 1,CSS 2A,CSS 4
University of California Merced,Hartnell College,CSE 030,CSS 2B,,
University of California Merced,Hartnell College,MATH 021,MAT 3A,,
University of California Merced,Hartnell College,MATH 022,MAT 3B,,
University of California Merced,Hartnell College,MATH 023,MAT 3C,,
University of California Merced,Hartnell College,MATH 024,MAT 4; MAT 5,,
University of California Merced,Hartnell College,PHYS 008; PHYS 008L,PHY 4A,,
University of California Merced,Hartnell College,PHYS 009; PHYS 009L,PHY 4B,,
University of California Merced,Hartnell College,CSE 015,CSS 7,,
University of California Merced,Hartnell College,CSE 022,CSS 1,CSS 2A,CSS 4
University of California Merced,Hartnell College,CSE 024,Not Articulated,,
University of California Merced,Hartnell College,CSE 030,CSS 2B,,
University of California Merced,Hartnell College,CSE 031,Not Articulated,,
University of California Merced,Hartnell College,ENGR 065,EGN 6,,
University of California Merced,Hartnell College,ENGR 091,Not Articulated,,
University of California Merced,Hartnell College,MATH 032,Not Articulated,,
University of California Merced,Hartnell College,ENGR 080,Not Articulated,,
University of California Merced,Hartnell College,WRI 001,ENG 1A,ENG 1AX,
University of California Merced,Hartnell College,WRI 010,ENG 1B,ENG 2,
University of California Riverside,Hartnell College,CS 10A,CSS 2A,CSS 4,
University of California Riverside,Hartnell College,CS 10B,Not Articulated,,
University of California Riverside,Hartnell College,MATH 9A; MATH 9B; MATH 9C,MAT 3A; MAT 3B,,
University of California Riverside,Hartnell College,PHYS 40A,PHY 4A,,
University of California Riverside,Hartnell College,CS 11,Not Articulated,,
University of California Riverside,Hartnell College,CS 10C,CSS 2B,,
University of California Riverside,Hartnell College,CS 61,Not Articulated,,
University of California Riverside,Hartnell College,MATH 10A,MAT 3C,,
University of California Riverside,Hartnell College,PHYS 40B,PHY 4A; PHY 4C,,
University of California Riverside,Hartnell College,PHYS 40C,PHY 4B,,
University of California Riverside,Hartnell College,EE 20B,Not Articulated,,
University of California Riverside,Hartnell College,MATH 31,MAT 4,,
University of California San Diego,Hartnell College,CSE 8A,Not Articulated,,
University of California San Diego,Hartnell College,CSE 8B,Not Articulated,,
University of California San Diego,Hartnell College,CSE 11,Not Articulated,,
University of California San Diego,Hartnell College,CSE 12,Not Articulated,,
University of California San Diego,Hartnell College,CSE 15L,Not Articulated,,
University of California San Diego,Hartnell College,CSE 20,MAT 7,,
University of California San Diego,Hartnell College,CSE 21,Not Articulated,,
University of California San Diego,Hartnell College,CSE 30,Not Articulated,,
University of California San Diego,Hartnell College,MATH 18,MAT 4,,
University of California San Diego,Hartnell College,MATH 20A,MAT 3A,,
University of California San Diego,Hartnell College,MATH 20B,MAT 3B,,
University of California San Diego,Hartnell College,MATH 20C,MAT 3C,,
University of California San Diego,Hartnell College,BILD 1,BIO 1; BIO 2; BIO 3,,
University of California San Diego,Hartnell College,BILD 2,BIO 1; BIO 2; BIO 3,,
University of California San Diego,Hartnell College,BILD 3,BIO 1; BIO 2; BIO 3,,
University of California San Diego,Hartnell College,CHEM 6A,CHM 1A,,
University of California San Diego,Hartnell College,CHEM 6B,CHM 1A; CHM 1B,,
University of California San Diego,Hartnell College,PHYS 2A,PHY 4A,,
University of California San Diego,Hartnell College,PHYS 2B,PHY 4B,,
University of California San Diego,Hartnell College,PHYS 4A,Not Articulated,,
University of California San Diego,Hartnell College,PHYS 4B,Not Articulated,,
University of California Santa Barbara,Hartnell College,MATH 3A,MAT 3A,,
University of California Santa Barbara,Hartnell College,MATH 3B,MAT 3B,,
University of California Santa Barbara,Hartnell College,MATH 4A,MAT 4,,
University of California Santa Barbara,Hartnell College,MATH 4B,MAT 5,,
University of California Santa Barbara,Hartnell College,CMPSC 16,CSS 2A,,
University of California Santa Barbara,Hartnell College,CMPSC 24,CSS 2B,,
University of California Santa Barbara,Hartnell College,CMPSC 40,CSS 7,MAT 7,
University of California Santa Barbara,Hartnell College,CMPSC 32,Not Articulated,,
University of California Santa Barbara,Hartnell College,CMPSC 64,CSS 3,,
University of California Santa Barbara,Hartnell College,MATH 6A,MAT 3C,,
University of California Santa Barbara,Hartnell College,PHYS 1,PHY 4A,,
University of California Santa Barbara,Hartnell College,PHYS 2,PHY 4A; PHY 4C,,
University of California Santa Barbara,Hartnell College,PHYS 3; PHYS 3L,PHY 4B,,
University of California Santa Barbara,Hartnell College,PHYS 6A; PHYS 6AL; PHYS 6B; PHYS 6BL; PHYS 6C; PHYS 6CL,PHY 2A; PHY 2B,,
University of California Santa Barbara,Hartnell College,PHYS 7A,PHY 4A,,
University of California Santa Barbara,Hartnell College,PHYS 7B,PHY 4A; PHY 4B; PHY 4C,,
University of California Santa Barbara,Hartnell College,PHYS 7C,PHY 4B; PHY 4C,,
University of California Santa Barbara,Hartnell College,PHYS 7D,PHY 4C,,
University of California Santa Barbara,Hartnell College,PHYS 7L,PHY 4A; PHY 4B,,
University of California Santa Barbara,Hartnell College,CHEM 1A; CHEM 1AL; CHEM 1B; CHEM 1BL; CHEM 1C; CHEM 1CL,CHM 1A; CHM 1B,,
University of California Santa Barbara,Hartnell College,MCDB 1A; MCDB 1LL,BIO 1; BIO 2; BIO 3,,
University of California Santa Barbara,Hartnell College,MCDB 1B,BIO 1; BIO 2; BIO 3,,
University of California Santa Barbara,Hartnell College,PSTAT 120A,Not Articulated,,
University of California Santa Cruz,Hartnell College,CSE 12,CSS 3,,
University of California Santa Cruz,Hartnell College,CSE 16,CSS 7,,
University of California Santa Cruz,Hartnell College,CSE 30,CSS 2B; CSS 4,,
University of California Santa Cruz,Hartnell College,MATH 19A,MAT 3A,,
University of California Santa Cruz,Hartnell College,MATH 19B,MAT 3B,,
University of California Santa Cruz,Hartnell College,AM 10,MAT 4,,
University of California Santa Cruz,Hartnell College,MATH 21,MAT 4,,
University of California Santa Cruz,Hartnell College,AM 30,MAT 3C,,
University of California Santa Cruz,Hartnell College,MATH 23A,MAT 3C,,
