UC Campus,CC,Requirement group ID,Set ID,Num required from set,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Berkeley,MiraCosta College,A,A,1,MATH 1A - Calculus,MATH 150 - Calculus and Analytic Geometry I,MATH 150H - Calculus and Analytic Geometry I (Honors),,
University of California Berkeley,MiraCosta College,A,A,1,MATH 1B - Calculus,MATH 155 - Calculus and Analytic Geometry II,,,
University of California Berkeley,MiraCosta College,A,A,1,MATH 53 - Multivariable Calculus,MATH 260 - Calculus and Analytic Geometry III,MATH 260H - Calculus and Analytic Geometry III (Honors),,
University of California Berkeley,MiraCosta College,A,A,1,MATH 54 - Linear Algebra and Differential Equations,MATH 265 - Differential Equations & MATH 270 - Linear Algebra,MATH 265 - Differential Equations & MATH 270H - Linear Algebra (Honors),,
University of California Berkeley,MiraCosta College,A,A,1,PHYSICS 7A - Physics for Scientists and Engineers,PHYS 151 - Principles of Physics I,,,
University of California Berkeley,MiraCosta College,A,A,1,PHYSICS 7B - Physics for Scientists and Engineers,PHYS 152 - Principles of Physics II,,,
University of California Berkeley,MiraCosta College,A,A,1,ENGLISH R1A - Reading and Composition,ENGL 100 - Composition and Reading,ENGL 100H - Composition and Reading (Honors),,
University of California Berkeley,MiraCosta College,A,A,1,ENGLISH R1B - Reading and Composition,"ENGL 201 - Critical Thinking, Composition, and Literature","ENGL 201H - Critical Thinking, Composition, and Literature (Honors)",ENGL 202 - Critical Thinking and Composition,ENGL 202H - Critical and Thinking and Composition (Honors)
University of California Berkeley,MiraCosta College,A,A,1,ASTRON 7A - Introduction to Astrophysics,Not Articulated,,,
University of California Berkeley,MiraCosta College,A,A,1,ASTRON 7B - Introduction to Astrophysics,Not Articulated,,,
University of California Berkeley,MiraCosta College,A,A,1,"BIOLOGY 1A - General Biology Lecture (Cells, Genetics, Animal Form & Function) & BIOLOGY 1AL - General Biology Laboratory & BIOLOGY 1B - General Biology (Plant Form & Function, Ecology, Evolution)","BIO 202 - Foundations of Biology: Evolution, Biodiversity and Organismal Biology & BIO 204 - Foundations of Biology: Biochemistry, Cell Biology, Genetics and Molecular Biology",,,
University of California Berkeley,MiraCosta College,A,A,1,CHEM 1A - General Chemistry & CHEM 1AL - General Chemistry Laboratory & CHEM 1B - General Chemistry,CHEM 150 - General Chemistry I: For Science Majors & CHEM 151 - General Chemistry II: For Science Majors,CHEM 150H - General Chemistry I : For Science Majors (Honors) & CHEM 151H - General Chemistry II : For Science Majors (Honors),,
University of California Berkeley,MiraCosta College,A,A,1,CHEM 3A - Chemical Structure and Reactivity & CHEM 3AL - Organic Chemistry Laboratory,CHEM 210 - Organic Chemistry I: For Science Majors,CHEM 210H - Organic Chemistry I: For Science Majors (Honors),,
University of California Berkeley,MiraCosta College,A,A,1,CHEM 3B - Chemical Structure and Reactivity & CHEM 3BL - Organic Chemistry Laboratory,CHEM 211 - Organic Chemistry II: For Science Majors,CHEM 211H - Organic Chemistry II: For Science Majors (Honors),,
University of California Berkeley,MiraCosta College,A,A,1,MCELLBI 32 - Introduction to Human Physiology & MCELLBI 32L - Introduction to Human Physiology Laboratory,BIO 220 - Human Physiology,,,
University of California Berkeley,MiraCosta College,A,A,1,PHYSICS 7C - Physics for Scientists and Engineers,PHYS 253 - Principles of Physics III,,,
University of California Berkeley,MiraCosta College,A,A,1,COMPSCI 61A - The Structure and Interpretation of Computer Programs,Not Articulated,,,
University of California Berkeley,MiraCosta College,A,A,1,COMPSCI 61B - Data Structures,CS 112 - Introduction to Computer Science II: Java & CS 113 - Basic Data Structures and Algorithms,,,
University of California Berkeley,MiraCosta College,A,A,1,COMPSCI 61C - Machine Structures,Not Articulated,,,
University of California Berkeley,MiraCosta College,A,A,1,COMPSCI 70 - Discrete Mathematics and Probability Theory,Not Articulated,,,
University of California Berkeley,MiraCosta College,A,A,1,EECS 16A - Designing Information Devices and Systems I,Not Articulated,,,
University of California Berkeley,MiraCosta College,A,A,1,EECS 16B - Designing Information Devices and Systems II,Not Articulated,,,
University of California Davis,MiraCosta College,A,A,1,ECS 020 - Discrete Mathematics For Computer Science,CS 226 - Discrete Structures,MATH 226 - Discrete Mathematics,,
University of California Davis,MiraCosta College,A,A,1,ECS 036A - Programming & Problem Solving,CS 111 - Introduction to Computer Science I: Java,CS 150 - C++ Programming,CS 138 - Programming with Python,
University of California Davis,MiraCosta College,A,A,1,ECS 036B - Software Development & Object-Oriented Programming in C++,CS 112 - Introduction to Computer Science II: Java,CS 151 - Advanced C++ Programming,,
University of California Davis,MiraCosta College,A,A,1,"ECS 036C - Data Structures, Algorithms, & Programming",CS 113 - Basic Data Structures and Algorithms,,,
University of California Davis,MiraCosta College,A,A,1,ECS 050 - Computer Organization & Machine-Dependent Programming,CS 220 - Computer Architecture and Assembly Language,,,
University of California Davis,MiraCosta College,A,A,1,MAT 021A - Calculus,MATH 150 - Calculus and Analytic Geometry I,MATH 150H - Calculus and Analytic Geometry I (Honors),,
University of California Davis,MiraCosta College,A,A,1,MAT 021B - Calculus,MATH 155 - Calculus and Analytic Geometry II,,,
University of California Davis,MiraCosta College,A,A,1,MAT 021C - Calculus,MATH 260 - Calculus and Analytic Geometry III,MATH 260H - Calculus and Analytic Geometry III (Honors),,
University of California Davis,MiraCosta College,A,A,1,MAT 022A - Linear Algebra,MATH 270 - Linear Algebra,MATH 270H - Linear Algebra (Honors),,
University of California Davis,MiraCosta College,A,A,1,MAT 027A - Linear Algebra with Applications to Biology,Not Articulated,,,
University of California Davis,MiraCosta College,A,A,1,MAT 067 - Modern Linear Algebra,Not Articulated,,,
University of California Davis,MiraCosta College,A,A,1,BIS 002A - Introduction to Biology: Essentials of Life on Earth,"BIO 204 - Foundations of Biology: Biochemistry, Cell Biology, Genetics and Molecular Biology","BIO 204H - Foundations of Biology: Biochemistry, Cell Biology, Genetics, and Molecular Biology(Honors)",,
