UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6,Courses Group 7
University of California Berkeley,Pasadena City College,MATH 1A,MATH 005A,MATH 005AH,,,,,
University of California Berkeley,Pasadena City College,MATH 1B,MATH 005B; MATH 055,MATH 005BH; MATH 055H,,,,,
University of California Berkeley,Pasadena City College,MATH 53,MATH 005C,MATH 005CH,,,,,
University of California Berkeley,Pasadena City College,MATH 54,MATH 010; MATH 055,MATH 010H; MATH 055H,,,,,
University of California Berkeley,Pasadena City College,PHYSICS 7A,PHYS 008A,,,,,,
University of California Berkeley,Pasadena City College,PHYSICS 7B,PHYS 008B,,,,,,
University of California Berkeley,Pasadena City College,ENGLISH R1A,ENGL 001A,ENGL 001AH,,,,,
University of California Berkeley,Pasadena City College,ENGLISH R1B,ENGL 001B,ENGL 001BH,,,,,
University of California Berkeley,Pasadena City College,ASTRON 7A,Not Articulated,,,,,,
University of California Berkeley,Pasadena City College,ASTRON 7B,Not Articulated,,,,,,
University of California Berkeley,Pasadena City College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 010A; BIOL 010C,,,,,,
University of California Berkeley,Pasadena City College,BIOLOGY 1B,BIOL 010B; BIOL 010C,,,,,,
University of California Berkeley,Pasadena City College,CHEM 1A; CHEM 1AL,CHEM 001A,,,,,,
University of California Berkeley,Pasadena City College,CHEM 1B,CHEM 001B,,,,,,
University of California Berkeley,Pasadena City College,CHEM 3A; CHEM 3AL,CHEM 008A,,,,,,
University of California Berkeley,Pasadena City College,CHEM 3B; CHEM 3BL,CHEM 008B,,,,,,
University of California Berkeley,Pasadena City College,MCELLBI 32; MCELLBI 32L,PYSO 001,,,,,,
University of California Berkeley,Pasadena City College,PHYSICS 7C,PHYS 008C,,,,,,
University of California Berkeley,Pasadena City College,COMPSCI 61A,Not Articulated,,,,,,
University of California Berkeley,Pasadena City College,COMPSCI 61B,CS 003B; CS 033,CS 003C; CS 034,CS 008,,,,
University of California Berkeley,Pasadena City College,COMPSCI 61C,Not Articulated,,,,,,
University of California Berkeley,Pasadena City College,COMPSCI 70,Not Articulated,,,,,,
University of California Berkeley,Pasadena City College,EECS 16A,ENGR 016; ENGR 016L; MATH 010,ENGR 016; ENGR 016L; MATH 010H,,,,,
University of California Berkeley,Pasadena City College,EECS 16B,Not Articulated,,,,,,
University of California Davis,Pasadena City College,ECS 020,CS 045,MATH 022,,,,,
University of California Davis,Pasadena City College,ECS 036A,CS 002,CS 003B,CS 003C,,,,
University of California Davis,Pasadena City College,ECS 036B,CS 003A,,,,,,
University of California Davis,Pasadena City College,ECS 036C,Not Articulated,,,,,,
University of California Davis,Pasadena City College,ECS 050,CS 066,,,,,,
University of California Davis,Pasadena City College,MAT 021A,MATH 005A,MATH 005AH,,,,,
University of California Davis,Pasadena City College,MAT 021B; MAT 021C; MAT 021D,MATH 005B; MATH 005C,MATH 005B; MATH 005CH,MATH 005BH; MATH 005C,MATH 005BH; MATH 005CH,,,
University of California Davis,Pasadena City College,MAT 022A,MATH 010,MATH 010H,,,,,
University of California Davis,Pasadena City College,MAT 027A,Not Articulated,,,,,,
University of California Davis,Pasadena City College,MAT 067,Not Articulated,,,,,,
University of California Davis,Pasadena City College,BIS 002A; BIS 002B; BIS 002C,BIOL 010A; BIOL 010B,,,,,,
University of California Davis,Pasadena City College,CHE 002A; CHE 002B; CHE 002C,CHEM 001A; CHEM 001B,,,,,,
University of California Davis,Pasadena City College,CHE 004A,Not Articulated,,,,,,
University of California Davis,Pasadena City College,CHE 004B,Not Articulated,,,,,,
University of California Davis,Pasadena City College,CHE 004C,Not Articulated,,,,,,
University of California Davis,Pasadena City College,PHY 009A,Not Articulated,,,,,,
University of California Davis,Pasadena City College,PHY 009B,Not Articulated,,,,,,
University of California Davis,Pasadena City College,PHY 009C,Not Articulated,,,,,,
University of California Irvine,Pasadena City College,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 002; CS 003B,CS 002; CS 003C,CS 003B; CS 033,CS 003C; CS 034,,,
University of California Irvine,Pasadena City College,MATH 2A,BUS 014B; MATH 005A; MATH 005AH; MATH 006A,,,,,,
University of California Irvine,Pasadena City College,MATH 2B,MATH 005B,MATH 005BH,,,,,
University of California Irvine,Pasadena City College,MATH 3A,MATH 010,MATH 010H,,,,,
University of California Irvine,Pasadena City College,I&C SCI 6N,Not Articulated,,,,,,
University of California Irvine,Pasadena City College,I&C SCI 6B,Not Articulated,,,,,,
University of California Irvine,Pasadena City College,I&C SCI 6D,MATH 022,,,,,,
University of California Irvine,Pasadena City College,I&C SCI 45C,CS 002; CS 003A,CIS 012; CIS 014,,,,,
University of California Irvine,Pasadena City College,I&C SCI 46,CS 008,,,,,,
University of California Irvine,Pasadena City College,I&C SCI 51,Not Articulated,,,,,,
University of California Irvine,Pasadena City College,I&C SCI 53,Not Articulated,,,,,,
University of California Irvine,Pasadena City College,IN4MATX 43,Not Articulated,,,,,,
University of California Irvine,Pasadena City College,STATS 67,Not Articulated,,,,,,
University of California Los Angeles,Pasadena City College,COM SCI 31,CS 002,CS 003A,CIS 014,,,,
University of California Los Angeles,Pasadena City College,COM SCI 32,CS 008,,,,,,
University of California Los Angeles,Pasadena City College,COM SCI 33,CS 066,,,,,,
University of California Los Angeles,Pasadena City College,COM SCI 35L,Not Articulated,,,,,,
University of California Los Angeles,Pasadena City College,COM SCI M51A,CS 006,,,,,,
University of California Los Angeles,Pasadena City College,EC ENGR M16,CS 006,,,,,,
University of California Los Angeles,Pasadena City College,MATH 31A,MATH 005A,MATH 005AH,,,,,
University of California Los Angeles,Pasadena City College,MATH 31B,MATH 005B,MATH 005BH,,,,,
University of California Los Angeles,Pasadena City College,MATH 32A,MATH 005C,,,,,,
University of California Los Angeles,Pasadena City College,MATH 32B,MATH 005C,,,,,,
University of California Los Angeles,Pasadena City College,MATH 33A,MATH 010,MATH 010H,,,,,
University of California Los Angeles,Pasadena City College,MATH 33B,MATH 055,MATH 055H,,,,,
University of California Los Angeles,Pasadena City College,MATH 61,MATH 022,,,,,,
University of California Los Angeles,Pasadena City College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYS 008A; PHYS 008B; PHYS 008C,,,,,,
University of California Los Angeles,Pasadena City College,PHYSICS 4AL,Not Articulated,,,,,,
University of California Los Angeles,Pasadena City College,PHYSICS 4BL,Not Articulated,,,,,,
University of California Los Angeles,Pasadena City College,ENGCOMP 3,ENGL 001A,ENGL 001AH,,,,,
University of California Los Angeles,Pasadena City College,,ENGL 001B,ENGL 001BH,ENGL 001C,ENGL 001CH,PHIL 025,PHIL 025H,PHSC 002
University of California Los Angeles,Pasadena City College,,CS 002,CS 003A,CIS 014,,,,
University of California Merced,Pasadena City College,CSE 022,CIS 014,CIS 016,CS 002,CS 003C,,,
University of California Merced,Pasadena City College,CSE 030,CS 008,,,,,,
University of California Merced,Pasadena City College,MATH 021,MATH 005A,MATH 005AH,,,,,
University of California Merced,Pasadena City College,MATH 022,MATH 005B,MATH 005BH,,,,,
University of California Merced,Pasadena City College,MATH 023,MATH 005C,MATH 005CH,,,,,
University of California Merced,Pasadena City College,MATH 024,MATH 010; MATH 055,MATH 010; MATH 055H,MATH 010H; MATH 055,MATH 010H; MATH 055H,,,
University of California Merced,Pasadena City College,PHYS 008; PHYS 008L,PHYS 001A; PHYS 001B,PHYS 008A,,,,,
University of California Merced,Pasadena City College,PHYS 009; PHYS 009L,PHYS 001C,PHYS 008B,,,,,
University of California Merced,Pasadena City College,CSE 015,MATH 022,,,,,,
University of California Merced,Pasadena City College,CSE 022,CIS 014,CIS 016,CS 002,CS 003C,,,
University of California Merced,Pasadena City College,CSE 024,CS 003A,,,,,,
University of California Merced,Pasadena City College,CSE 030,CS 008,,,,,,
University of California Merced,Pasadena City College,CSE 031,CS 066,,,,,,
University of California Merced,Pasadena City College,ENGR 065,Not Articulated,,,,,,
University of California Merced,Pasadena City College,ENGR 091,Not Articulated,,,,,,
University of California Merced,Pasadena City College,MATH 032,Not Articulated,,,,,,
University of California Merced,Pasadena City College,ENGR 080,Not Articulated,,,,,,
University of California Merced,Pasadena City College,WRI 001,ENGL 001A,ENGL 001AH,ENGL 001AS,,,,
University of California Merced,Pasadena City College,WRI 010,ENGL 001B,ENGL 001BH,ENGL 001C,ENGL 001CH,PHIL 025,PHIL 025H,PHSC 002
University of California Riverside,Pasadena City College,CS 10A,CS 002,CS 003B,CS 003C,CIS 016,,,
University of California Riverside,Pasadena City College,CS 10B,CIS 014,CS 003A,,,,,
University of California Riverside,Pasadena City College,MATH 9A; MATH 9B; MATH 9C,MATH 005A; MATH 005B,,,,,,
University of California Riverside,Pasadena City College,PHYS 40A,PHYS 001A,PHYS 008A,,,,,
University of California Riverside,Pasadena City College,CS 11,CS 045,MATH 022,,,,,
University of California Riverside,Pasadena City College,CS 10C,CS 008,,,,,,
University of California Riverside,Pasadena City College,CS 61,CS 066,,,,,,
University of California Riverside,Pasadena City College,MATH 10A,MATH 005C,,,,,,
University of California Riverside,Pasadena City College,PHYS 40B,PHYS 008A; PHYS 008B; PHYS 008C,PHYS 001B,,,,,
University of California Riverside,Pasadena City College,PHYS 40C,PHYS 001C,PHYS 008B,,,,,
University of California Riverside,Pasadena City College,EE 20B,Not Articulated,,,,,,
University of California Riverside,Pasadena City College,MATH 31,MATH 010,,,,,,
University of California San Diego,Pasadena City College,CSE 8A,CS 002,CS 003A,CS 003C,,,,
University of California San Diego,Pasadena City College,CSE 8B,CS 003B,,,,,,
University of California San Diego,Pasadena City College,CSE 11,CIS 016,CS 003B,,,,,
University of California San Diego,Pasadena City College,CSE 12,CS 008,,,,,,
University of California San Diego,Pasadena City College,CSE 15L,Not Articulated,,,,,,
University of California San Diego,Pasadena City College,CSE 20,MATH 022,,,,,,
University of California San Diego,Pasadena City College,CSE 21,Not Articulated,,,,,,
University of California San Diego,Pasadena City College,CSE 30,Not Articulated,,,,,,
University of California San Diego,Pasadena City College,MATH 18,MATH 010,MATH 010H,,,,,
University of California San Diego,Pasadena City College,MATH 20A,MATH 005A,MATH 005AH,,,,,
University of California San Diego,Pasadena City College,MATH 20B,MATH 005B,MATH 005BH,,,,,
University of California San Diego,Pasadena City College,MATH 20C,MATH 005C,MATH 005CH,,,,,
University of California San Diego,Pasadena City College,BILD 1,BIOL 010A; BIOL 010B; BIOL 010C,,,,,,
University of California San Diego,Pasadena City College,BILD 2,BIOL 010A; BIOL 010B; BIOL 010C,,,,,,
University of California San Diego,Pasadena City College,BILD 3,BIOL 010A; BIOL 010B; BIOL 010C,,,,,,
University of California San Diego,Pasadena City College,CHEM 6A,CHEM 001A,,,,,,
University of California San Diego,Pasadena City College,CHEM 6B,CHEM 001A; CHEM 001B,,,,,,
University of California San Diego,Pasadena City College,PHYS 2A,PHYS 008A,,,,,,
University of California San Diego,Pasadena City College,PHYS 2B,PHYS 008B,,,,,,
University of California San Diego,Pasadena City College,PHYS 4A,Not Articulated,,,,,,
University of California San Diego,Pasadena City College,PHYS 4B,Not Articulated,,,,,,
University of California Santa Barbara,Pasadena City College,MATH 3A,MATH 005A,MATH 005AH,,,,,
University of California Santa Barbara,Pasadena City College,MATH 3B,MATH 005B,MATH 005BH,,,,,
University of California Santa Barbara,Pasadena City College,MATH 4A,MATH 010,MATH 010H,,,,,
University of California Santa Barbara,Pasadena City College,MATH 4B,MATH 055,MATH 055H,,,,,
University of California Santa Barbara,Pasadena City College,CMPSC 16,CS 002,,,,,,
University of California Santa Barbara,Pasadena City College,CMPSC 24,CS 003A; CS 008,,,,,,
University of California Santa Barbara,Pasadena City College,CMPSC 40,CS 045,MATH 022,,,,,
University of California Santa Barbara,Pasadena City College,CMPSC 32,Not Articulated,,,,,,
University of California Santa Barbara,Pasadena City College,CMPSC 64,CS 066,,,,,,
University of California Santa Barbara,Pasadena City College,MATH 6A,MATH 005C,MATH 005CH,,,,,
University of California Santa Barbara,Pasadena City College,PHYS 1,PHYS 008A,,,,,,
University of California Santa Barbara,Pasadena City College,PHYS 2,PHYS 008A; PHYS 008B; PHYS 008C,,,,,,
University of California Santa Barbara,Pasadena City College,PHYS 3; PHYS 3L,PHYS 008B,,,,,,
University of California Santa Barbara,Pasadena City College,PHYS 6A; PHYS 6AL; PHYS 6B; PHYS 6BL; PHYS 6C; PHYS 6CL,PHYS 031A; PHYS 031B,PHYS 002A; PHYS 002B,,,,,
University of California Santa Barbara,Pasadena City College,PHYS 7A,PHYS 008A,,,,,,
University of California Santa Barbara,Pasadena City College,PHYS 7B,PHYS 008A; PHYS 008B,,,,,,
University of California Santa Barbara,Pasadena City College,PHYS 7C,PHYS 008B; PHYS 008C,,,,,,
University of California Santa Barbara,Pasadena City College,PHYS 7D,PHYS 008C,,,,,,
University of California Santa Barbara,Pasadena City College,PHYS 7L,PHYS 008A; PHYS 008B,,,,,,
University of California Santa Barbara,Pasadena City College,CHEM 1A; CHEM 1AL; CHEM 1B; CHEM 1BL; CHEM 1C; CHEM 1CL,CHEM 001A; CHEM 001B,,,,,,
University of California Santa Barbara,Pasadena City College,MCDB 1A; MCDB 1LL,BIOL 010A; BIOL 010B; BIOL 010C,,,,,,
University of California Santa Barbara,Pasadena City College,MCDB 1B,BIOL 010A; BIOL 010B; BIOL 010C,,,,,,
University of California Santa Barbara,Pasadena City College,PSTAT 120A,Not Articulated,,,,,,
University of California Santa Cruz,Pasadena City College,CSE 12,CS 066,,,,,,
University of California Santa Cruz,Pasadena City College,CSE 16,CS 045,MATH 022,,,,,
University of California Santa Cruz,Pasadena City College,CSE 30,CS 008,CS 034,,,,,
University of California Santa Cruz,Pasadena City College,MATH 19A,MATH 005A,MATH 005AH,,,,,
University of California Santa Cruz,Pasadena City College,MATH 19B,MATH 005B,MATH 005BH,,,,,
University of California Santa Cruz,Pasadena City College,AM 10,MATH 010,,,,,,
University of California Santa Cruz,Pasadena City College,MATH 21,MATH 010,,,,,,
University of California Santa Cruz,Pasadena City College,AM 30,MATH 005C,MATH 005CH,,,,,
University of California Santa Cruz,Pasadena City College,MATH 23A,MATH 005C,MATH 005CH,,,,,
