UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6
University of California Berkeley,Rancho Santiago College,MATH 1A,MATH 180,,,,,
University of California Berkeley,Rancho Santiago College,MATH 1B,MATH 185,,,,,
University of California Berkeley,Rancho Santiago College,MATH 53,MATH 280,,,,,
University of California Berkeley,Rancho Santiago College,MATH 54,MATH 287,,,,,
University of California Berkeley,Rancho Santiago College,PHYSICS 7A,PHYS 217,,,,,
University of California Berkeley,Rancho Santiago College,PHYSICS 7B,PHYS 227,,,,,
University of California Berkeley,Rancho Santiago College,ENGLISH R1A,ENGL 101,,,,,
University of California Berkeley,Rancho Santiago College,ENGLISH R1B,ENGL 102,ENGL 103,ENGL 103H,,,
University of California Berkeley,Rancho Santiago College,ASTRON 7A,Not Articulated,,,,,
University of California Berkeley,Rancho Santiago College,ASTRON 7B,Not Articulated,,,,,
University of California Berkeley,Rancho Santiago College,BIOLOGY 1A; BIOLOGY 1AL; BIOLOGY 1B,BIOL 211; BIOL 212; BIOL 214,,,,,
University of California Berkeley,Rancho Santiago College,CHEM 1A; CHEM 1AL,CHEM 219,CHEM 219H,,,,
University of California Berkeley,Rancho Santiago College,CHEM 1B,CHEM 229,,,,,
University of California Berkeley,Rancho Santiago College,CHEM 3A; CHEM 3AL,CHEM 249,,,,,
University of California Berkeley,Rancho Santiago College,CHEM 3B; CHEM 3BL,CHEM 259,,,,,
University of California Berkeley,Rancho Santiago College,MCELLBI 32; MCELLBI 32L,BIOL 249,,,,,
University of California Berkeley,Rancho Santiago College,PHYSICS 7C,PHYS 237,,,,,
University of California Berkeley,Rancho Santiago College,COMPSCI 61A,Not Articulated,,,,,
University of California Berkeley,Rancho Santiago College,COMPSCI 61B,CMPR 112; CMPR 131,,,,,
University of California Berkeley,Rancho Santiago College,COMPSCI 61C,Not Articulated,,,,,
University of California Berkeley,Rancho Santiago College,COMPSCI 70,Not Articulated,,,,,
University of California Berkeley,Rancho Santiago College,EECS 16A,Not Articulated,,,,,
University of California Berkeley,Rancho Santiago College,EECS 16B,Not Articulated,,,,,
University of California Davis,Rancho Santiago College,ECS 020,Not Articulated,,,,,
University of California Davis,Rancho Santiago College,ECS 036A,CMPR 112,,,,,
University of California Davis,Rancho Santiago College,ECS 036B,Not Articulated,,,,,
University of California Davis,Rancho Santiago College,ECS 036C,Not Articulated,,,,,
University of California Davis,Rancho Santiago College,ECS 050,CMPR 129,,,,,
University of California Davis,Rancho Santiago College,MAT 021A; MAT 021B; MAT 021C,MATH 180; MATH 185,,,,,
University of California Davis,Rancho Santiago College,MAT 022A,MATH 287,,,,,
University of California Davis,Rancho Santiago College,MAT 027A,Not Articulated,,,,,
University of California Davis,Rancho Santiago College,MAT 067,Not Articulated,,,,,
University of California Davis,Rancho Santiago College,BIS 002A,BIOL 211,,,,,
University of California Davis,Rancho Santiago College,BIS 002B; BIS 002C,BIOL 212; BIOL 214,,,,,
University of California Davis,Rancho Santiago College,CHE 002A; CHE 002B; CHE 002C,CHEM 219; CHEM 229,CHEM 219H; CHEM 229,,,,
University of California Davis,Rancho Santiago College,CHE 004A,CHEM 219H,,,,,
University of California Davis,Rancho Santiago College,CHE 004B,Not Articulated,,,,,
University of California Davis,Rancho Santiago College,CHE 004C,Not Articulated,,,,,
University of California Davis,Rancho Santiago College,PHY 009A,PHYS 217,,,,,
University of California Davis,Rancho Santiago College,PHY 009B,PHYS 237,,,,,
University of California Davis,Rancho Santiago College,PHY 009C,PHYS 227,,,,,
