UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Berkeley,San Diego Miramar College,MATH 1A,MATH 150,,,
University of California Berkeley,San Diego Miramar College,MATH 1B,MATH 151,,,
University of California Berkeley,San Diego Miramar College,MATH 53,MATH 252,,,
University of California Berkeley,San Diego Miramar College,MATH 54,MATH 254; MATH 255,,,
University of California Berkeley,San Diego Miramar College,PHYSICS 7A,PHYS 195,,,
University of California Berkeley,San Diego Miramar College,PHYSICS 7B,PHYS 196,,,
University of California Berkeley,San Diego Miramar College,ENGLISH R1A,ENGL 101,,,
University of California Berkeley,San Diego Miramar College,ENGLISH R1B,ENGL 205,,,
University of California Berkeley,San Diego Miramar College,ASTRON 7A,Not Articulated,,,
University of California Berkeley,San Diego Miramar College,ASTRON 7B,Not Articulated,,,
University of California Berkeley,San Diego Miramar College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 210A; BIOL 210B,,,
University of California Berkeley,San Diego Miramar College,BIOLOGY 1B,Not Articulated,,,
University of California Berkeley,San Diego Miramar College,CHEM 1A; CHEM 1AL,CHEM 200; CHEM 200L,,,
University of California Berkeley,San Diego Miramar College,CHEM 1B,CHEM 201; CHEM 201L,,,
University of California Berkeley,San Diego Miramar College,CHEM 3A; CHEM 3AL,CHEM 231; CHEM 231L,,,
University of California Berkeley,San Diego Miramar College,CHEM 3B; CHEM 3BL,CHEM 233; CHEM 233L,,,
University of California Berkeley,San Diego Miramar College,MCELLBI 32; MCELLBI 32L,BIOL 235,,,
University of California Berkeley,San Diego Miramar College,PHYSICS 7C,PHYS 197,,,
University of California Berkeley,San Diego Miramar College,COMPSCI 61A,Not Articulated,,,
University of California Berkeley,San Diego Miramar College,COMPSCI 61B,Not Articulated,,,
University of California Berkeley,San Diego Miramar College,COMPSCI 61C,Not Articulated,,,
University of California Berkeley,San Diego Miramar College,COMPSCI 70,Not Articulated,,,
University of California Berkeley,San Diego Miramar College,EECS 16A,Not Articulated,,,
University of California Berkeley,San Diego Miramar College,EECS 16B,Not Articulated,,,
University of California Davis,San Diego Miramar College,ECS 020,MATH 245,,,
University of California Davis,San Diego Miramar College,ECS 036A,CISC 190,CISC 192,,
University of California Davis,San Diego Miramar College,ECS 036B,Not Articulated,,,
University of California Davis,San Diego Miramar College,ECS 036C,Not Articulated,,,
University of California Davis,San Diego Miramar College,ECS 050,Not Articulated,,,
University of California Davis,San Diego Miramar College,MAT 021A,MATH 150,,,
University of California Davis,San Diego Miramar College,MAT 021B,MATH 151,,,
University of California Davis,San Diego Miramar College,MAT 021C,MATH 252,,,
University of California Davis,San Diego Miramar College,MAT 022A,MATH 254,,,
University of California Davis,San Diego Miramar College,MAT 027A,Not Articulated,,,
University of California Davis,San Diego Miramar College,MAT 067,Not Articulated,,,
University of California Davis,San Diego Miramar College,BIS 002A,BIOL 210A,,,
University of California Davis,San Diego Miramar College,BIS 002B,BIOL 210A; BIOL 210B,,,
University of California Davis,San Diego Miramar College,BIS 002C,BIOL 210B,,,
University of California Davis,San Diego Miramar College,CHE 002A; CHE 002B; CHE 002C,CHEM 200; CHEM 200L; CHEM 201; CHEM 201L,,,
University of California Davis,San Diego Miramar College,CHE 004A,Not Articulated,,,
University of California Davis,San Diego Miramar College,CHE 004B,Not Articulated,,,
University of California Davis,San Diego Miramar College,CHE 004C,Not Articulated,,,
University of California Davis,San Diego Miramar College,PHY 009A,PHYS 195,,,
University of California Davis,San Diego Miramar College,PHY 009B,PHYS 196; PHYS 197,,,
University of California Davis,San Diego Miramar College,PHY 009C,PHYS 196,,,
University of California Irvine,San Diego Miramar College,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,,
University of California Irvine,San Diego Miramar College,MATH 2A,MATH 150,,,
University of California Irvine,San Diego Miramar College,MATH 2B,MATH 151,,,
University of California Irvine,San Diego Miramar College,MATH 3A,MATH 254,,,
University of California Irvine,San Diego Miramar College,I&C SCI 6N,Not Articulated,,,
University of California Irvine,San Diego Miramar College,I&C SCI 6B,MATH 245; CISC 246,,,
University of California Irvine,San Diego Miramar College,I&C SCI 6D,MATH 245; CISC 246,,,
University of California Irvine,San Diego Miramar College,I&C SCI 45C,Not Articulated,,,
University of California Irvine,San Diego Miramar College,I&C SCI 46,Not Articulated,,,
University of California Irvine,San Diego Miramar College,I&C SCI 51,CISC 211,,,
University of California Irvine,San Diego Miramar College,I&C SCI 53,Not Articulated,,,
University of California Irvine,San Diego Miramar College,IN4MATX 43,Not Articulated,,,
University of California Irvine,San Diego Miramar College,STATS 67,Not Articulated,,,
University of California Los Angeles,San Diego Miramar College,COM SCI 31,Not Articulated,,,
University of California Los Angeles,San Diego Miramar College,COM SCI 32,CISC 187,,,
